#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
NKE	2011-12-02	2.358280	4.240390e+4	96.180	90.280	96.750	83.050	90.280	96.180	90.280	96.180	1.460	0.000000	97.36	90.28	0.00	1
NKE	2011-12-01	2.405550	4.157050e+4	96.180	90.280	96.750	83.050	90.280	96.180	90.280	96.180	1.830	0.000000	97.38	90.28	0.00	2
NKE	2011-11-30	2.435850	4.105350e+4	96.150	90.280	96.750	83.050	90.280	95.950	90.280	96.150	2.630	0.000000	97.37	90.28	0.00	3
NKE	2011-11-29	2.425630	4.122650e+4	96.350	90.280	96.750	83.050	90.280	95.950	90.280	96.350	1.120	0.000000	97.56	90.28	0.00	4
NKE	2011-11-28	2.494340	4.009070e+4	96.750	90.280	96.750	82.500	90.280	96.150	90.280	96.750	5.550	0.000000	98.00	90.28	0.00	5
NKE	2011-11-25	2.333520	4.285370e+4	96.750	90.930	96.750	82.500	90.930	96.150	90.930	96.750	1.580	0.000000	97.92	90.93	0.00	6
NKE	2011-11-23	2.373180	4.213760e+4	96.750	91.060	96.750	82.500	91.060	96.150	91.060	96.750	1.470	0.000000	97.94	91.06	0.00	7
NKE	2011-11-22	2.420710	4.131010e+4	96.750	91.060	96.750	82.500	91.060	96.150	91.060	96.750	1.630	0.000000	97.96	91.06	0.00	8
NKE	2011-11-21	2.462330	4.061190e+4	96.750	91.890	96.750	82.500	91.890	96.150	91.890	96.750	2.960	0.000000	97.98	91.89	0.00	9
NKE	2011-11-18	2.436140	4.104860e+4	96.750	91.890	96.750	82.500	91.890	96.150	91.890	96.750	2.030	0.000000	97.97	91.89	0.00	10
NKE	2011-11-17	2.457510	4.069150e+4	96.750	91.890	96.750	82.500	92.360	96.150	91.890	96.750	2.800	0.000000	97.98	91.89	0.00	11
NKE	2011-11-16	2.439490	4.099220e+4	96.750	91.290	96.750	82.500	92.360	96.150	91.290	96.750	2.410	0.000000	97.97	91.29	0.00	12
NKE	2011-11-15	2.441040	4.096610e+4	96.750	91.290	96.750	82.500	92.360	96.150	91.290	96.750	1.930	0.000000	97.97	91.29	0.00	13
NKE	2011-11-14	2.467940	4.051970e+4	96.750	91.020	96.750	82.500	92.360	96.350	91.020	96.750	1.690	0.000000	97.98	91.02	0.00	14
NKE	2011-11-11	2.508880	3.985840e+4	96.750	91.020	96.750	82.500	92.360	96.750	91.020	96.750	2.490	0.000000	98.00	91.02	0.00	15
