#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
NLY	2011-12-02	0.291358	3.432210e+5	16.540	15.680	18.160	15.480	15.680	16.310	15.680	16.540	0.220	0.000000	16.69	15.68	0.00	1
NLY	2011-12-01	0.295113	3.388530e+5	16.540	15.680	18.160	15.480	15.680	16.380	15.680	16.540	0.240	0.000000	16.69	15.68	0.00	2
NLY	2011-11-30	0.298014	3.355550e+5	16.660	15.680	18.160	15.480	15.680	16.380	15.680	16.660	0.300	0.000000	16.81	15.68	0.00	3
NLY	2011-11-29	0.297909	3.356730e+5	16.850	15.680	18.160	15.480	15.680	16.380	15.680	16.850	0.130	0.000000	17.00	15.68	0.00	4
NLY	2011-11-28	0.306747	3.260020e+5	16.980	15.680	18.160	15.480	15.680	16.380	15.680	16.980	0.300	0.000000	17.13	15.68	0.00	5
NLY	2011-11-25	0.307102	3.256250e+5	16.980	15.680	18.160	15.480	15.680	16.380	15.680	16.980	0.330	0.000000	17.13	15.68	0.00	6
NLY	2011-11-23	0.305897	3.269080e+5	16.980	15.960	18.160	15.480	15.960	16.380	15.960	16.980	0.330	0.000000	17.13	15.96	0.00	7
NLY	2011-11-22	0.304628	3.282690e+5	16.980	15.970	18.160	15.480	15.970	16.540	15.970	16.980	0.160	0.000000	17.13	15.97	0.00	8
NLY	2011-11-21	0.312240	3.202660e+5	16.980	16.150	18.160	15.480	16.150	16.540	16.150	16.980	0.250	0.000000	17.14	16.15	0.00	9
NLY	2011-11-18	0.315516	3.169410e+5	16.980	16.010	18.160	15.480	16.200	16.540	16.010	16.980	0.190	0.000000	17.14	16.01	0.00	10
NLY	2011-11-17	0.322122	3.104410e+5	16.980	16.010	18.160	15.480	16.200	16.540	16.010	16.980	0.230	0.000000	17.14	16.01	0.00	11
NLY	2011-11-16	0.326970	3.058380e+5	16.980	15.970	18.160	15.480	16.200	16.540	15.970	16.980	0.460	0.000000	17.14	15.97	0.00	12
NLY	2011-11-15	0.319969	3.125300e+5	16.980	15.970	18.160	15.480	16.200	16.660	15.970	16.980	0.130	0.000000	17.14	15.97	0.00	13
NLY	2011-11-14	0.329967	3.030600e+5	16.980	15.940	18.160	15.480	16.200	16.850	15.940	16.980	0.220	0.000000	17.14	15.94	0.00	14
NLY	2011-11-11	0.335755	2.978360e+5	16.980	15.940	18.160	15.480	16.200	16.980	15.940	16.980	0.240	0.000000	17.15	15.94	0.00	15
NLY	2011-11-10	0.340795	2.934320e+5	16.980	15.790	18.160	15.480	16.280	16.980	15.790	16.980	0.320	0.000000	17.15	15.79	0.00	16
NLY	2011-11-09	0.341889	2.924920e+5	16.980	15.790	18.270	15.480	16.320	16.980	15.790	16.980	0.300	0.000000	17.15	15.79	0.00	17
NLY	2011-11-08	0.344094	2.906180e+5	16.980	15.790	18.270	15.480	16.320	16.980	15.790	16.980	0.200	0.000000	17.15	15.79	0.00	18
NLY	2011-11-07	0.351678	2.843510e+5	16.980	15.790	18.270	15.480	16.320	16.980	15.790	16.980	0.280	0.000000	17.16	15.79	0.00	19
NLY	2011-11-04	0.355450	2.813330e+5	16.980	15.480	18.270	15.480	16.010	16.980	15.480	16.980	0.140	0.000000	17.16	15.48	0.00	20
NLY	2011-11-03	0.366790	2.726360e+5	16.980	15.480	18.310	15.480	16.010	16.980	15.480	16.980	0.200	0.000000	17.16	15.48	0.00	21
NLY	2011-11-02	0.375568	2.662630e+5	16.980	15.480	18.310	15.480	15.970	16.980	15.480	16.980	0.450	0.000000	17.17	15.48	0.00	22
NLY	2011-11-01	0.371651	2.690700e+5	16.980	15.480	18.350	15.480	15.970	16.980	15.480	16.980	0.360	0.000000	17.17	15.48	0.00	23
NLY	2011-10-31	0.372264	2.686270e+5	16.980	15.480	18.350	15.480	15.940	16.980	15.480	16.980	0.270	0.000000	17.17	15.48	0.00	24
NLY	2011-10-28	0.377646	2.647980e+5	16.910	15.480	18.350	15.480	15.940	16.910	15.480	16.910	0.320	0.000000	17.10	15.48	0.00	25
