#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
NOK	2011-12-02	0.284761	3.511710e+5	6.850	5.290	7.310	5.240	5.290	6.510	5.290	6.850	0.180	0.000000	6.99	5.29	0.00	1
NOK	2011-12-01	0.290275	3.445010e+5	6.850	5.290	7.310	5.240	5.290	6.560	5.290	6.850	0.250	0.000000	7.00	5.29	0.00	2
NOK	2011-11-30	0.292395	3.420030e+5	6.850	5.290	7.310	5.240	5.290	6.580	5.290	6.850	0.300	0.000000	7.00	5.29	0.00	3
NOK	2011-11-29	0.291995	3.424720e+5	6.850	5.290	7.310	5.240	5.290	6.580	5.290	6.850	0.210	0.000000	7.00	5.29	0.00	4
NOK	2011-11-28	0.296310	3.374840e+5	7.180	5.290	7.310	5.240	5.290	6.750	5.290	7.180	0.400	0.000000	7.33	5.29	0.00	5
NOK	2011-11-25	0.290853	3.438170e+5	7.310	5.470	7.310	5.240	5.470	6.750	5.470	7.310	0.200	0.000000	7.46	5.47	0.00	6
NOK	2011-11-23	0.295635	3.382560e+5	7.310	5.560	7.310	5.240	5.560	6.750	5.560	7.310	0.240	0.000000	7.46	5.56	0.00	7
NOK	2011-11-22	0.298563	3.349380e+5	7.310	6.020	7.310	5.240	6.020	6.820	6.020	7.310	0.490	0.000000	7.46	6.02	0.00	8
NOK	2011-11-21	0.288487	3.466360e+5	7.310	6.310	7.310	5.240	6.380	6.820	6.310	7.310	0.510	0.000000	7.45	6.31	0.00	9
NOK	2011-11-18	0.276828	3.612350e+5	7.310	6.310	7.310	5.240	6.380	6.820	6.310	7.310	0.130	0.000000	7.45	6.31	0.00	10
NOK	2011-11-17	0.284556	3.514240e+5	7.310	6.310	7.310	5.240	6.380	6.850	6.310	7.310	0.220	0.000000	7.45	6.31	0.00	11
NOK	2011-11-16	0.287954	3.472780e+5	7.310	6.120	7.310	5.240	6.380	6.850	6.120	7.310	0.140	0.000000	7.45	6.12	0.00	12
NOK	2011-11-15	0.295741	3.381340e+5	7.310	6.090	7.310	5.240	6.310	6.850	6.090	7.310	0.180	0.000000	7.46	6.09	0.00	13
NOK	2011-11-14	0.301833	3.313090e+5	7.310	6.000	7.310	5.240	6.310	6.850	6.000	7.310	0.280	0.000000	7.46	6.00	0.00	14
NOK	2011-11-11	0.302982	3.300530e+5	7.310	6.000	7.310	5.240	6.310	7.180	6.000	7.310	0.350	0.000000	7.46	6.00	0.00	15
NOK	2011-11-10	0.300507	3.327710e+5	7.310	6.000	7.310	5.240	6.310	7.310	6.000	7.310	0.180	0.000000	7.46	6.00	0.00	16
NOK	2011-11-09	0.306850	3.258930e+5	7.310	6.000	7.310	5.240	6.310	7.310	6.000	7.310	0.460	0.000000	7.46	6.00	0.00	17
NOK	2011-11-08	0.298789	3.346840e+5	7.310	6.000	7.310	5.240	6.310	7.310	6.000	7.310	0.220	0.000000	7.46	6.00	0.00	18
NOK	2011-11-07	0.302936	3.301030e+5	7.310	6.000	7.310	5.240	6.310	7.310	6.000	7.310	0.160	0.000000	7.46	6.00	0.00	19
NOK	2011-11-04	0.310459	3.221040e+5	7.310	5.840	7.310	5.240	6.310	7.310	5.840	7.310	0.320	0.000000	7.47	5.84	0.00	20
NOK	2011-11-03	0.309957	3.226260e+5	7.310	5.840	7.310	5.240	6.310	7.310	5.840	7.310	0.410	0.000000	7.46	5.84	0.00	21
NOK	2011-11-02	0.304691	3.282010e+5	7.310	5.580	7.310	5.240	6.120	7.310	5.580	7.310	0.250	0.000000	7.46	5.58	0.00	22
NOK	2011-11-01	0.307570	3.251300e+5	7.310	5.390	7.310	5.240	6.090	7.310	5.390	7.310	0.540	0.000000	7.46	5.39	0.00	23
NOK	2011-10-31	0.295336	3.385970e+5	7.310	5.390	7.310	5.240	6.000	7.310	5.390	7.310	0.450	0.000000	7.46	5.39	0.00	24
NOK	2011-10-28	0.287196	3.481940e+5	7.310	5.390	7.310	5.100	6.000	7.310	5.390	7.310	0.200	0.000000	7.45	5.39	0.00	25
