#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
NVS	2011-12-02	1.071020	9.336910e+4	56.620	51.650	58.860	51.650	51.650	54.630	51.650	56.620	1.200	0.000000	57.16	51.65	0.00	1
NVS	2011-12-01	1.064230	9.396470e+4	56.620	51.650	58.860	51.650	51.650	54.930	51.650	56.620	1.030	0.000000	57.15	51.65	0.00	2
NVS	2011-11-30	1.066030	9.380590e+4	56.620	51.650	58.860	51.650	51.650	55.160	51.650	56.620	1.330	0.000000	57.15	51.65	0.00	3
NVS	2011-11-29	1.052140	9.504460e+4	56.620	51.650	58.860	51.650	51.650	55.210	51.650	56.620	0.550	0.000000	57.15	51.65	0.00	4
NVS	2011-11-28	1.078570	9.271570e+4	58.210	51.650	58.860	51.650	51.650	55.650	51.650	58.210	1.470	0.000000	58.75	51.65	0.00	5
NVS	2011-11-25	1.057960	9.452110e+4	58.500	52.770	58.860	52.770	52.770	55.650	52.770	58.500	1.170	0.000000	59.03	52.77	0.00	6
NVS	2011-11-23	1.052070	9.505090e+4	58.500	53.680	58.860	53.680	53.680	55.650	53.680	58.500	0.930	0.000000	59.03	53.68	0.00	7
NVS	2011-11-22	1.058490	9.447400e+4	58.500	53.760	58.860	53.730	53.760	56.250	53.760	58.500	0.510	0.000000	59.03	53.76	0.00	8
NVS	2011-11-21	1.087360	9.196580e+4	58.860	54.600	58.860	53.730	54.600	56.250	54.600	58.860	1.170	0.000000	59.40	54.60	0.00	9
NVS	2011-11-18	1.083010	9.233510e+4	58.860	54.600	58.860	53.730	54.600	56.250	54.600	58.860	0.600	0.000000	59.40	54.60	0.00	10
NVS	2011-11-17	1.108430	9.021750e+4	58.860	54.640	58.860	53.730	54.640	56.620	54.640	58.860	0.830	0.000000	59.41	54.64	0.00	11
NVS	2011-11-16	1.123090	8.904030e+4	58.860	54.640	58.860	53.730	54.640	56.620	54.640	58.860	0.810	0.000000	59.42	54.64	0.00	12
NVS	2011-11-15	1.139570	8.775280e+4	58.860	54.640	58.860	53.730	54.640	56.620	54.640	58.860	0.660	0.000000	59.43	54.64	0.00	13
NVS	2011-11-14	1.164810	8.585120e+4	58.860	54.640	58.860	53.730	54.640	56.620	54.640	58.860	0.630	0.000000	59.44	54.64	0.00	14
NVS	2011-11-11	1.192950	8.382560e+4	58.860	54.640	58.860	53.730	54.640	58.210	54.640	58.860	1.300	0.000000	59.46	54.64	0.00	15
NVS	2011-11-10	1.187320	8.422330e+4	58.860	54.640	58.860	53.730	54.640	58.500	54.640	58.860	0.680	0.000000	59.45	54.64	0.00	16
NVS	2011-11-09	1.214020	8.237090e+4	58.860	55.280	58.860	53.730	55.280	58.500	55.280	58.860	1.750	0.000000	59.47	55.28	0.00	17
NVS	2011-11-08	1.185810	8.433050e+4	58.860	55.280	58.860	53.730	55.280	58.500	55.280	58.860	0.710	0.000000	59.45	55.28	0.00	18
NVS	2011-11-07	1.210850	8.258640e+4	58.860	55.280	58.860	53.730	55.280	58.860	55.280	58.860	0.760	0.000000	59.47	55.28	0.00	19
NVS	2011-11-04	1.234580	8.099900e+4	58.860	55.280	58.860	53.730	55.280	58.860	55.280	58.860	1.030	0.000000	59.48	55.28	0.00	20
NVS	2011-11-03	1.245350	8.029870e+4	58.860	55.280	58.860	53.730	55.280	58.860	55.280	58.860	1.320	0.000000	59.48	55.28	0.00	21
NVS	2011-11-02	1.241420	8.055280e+4	58.860	55.100	58.860	53.730	55.280	58.860	55.100	58.860	0.790	0.000000	59.48	55.10	0.00	22
NVS	2011-11-01	1.265180	7.904010e+4	58.860	55.100	58.860	53.730	56.370	58.860	55.100	58.860	1.870	0.000000	59.49	55.10	0.00	23
NVS	2011-10-31	1.233350	8.108010e+4	58.860	54.690	58.860	53.730	56.370	58.860	54.690	58.860	1.750	0.000000	59.48	54.69	0.00	24
NVS	2011-10-28	1.206160	8.290800e+4	58.860	54.690	58.860	53.730	56.370	58.860	54.690	58.860	0.770	0.000000	59.46	54.69	0.00	25
NVS	2011-10-27	1.229110	8.135960e+4	58.860	54.690	58.860	53.730	56.370	58.860	54.690	58.860	1.760	0.000000	59.47	54.69	0.00	26
NVS	2011-10-26	1.201170	8.325220e+4	58.860	54.690	58.860	53.730	56.370	58.860	54.690	58.860	1.080	0.000000	59.46	54.69	0.00	27
NVS	2011-10-25	1.207550	8.281250e+4	58.860	54.690	58.860	53.730	56.810	58.860	54.690	58.860	2.980	0.000000	59.46	54.69	0.00	28
NVS	2011-10-24	1.114260	8.974570e+4	58.770	54.690	58.770	53.730	56.810	58.770	54.690	58.770	0.650	0.000000	59.33	54.69	0.00	29
NVS	2011-10-21	1.138690	8.781990e+4	58.560	53.730	58.570	53.730	56.130	58.560	53.730	58.560	0.790	0.000000	59.13	53.73	0.00	30
NVS	2011-10-20	1.157050	8.642690e+4	58.560	53.730	59.890	53.730	56.120	58.560	53.730	58.560	1.310	0.000000	59.14	53.73	0.00	31
NVS	2011-10-19	1.149000	8.703240e+4	58.560	53.730	59.890	53.730	55.100	58.560	53.730	58.560	1.150	0.000000	59.13	53.73	0.00	32
NVS	2011-10-18	1.148940	8.703640e+4	58.560	53.730	61.180	53.730	55.100	58.560	53.730	58.560	1.260	0.000000	59.13	53.73	0.00	33
NVS	2011-10-17	1.143100	8.748150e+4	58.560	53.730	61.200	53.730	54.690	58.560	53.730	58.560	1.210	0.000000	59.13	53.73	0.00	34
NVS	2011-10-14	1.139580	8.775180e+4	58.060	53.730	61.400	53.730	54.690	58.060	53.730	58.060	0.770	0.000000	58.63	53.73	0.00	35
NVS	2011-10-13	1.159030	8.627910e+4	58.050	53.730	61.940	53.730	54.690	58.050	53.730	58.050	0.790	0.000000	58.63	53.73	0.00	36
NVS	2011-10-12	1.178450	8.485710e+4	57.820	53.730	62.820	53.730	54.690	57.820	53.730	57.820	0.750	0.000000	58.41	53.73	0.00	37
NVS	2011-10-11	1.201000	8.326380e+4	57.820	53.730	62.820	53.730	54.690	57.820	53.730	57.820	0.760	0.000000	58.42	53.73	0.00	38
