#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
ORA	2011-12-01	0.771306	1.296500e+5	19.440	16.880	19.690	14.430	16.880	19.160	16.880	19.440	1.290	0.000000	19.83	16.88	0.00	1
ORA	2011-11-30	0.744006	1.344070e+5	19.440	16.880	19.690	14.430	16.880	19.160	16.880	19.440	1.010	0.000000	19.81	16.88	0.00	2
ORA	2011-11-29	0.730007	1.369850e+5	19.440	16.880	19.690	14.430	16.880	19.160	16.880	19.440	0.540	0.000000	19.80	16.88	0.00	3
ORA	2011-11-28	0.740007	1.351340e+5	19.560	16.880	19.690	14.430	16.880	19.160	16.880	19.560	0.830	0.000000	19.93	16.88	0.00	4
ORA	2011-11-25	0.735271	1.360040e+5	19.690	17.110	19.690	14.430	17.110	19.160	17.110	19.690	0.510	0.000000	20.06	17.11	0.00	5
ORA	2011-11-23	0.747127	1.338460e+5	19.690	17.650	19.690	14.430	17.650	19.160	17.650	19.690	0.730	0.000000	20.06	17.65	0.00	6
ORA	2011-11-22	0.748028	1.336850e+5	19.690	17.760	19.690	14.430	17.760	19.440	17.760	19.690	0.440	0.000000	20.06	17.76	0.00	7
ORA	2011-11-21	0.764240	1.308490e+5	19.690	18.090	19.690	14.430	18.090	19.440	18.090	19.690	0.990	0.000000	20.07	18.09	0.00	8
ORA	2011-11-18	0.752358	1.329150e+5	19.690	18.090	19.690	14.430	18.090	19.440	18.090	19.690	0.380	0.000000	20.07	18.09	0.00	9
ORA	2011-11-17	0.771956	1.295410e+5	19.690	18.090	19.690	14.430	18.090	19.440	18.090	19.690	0.690	0.000000	20.08	18.09	0.00	10
ORA	2011-11-16	0.776270	1.288210e+5	19.690	18.090	19.690	14.430	18.090	19.440	18.090	19.690	0.930	0.000000	20.08	18.09	0.00	11
ORA	2011-11-15	0.768179	1.301780e+5	19.690	18.090	19.690	14.430	18.090	19.440	18.090	19.690	0.710	0.000000	20.07	18.09	0.00	12
ORA	2011-11-14	0.771241	1.296610e+5	19.690	18.090	19.690	14.430	18.090	19.440	18.090	19.690	0.520	0.000000	20.08	18.09	0.00	13
ORA	2011-11-11	0.784464	1.274760e+5	19.690	18.090	19.690	14.430	18.090	19.560	18.090	19.690	0.620	0.000000	20.08	18.09	0.00	14
ORA	2011-11-10	0.793120	1.260840e+5	19.690	18.090	19.690	14.430	18.090	19.690	18.090	19.690	0.570	0.000000	20.09	18.09	0.00	15
ORA	2011-11-09	0.804863	1.242450e+5	19.690	18.290	19.690	14.430	18.290	19.690	18.290	19.690	1.410	0.000000	20.09	18.29	0.00	16
ORA	2011-11-08	0.773014	1.293640e+5	19.690	18.290	19.690	14.430	18.290	19.690	18.290	19.690	0.910	0.000000	20.08	18.29	0.00	17
ORA	2011-11-07	0.765804	1.305820e+5	19.690	18.290	19.690	14.430	18.290	19.690	18.290	19.690	0.530	0.000000	20.07	18.29	0.00	18
