#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
OZRK	2011-12-01	0.838132	1.193130e+5	28.350	24.980	28.350	19.890	26.250	28.350	24.980	28.350	1.290	0.000000	28.77	24.98	0.00	1
OZRK	2011-11-30	0.814349	1.227970e+5	26.860	24.170	26.860	19.890	26.250	26.860	24.170	26.860	1.610	0.000000	27.27	24.17	0.00	2
OZRK	2011-11-29	0.772473	1.294540e+5	26.860	24.170	26.860	19.890	26.250	26.860	24.170	26.860	0.410	0.000000	27.25	24.17	0.00	3
OZRK	2011-11-28	0.791550	1.263340e+5	26.860	24.170	26.860	19.890	26.250	26.860	24.170	26.860	0.690	0.000000	27.26	24.17	0.00	4
OZRK	2011-11-25	0.796895	1.254870e+5	26.860	24.170	26.860	19.890	25.930	26.860	24.170	26.860	0.400	0.000000	27.26	24.17	0.00	5
OZRK	2011-11-23	0.817784	1.222820e+5	26.860	24.170	26.860	19.890	25.570	26.860	24.170	26.860	0.440	0.000000	27.27	24.17	0.00	6
OZRK	2011-11-22	0.837668	1.193790e+5	26.860	23.860	26.860	19.890	25.570	26.860	23.860	26.860	0.550	0.000000	27.28	23.86	0.00	7
OZRK	2011-11-21	0.852808	1.172600e+5	26.860	23.860	26.860	19.890	25.570	26.860	23.860	26.860	0.540	0.000000	27.29	23.86	0.00	8
OZRK	2011-11-18	0.869272	1.150390e+5	26.860	23.860	26.860	19.890	25.070	26.860	23.860	26.860	0.440	0.000000	27.29	23.86	0.00	9
OZRK	2011-11-17	0.891865	1.121250e+5	26.860	23.860	26.860	19.890	25.070	26.860	23.860	26.860	0.640	0.000000	27.31	23.86	0.00	10
OZRK	2011-11-16	0.905121	1.104820e+5	26.860	23.860	26.860	19.890	24.980	26.860	23.860	26.860	0.860	0.000000	27.31	23.86	0.00	11
OZRK	2011-11-15	0.907496	1.101930e+5	26.440	23.860	26.440	19.890	24.170	26.440	23.860	26.440	1.000	0.000000	26.89	23.86	0.00	12
