#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
PALAF	2011-12-01	0.097065	1.030240e+6	1.690	1.360	1.800	1.090	1.360	1.660	1.360	1.690	0.060	0.000000	1.74	1.36	0.00	1
PALAF	2011-11-30	0.099015	1.009940e+6	1.690	1.360	1.800	1.090	1.360	1.690	1.360	1.690	0.160	0.000000	1.74	1.36	0.00	2
PALAF	2011-11-29	0.095806	1.043780e+6	1.690	1.360	1.800	1.090	1.360	1.690	1.360	1.690	0.100	0.000000	1.74	1.36	0.00	3
PALAF	2011-11-28	0.095585	1.046190e+6	1.690	1.360	1.870	1.090	1.360	1.690	1.360	1.690	0.120	0.000000	1.74	1.36	0.00	4
PALAF	2011-11-25	0.094300	1.060450e+6	1.700	1.360	1.950	1.090	1.360	1.690	1.360	1.700	0.030	0.000000	1.75	1.36	0.00	5
PALAF	2011-11-23	0.097684	1.023710e+6	1.700	1.410	2.000	1.090	1.410	1.690	1.410	1.700	0.060	0.000000	1.75	1.41	0.00	6
PALAF	2011-11-22	0.099667	1.003340e+6	1.700	1.430	2.000	1.090	1.430	1.690	1.430	1.700	0.060	0.000000	1.75	1.43	0.00	7
PALAF	2011-11-21	0.101755	9.827510e+5	1.740	1.430	2.020	1.090	1.430	1.690	1.430	1.740	0.130	0.000000	1.79	1.43	0.00	8
PALAF	2011-11-18	0.100269	9.973210e+5	1.740	1.430	2.140	1.090	1.430	1.690	1.430	1.740	0.040	0.000000	1.79	1.43	0.00	9
PALAF	2011-11-17	0.103441	9.667380e+5	1.740	1.430	2.200	1.090	1.430	1.690	1.430	1.740	0.070	0.000000	1.79	1.43	0.00	10
PALAF	2011-11-16	0.105201	9.505640e+5	1.740	1.430	2.300	1.090	1.430	1.690	1.430	1.740	0.120	0.000000	1.79	1.43	0.00	11
PALAF	2011-11-15	0.104422	9.576550e+5	1.740	1.430	2.300	1.090	1.430	1.630	1.430	1.740	0.080	0.000000	1.79	1.43	0.00	12
PALAF	2011-11-14	0.105707	9.460100e+5	1.740	1.430	2.300	1.090	1.430	1.570	1.430	1.740	0.140	0.000000	1.79	1.43	0.00	13
PALAF	2011-11-11	0.103902	9.624430e+5	1.740	1.430	2.300	1.090	1.430	1.690	1.430	1.740	0.060	0.000000	1.79	1.43	0.00	14
PALAF	2011-11-10	0.106213	9.415050e+5	1.740	1.430	2.300	1.090	1.430	1.700	1.430	1.740	0.050	0.000000	1.79	1.43	0.00	15
PALAF	2011-11-09	0.109171	9.159900e+5	1.790	1.430	2.300	1.090	1.430	1.700	1.430	1.790	0.080	0.000000	1.84	1.43	0.00	16
PALAF	2011-11-08	0.110707	9.032870e+5	1.790	1.430	2.300	1.090	1.430	1.700	1.430	1.790	0.050	0.000000	1.85	1.43	0.00	17
PALAF	2011-11-07	0.113902	8.779480e+5	1.800	1.430	2.300	1.090	1.430	1.740	1.430	1.800	0.030	0.000000	1.86	1.43	0.00	18
PALAF	2011-11-04	0.118318	8.451810e+5	1.800	1.430	2.300	1.090	1.430	1.740	1.430	1.800	0.090	0.000000	1.86	1.43	0.00	19
PALAF	2011-11-03	0.119808	8.346670e+5	1.800	1.340	2.300	1.090	1.430	1.740	1.340	1.800	0.060	0.000000	1.86	1.34	0.00	20
PALAF	2011-11-02	0.122956	8.132990e+5	1.800	1.180	2.300	1.090	1.430	1.740	1.180	1.800	0.070	0.000000	1.86	1.18	0.00	21
PALAF	2011-11-01	0.125743	7.952720e+5	1.800	1.090	2.350	1.090	1.530	1.740	1.090	1.800	0.150	0.000000	1.86	1.09	0.00	22
PALAF	2011-10-31	0.124466	8.034290e+5	1.800	1.090	2.350	1.090	1.530	1.740	1.090	1.800	0.120	0.000000	1.86	1.09	0.00	23
PALAF	2011-10-28	0.124702	8.019150e+5	1.800	1.090	2.350	1.090	1.530	1.740	1.090	1.800	0.070	0.000000	1.86	1.09	0.00	24
PALAF	2011-10-27	0.127581	7.838180e+5	1.800	1.090	2.350	1.090	1.530	1.740	1.090	1.800	0.190	0.000000	1.86	1.09	0.00	25
PALAF	2011-10-26	0.124295	8.045350e+5	1.800	1.090	2.350	1.090	1.560	1.790	1.090	1.800	0.110	0.000000	1.86	1.09	0.00	26
PALAF	2011-10-25	0.125048	7.996940e+5	1.800	1.090	2.350	1.090	1.560	1.790	1.090	1.800	0.210	0.000000	1.86	1.09	0.00	27
PALAF	2011-10-24	0.120577	8.293480e+5	1.800	1.090	2.350	1.090	1.560	1.800	1.090	1.800	0.080	0.000000	1.86	1.09	0.00	28
PALAF	2011-10-21	0.122712	8.149150e+5	1.800	1.090	2.410	1.090	1.500	1.800	1.090	1.800	0.040	0.000000	1.86	1.09	0.00	29
PALAF	2011-10-20	0.127065	7.869960e+5	1.800	1.090	2.720	1.090	1.340	1.800	1.090	1.800	0.090	0.000000	1.86	1.09	0.00	30
PALAF	2011-10-19	0.129016	7.750960e+5	1.800	1.090	2.790	1.090	1.180	1.800	1.090	1.800	0.120	0.000000	1.86	1.09	0.00	31
PALAF	2011-10-18	0.129491	7.722560e+5	1.800	1.090	2.990	1.090	1.090	1.800	1.090	1.800	0.160	0.000000	1.86	1.09	0.00	32
PALAF	2011-10-17	0.127885	7.819520e+5	1.800	1.090	2.990	1.090	1.090	1.800	1.090	1.800	0.110	0.000000	1.86	1.09	0.00	33
PALAF	2011-10-14	0.128826	7.762380e+5	1.800	1.090	2.990	1.090	1.090	1.800	1.090	1.800	0.090	0.000000	1.86	1.09	0.00	34
PALAF	2011-10-13	0.130870	7.641180e+5	1.800	1.090	2.990	1.090	1.090	1.800	1.090	1.800	0.150	0.000000	1.87	1.09	0.00	35
PALAF	2011-10-12	0.129863	7.700420e+5	1.800	1.090	2.990	1.090	1.090	1.800	1.090	1.800	0.120	0.000000	1.86	1.09	0.00	36
PALAF	2011-10-11	0.130382	7.669760e+5	1.800	1.090	2.990	1.090	1.090	1.800	1.090	1.800	0.200	0.000000	1.87	1.09	0.00	37
PALAF	2011-10-10	0.126718	7.891540e+5	1.770	1.090	2.990	1.090	1.090	1.500	1.090	1.770	0.300	0.000000	1.83	1.09	0.00	38
PALAF	2011-10-07	0.117598	8.503550e+5	1.870	1.090	2.990	1.090	1.090	1.380	1.090	1.870	0.160	0.000000	1.93	1.09	0.00	39
PALAF	2011-10-06	0.115366	8.668050e+5	1.950	1.090	2.990	1.090	1.090	1.380	1.090	1.950	0.170	0.000000	2.01	1.09	0.00	40
PALAF	2011-10-05	0.112491	8.889620e+5	2.000	1.090	2.990	1.090	1.090	1.530	1.090	2.000	0.110	0.000000	2.06	1.09	0.00	41
PALAF	2011-10-04	0.112622	8.879270e+5	2.000	1.100	2.990	1.100	1.100	1.530	1.100	2.000	0.100	0.000000	2.06	1.10	0.00	42
PALAF	2011-10-03	0.113286	8.827200e+5	2.020	1.100	2.990	1.100	1.100	1.560	1.100	2.020	0.060	0.000000	2.08	1.10	0.00	43
PALAF	2011-09-30	0.116091	8.613950e+5	2.140	1.100	2.990	1.100	1.100	1.690	1.100	2.140	0.070	0.000000	2.20	1.10	0.00	44
PALAF	2011-09-29	0.118517	8.437640e+5	2.200	1.120	2.990	1.120	1.120	1.690	1.120	2.200	0.100	0.000000	2.26	1.12	0.00	45
PALAF	2011-09-28	0.119491	8.368820e+5	2.300	1.270	2.990	1.270	1.270	1.690	1.270	2.300	0.220	0.000000	2.36	1.27	0.00	46
PALAF	2011-09-27	0.114201	8.756480e+5	2.300	1.270	2.990	1.270	1.270	1.770	1.270	2.300	0.080	0.000000	2.36	1.27	0.00	47
PALAF	2011-09-26	0.116001	8.620600e+5	2.300	1.370	2.990	1.370	1.370	1.770	1.370	2.300	0.180	0.000000	2.36	1.37	0.00	48
PALAF	2011-09-23	0.112633	8.878400e+5	2.300	1.370	2.990	1.370	1.370	1.870	1.370	2.300	0.090	0.000000	2.36	1.37	0.00	49
PALAF	2011-09-22	0.113824	8.785490e+5	2.300	1.530	2.990	1.530	1.530	1.950	1.530	2.300	0.210	0.000000	2.36	1.53	0.00	50
PALAF	2011-09-21	0.108762	9.194370e+5	2.300	1.530	2.990	1.530	1.530	2.000	1.530	2.300	0.100	0.000000	2.35	1.53	0.00	51
PALAF	2011-09-20	0.109223	9.155550e+5	2.300	1.560	2.990	1.560	1.560	2.000	1.560	2.300	0.050	0.000000	2.35	1.56	0.00	52
PALAF	2011-09-19	0.112340	8.901520e+5	2.300	1.640	2.990	1.640	1.640	2.020	1.640	2.300	0.150	0.000000	2.36	1.64	0.00	53
