#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
PAR	2011-12-02	0.109020	9.172590e+5	4.000	3.720	4.000	3.080	3.860	3.950	3.720	4.000	0.110	0.000000	4.05	3.72	0.00	1
PAR	2011-12-01	0.108969	9.176930e+5	4.000	3.700	4.000	3.080	3.860	4.000	3.700	4.000	0.130	0.000000	4.05	3.70	0.00	2
PAR	2011-11-30	0.107862	9.271110e+5	4.000	3.700	4.000	3.080	3.860	4.000	3.700	4.000	0.070	0.000000	4.05	3.70	0.00	3
PAR	2011-11-29	0.109855	9.102930e+5	4.000	3.680	4.000	3.080	3.860	4.000	3.680	4.000	0.120	0.000000	4.05	3.68	0.00	4
PAR	2011-11-28	0.109321	9.147390e+5	4.000	3.650	4.000	3.080	3.860	4.000	3.650	4.000	0.130	0.000000	4.05	3.65	0.00	5
PAR	2011-11-25	0.108232	9.239380e+5	4.000	3.650	4.000	3.080	3.870	4.000	3.650	4.000	0.160	0.000000	4.05	3.65	0.00	6
PAR	2011-11-23	0.105508	9.477980e+5	4.000	3.530	4.000	3.080	3.870	4.000	3.530	4.000	0.040	0.000000	4.05	3.53	0.00	7
PAR	2011-11-22	0.108956	9.178060e+5	4.000	3.530	4.000	3.080	3.870	4.000	3.530	4.000	0.050	0.000000	4.05	3.53	0.00	8
PAR	2011-11-21	0.112058	8.923910e+5	4.000	3.520	4.000	3.080	3.770	4.000	3.520	4.000	0.100	0.000000	4.06	3.52	0.00	9
PAR	2011-11-18	0.112693	8.873660e+5	4.000	3.500	4.000	3.080	3.720	4.000	3.500	4.000	0.090	0.000000	4.06	3.50	0.00	10
PAR	2011-11-17	0.113887	8.780600e+5	4.000	3.490	4.000	3.080	3.720	4.000	3.490	4.000	0.170	0.000000	4.06	3.49	0.00	11
PAR	2011-11-16	0.110934	9.014350e+5	3.940	3.490	3.940	3.080	3.700	3.940	3.490	3.940	0.170	0.000000	4.00	3.49	0.00	12
PAR	2011-11-15	0.107825	9.274250e+5	3.940	3.490	3.940	3.080	3.700	3.940	3.490	3.940	0.100	0.000000	3.99	3.49	0.00	13
PAR	2011-11-14	0.108237	9.238960e+5	3.940	3.490	3.940	3.080	3.680	3.940	3.490	3.940	0.080	0.000000	3.99	3.49	0.00	14
PAR	2011-11-11	0.109724	9.113820e+5	3.940	3.490	3.940	3.080	3.650	3.940	3.490	3.940	0.150	0.000000	3.99	3.49	0.00	15
PAR	2011-11-10	0.107604	9.293360e+5	3.940	3.490	3.940	3.080	3.650	3.940	3.490	3.940	0.100	0.000000	3.99	3.49	0.00	16
PAR	2011-11-09	0.108004	9.258930e+5	3.940	3.490	3.940	3.080	3.530	3.940	3.490	3.940	0.090	0.000000	3.99	3.49	0.00	17
PAR	2011-11-08	0.108951	9.178400e+5	3.770	3.490	3.770	3.080	3.530	3.770	3.490	3.770	0.170	0.000000	3.82	3.49	0.00	18
PAR	2011-11-07	0.105738	9.457300e+5	3.720	3.490	3.720	3.080	3.520	3.720	3.490	3.720	0.090	0.000000	3.77	3.49	0.00	19
PAR	2011-11-04	0.106567	9.383790e+5	3.720	3.490	3.720	3.080	3.500	3.720	3.490	3.720	0.070	0.000000	3.77	3.49	0.00	20
PAR	2011-11-03	0.108491	9.217330e+5	3.710	3.400	3.710	3.080	3.490	3.710	3.400	3.710	0.080	0.000000	3.76	3.40	0.00	21
PAR	2011-11-02	0.109991	9.091670e+5	3.710	3.390	3.710	3.080	3.490	3.710	3.390	3.710	0.030	0.000000	3.77	3.39	0.00	22
PAR	2011-11-01	0.114201	8.756500e+5	3.700	3.320	3.700	3.080	3.490	3.700	3.320	3.700	0.130	0.000000	3.76	3.32	0.00	23
PAR	2011-10-31	0.113369	8.820730e+5	3.700	3.300	3.700	3.080	3.490	3.700	3.300	3.700	0.090	0.000000	3.76	3.30	0.00	24
PAR	2011-10-28	0.114599	8.726060e+5	3.700	3.300	3.700	3.080	3.490	3.700	3.300	3.700	0.080	0.000000	3.76	3.30	0.00	25
PAR	2011-10-27	0.116420	8.589570e+5	3.700	3.300	3.700	3.080	3.490	3.650	3.300	3.700	0.170	0.000000	3.76	3.30	0.00	26
PAR	2011-10-26	0.113600	8.802790e+5	3.700	3.250	3.700	3.080	3.490	3.680	3.250	3.700	0.100	0.000000	3.76	3.25	0.00	27
PAR	2011-10-25	0.114316	8.747670e+5	3.700	3.220	3.700	3.080	3.490	3.700	3.220	3.700	0.090	0.000000	3.76	3.22	0.00	28
PAR	2011-10-24	0.115596	8.650820e+5	3.700	3.100	3.700	3.080	3.490	3.700	3.100	3.700	0.150	0.000000	3.76	3.10	0.00	29
PAR	2011-10-21	0.113785	8.788490e+5	3.700	3.080	3.810	3.080	3.490	3.700	3.080	3.700	0.050	0.000000	3.76	3.08	0.00	30
PAR	2011-10-20	0.117142	8.536620e+5	3.700	3.080	3.840	3.080	3.400	3.700	3.080	3.700	0.120	0.000000	3.76	3.08	0.00	31
PAR	2011-10-19	0.116992	8.547600e+5	3.700	3.080	3.840	3.080	3.390	3.700	3.080	3.700	0.150	0.000000	3.76	3.08	0.00	32
PAR	2011-10-18	0.115255	8.676440e+5	3.700	3.080	3.890	3.080	3.320	3.700	3.080	3.700	0.060	0.000000	3.76	3.08	0.00	33
PAR	2011-10-17	0.118163	8.462900e+5	3.700	3.080	3.890	3.080	3.300	3.700	3.080	3.700	0.090	0.000000	3.76	3.08	0.00	34
PAR	2011-10-14	0.119645	8.358060e+5	3.700	3.080	3.890	3.080	3.300	3.700	3.080	3.700	0.210	0.000000	3.76	3.08	0.00	35
PAR	2011-10-13	0.114890	8.704020e+5	3.700	3.080	3.890	3.080	3.300	3.700	3.080	3.700	0.080	0.000000	3.76	3.08	0.00	36
PAR	2011-10-12	0.116726	8.567090e+5	3.700	3.080	3.890	3.080	3.250	3.700	3.080	3.700	0.210	0.000000	3.76	3.08	0.00	37
PAR	2011-10-11	0.111817	8.943210e+5	3.620	3.080	3.890	3.080	3.220	3.620	3.080	3.620	0.110	0.000000	3.68	3.08	0.00	38
PAR	2011-10-10	0.111912	8.935570e+5	3.540	3.080	3.890	3.080	3.100	3.540	3.080	3.540	0.080	0.000000	3.60	3.08	0.00	39
PAR	2011-10-07	0.113592	8.803450e+5	3.440	3.080	3.890	3.080	3.080	3.400	3.080	3.440	0.150	0.000000	3.50	3.08	0.00	40
PAR	2011-10-06	0.111676	8.954510e+5	3.440	3.080	3.890	3.080	3.080	3.390	3.080	3.440	0.080	0.000000	3.50	3.08	0.00	41
PAR	2011-10-05	0.113343	8.822800e+5	3.440	3.080	3.890	3.080	3.080	3.350	3.080	3.440	0.080	0.000000	3.50	3.08	0.00	42
PAR	2011-10-04	0.115098	8.688280e+5	3.440	3.080	3.890	3.080	3.080	3.400	3.080	3.440	0.110	0.000000	3.50	3.08	0.00	43
PAR	2011-10-03	0.115366	8.668070e+5	3.510	3.080	3.890	3.080	3.080	3.440	3.080	3.510	0.120	0.000000	3.57	3.08	0.00	44
PAR	2011-09-30	0.115122	8.686440e+5	3.510	3.080	3.890	3.080	3.080	3.440	3.080	3.510	0.180	0.000000	3.57	3.08	0.00	45
PAR	2011-09-29	0.111707	8.951960e+5	3.620	3.080	3.890	3.080	3.080	3.440	3.080	3.620	0.060	0.000000	3.68	3.08	0.00	46
PAR	2011-09-28	0.114429	8.739060e+5	3.660	3.080	3.890	3.080	3.080	3.440	3.080	3.660	0.040	0.000000	3.72	3.08	0.00	47
