#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
PBR	2011-12-02	0.976311	1.024260e+5	28.440	24.410	28.440	21.500	24.410	27.300	24.410	28.440	0.450	0.000000	28.93	24.41	0.00	1
PBR	2011-12-01	1.004010	9.960040e+4	28.440	24.410	28.440	21.500	24.410	27.170	24.410	28.440	0.670	0.000000	28.94	24.41	0.00	2
PBR	2011-11-30	1.021590	9.788650e+4	28.440	24.410	28.440	21.500	24.410	27.170	24.410	28.440	1.610	0.000000	28.95	24.41	0.00	3
PBR	2011-11-29	0.990622	1.009470e+5	28.440	24.410	28.440	21.500	24.410	27.170	24.410	28.440	0.870	0.000000	28.94	24.41	0.00	4
PBR	2011-11-28	0.996971	1.003040e+5	28.440	24.410	28.440	21.500	24.410	27.490	24.410	28.440	1.190	0.000000	28.94	24.41	0.00	5
PBR	2011-11-25	0.986811	1.013360e+5	28.440	24.990	28.440	21.500	24.990	27.490	24.990	28.440	0.750	0.000000	28.93	24.99	0.00	6
PBR	2011-11-23	0.999275	1.000730e+5	28.440	25.130	28.440	21.500	25.900	27.490	25.130	28.440	1.000	0.000000	28.94	25.13	0.00	7
PBR	2011-11-22	0.999237	1.000760e+5	28.440	24.610	28.440	21.500	26.200	28.440	24.610	28.440	0.670	0.000000	28.94	24.61	0.00	8
PBR	2011-11-21	1.016570	9.837050e+4	28.440	24.610	28.440	21.500	26.340	28.440	24.610	28.440	1.180	0.000000	28.95	24.61	0.00	9
PBR	2011-11-18	1.007960	9.921000e+4	28.440	23.940	29.090	21.500	26.340	28.440	23.940	28.440	0.520	0.000000	28.94	23.94	0.00	10
PBR	2011-11-17	1.033650	9.674500e+4	28.440	23.110	29.090	21.500	26.340	28.440	23.110	28.440	1.310	0.000000	28.96	23.11	0.00	11
PBR	2011-11-16	1.019100	9.812570e+4	28.440	23.110	29.090	21.500	26.340	28.440	23.110	28.440	0.980	0.000000	28.95	23.11	0.00	12
PBR	2011-11-15	1.021160	9.792800e+4	28.440	23.110	29.090	21.500	26.170	28.440	23.110	28.440	0.670	0.000000	28.95	23.11	0.00	13
PBR	2011-11-14	1.039640	9.618710e+4	28.440	23.110	29.090	21.500	26.170	28.440	23.110	28.440	0.850	0.000000	28.96	23.11	0.00	14
PBR	2011-11-11	1.049620	9.527240e+4	28.440	23.110	29.090	21.500	26.170	28.440	23.110	28.440	0.940	0.000000	28.96	23.11	0.00	15
PBR	2011-11-10	1.055390	9.475160e+4	28.440	23.110	29.090	21.500	26.170	28.440	23.110	28.440	0.860	0.000000	28.97	23.11	0.00	16
PBR	2011-11-09	1.065680	9.383720e+4	28.440	23.110	29.090	21.500	25.130	28.440	23.110	28.440	2.210	0.000000	28.97	23.11	0.00	17
PBR	2011-11-08	1.005450	9.945820e+4	28.290	23.110	29.090	21.500	24.610	28.290	23.110	28.290	0.590	0.000000	28.79	23.11	0.00	18
PBR	2011-11-07	1.027310	9.734130e+4	27.640	23.110	29.090	21.500	24.610	27.640	23.110	27.640	0.910	0.000000	28.15	23.11	0.00	19
PBR	2011-11-04	1.033490	9.675980e+4	27.640	22.570	29.090	21.500	23.940	27.640	22.570	27.640	0.730	0.000000	28.16	22.57	0.00	20
PBR	2011-11-03	1.049460	9.528710e+4	27.640	22.570	29.370	21.500	23.110	27.640	22.570	27.640	0.650	0.000000	28.16	22.57	0.00	21
PBR	2011-11-02	1.070480	9.341560e+4	27.640	21.970	29.370	21.500	23.110	27.640	21.970	27.640	1.010	0.000000	28.18	21.97	0.00	22
PBR	2011-11-01	1.073670	9.313860e+4	27.640	21.780	29.370	21.500	23.110	27.640	21.780	27.640	1.770	0.000000	28.18	21.78	0.00	23
PBR	2011-10-31	1.037020	9.643020e+4	27.640	21.500	29.370	21.500	23.110	27.640	21.500	27.640	0.770	0.000000	28.16	21.50	0.00	24
PBR	2011-10-28	1.051070	9.514090e+4	26.920	21.500	29.370	21.500	23.110	26.920	21.500	26.920	0.960	0.000000	27.45	21.50	0.00	25
PBR	2011-10-27	1.055870	9.470900e+4	25.130	21.500	29.370	21.500	23.110	25.130	21.500	25.130	2.360	0.000000	25.66	21.50	0.00	26
PBR	2011-10-26	0.987227	1.012940e+5	24.860	21.500	29.370	21.500	23.110	24.860	21.500	24.860	0.770	0.000000	25.35	21.50	0.00	27
