#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
PCC	2011-12-02	0.229128	4.364380e+5	7.750	7.090	8.050	7.090	7.090	7.370	7.090	7.750	0.270	0.000000	7.86	7.09	0.00	1
PCC	2011-12-01	0.226977	4.405740e+5	7.750	7.090	8.050	7.090	7.090	7.370	7.090	7.750	0.310	0.000000	7.86	7.09	0.00	2
PCC	2011-11-30	0.222607	4.492220e+5	7.820	7.090	8.050	7.090	7.090	7.450	7.090	7.820	0.210	0.000000	7.93	7.09	0.00	3
PCC	2011-11-29	0.223271	4.478870e+5	7.820	7.090	8.050	7.090	7.090	7.450	7.090	7.820	0.020	0.000000	7.93	7.09	0.00	4
PCC	2011-11-28	0.233969	4.274070e+5	7.820	7.090	8.050	7.090	7.090	7.450	7.090	7.820	0.090	0.000000	7.94	7.09	0.00	5
PCC	2011-11-25	0.241546	4.139990e+5	7.820	7.090	8.050	7.090	7.090	7.450	7.090	7.820	0.300	0.000000	7.94	7.09	0.00	6
PCC	2011-11-23	0.238470	4.193400e+5	7.820	7.170	8.050	7.170	7.170	7.450	7.170	7.820	0.500	0.000000	7.94	7.17	0.00	7
PCC	2011-11-22	0.224705	4.450280e+5	7.820	7.170	8.050	7.170	7.170	7.450	7.170	7.820	0.140	0.000000	7.93	7.17	0.00	8
PCC	2011-11-21	0.229163	4.363700e+5	7.820	7.170	8.050	7.170	7.170	7.590	7.170	7.820	0.190	0.000000	7.93	7.17	0.00	9
PCC	2011-11-18	0.231224	4.324800e+5	7.820	7.170	8.050	7.170	7.170	7.650	7.170	7.820	0.170	0.000000	7.94	7.17	0.00	10
PCC	2011-11-17	0.234447	4.265360e+5	7.820	7.170	8.100	7.170	7.170	7.750	7.170	7.820	0.310	0.000000	7.94	7.17	0.00	11
PCC	2011-11-16	0.230470	4.338950e+5	7.820	7.170	8.100	7.170	7.170	7.750	7.170	7.820	0.220	0.000000	7.94	7.17	0.00	12
PCC	2011-11-15	0.231021	4.328600e+5	7.820	7.170	8.100	7.170	7.170	7.820	7.170	7.820	0.100	0.000000	7.94	7.17	0.00	13
PCC	2011-11-14	0.237917	4.203140e+5	7.820	7.170	8.200	7.170	7.170	7.820	7.170	7.820	0.220	0.000000	7.94	7.17	0.00	14
PCC	2011-11-11	0.238860	4.186550e+5	7.820	7.170	8.220	7.170	7.170	7.820	7.170	7.820	0.230	0.000000	7.94	7.17	0.00	15
PCC	2011-11-10	0.239327	4.178390e+5	7.820	7.170	8.450	7.170	7.170	7.820	7.170	7.820	0.270	0.000000	7.94	7.17	0.00	16
PCC	2011-11-09	0.237712	4.206770e+5	7.820	7.450	8.450	7.280	7.450	7.820	7.450	7.820	0.610	0.000000	7.94	7.45	0.00	17
PCC	2011-11-08	0.218118	4.584670e+5	7.820	7.530	8.450	7.280	7.590	7.820	7.530	7.820	0.340	0.000000	7.93	7.53	0.00	18
PCC	2011-11-07	0.211703	4.723590e+5	7.820	7.500	8.450	7.280	7.620	7.820	7.500	7.820	0.260	0.000000	7.93	7.50	0.00	19
PCC	2011-11-04	0.209161	4.781000e+5	7.820	7.300	8.450	7.280	7.620	7.820	7.300	7.820	0.240	0.000000	7.92	7.30	0.00	20
PCC	2011-11-03	0.207538	4.818390e+5	7.820	7.300	8.450	7.280	7.560	7.820	7.300	7.820	0.190	0.000000	7.92	7.30	0.00	21
PCC	2011-11-02	0.208461	4.797060e+5	7.820	7.280	8.450	7.280	7.530	7.820	7.280	7.820	0.120	0.000000	7.92	7.28	0.00	22
PCC	2011-11-01	0.213117	4.692260e+5	7.820	7.280	8.450	7.280	7.530	7.740	7.280	7.820	0.190	0.000000	7.93	7.28	0.00	23
PCC	2011-10-31	0.214334	4.665620e+5	7.820	7.280	8.450	7.280	7.530	7.720	7.280	7.820	0.190	0.000000	7.93	7.28	0.00	24
PCC	2011-10-28	0.215614	4.637910e+5	7.820	7.280	8.450	7.280	7.530	7.720	7.280	7.820	0.130	0.000000	7.93	7.28	0.00	25
PCC	2011-10-27	0.220121	4.542970e+5	7.820	7.280	8.450	7.280	7.530	7.700	7.280	7.820	0.290	0.000000	7.93	7.28	0.00	26
PCC	2011-10-26	0.216443	4.620160e+5	7.820	7.280	8.450	7.280	7.530	7.740	7.280	7.820	0.100	0.000000	7.93	7.28	0.00	27
PCC	2011-10-25	0.222571	4.492940e+5	8.050	7.280	8.450	7.280	7.530	7.820	7.280	8.050	0.290	0.000000	8.16	7.28	0.00	28
PCC	2011-10-24	0.219022	4.565740e+5	8.050	7.280	8.450	7.280	7.500	7.820	7.280	8.050	0.150	0.000000	8.16	7.28	0.00	29
