#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
PEP	2011-12-02	1.061810	9.417890e+4	65.090	61.990	65.090	60.290	62.400	64.090	61.990	65.090	0.610	0.000000	65.62	61.99	0.00	1
PEP	2011-12-01	1.085590	9.211590e+4	65.090	61.990	65.090	60.290	62.400	65.090	61.990	65.090	0.640	0.000000	65.63	61.99	0.00	2
PEP	2011-11-30	1.109040	9.016800e+4	65.090	61.990	65.090	60.290	62.400	65.090	61.990	65.090	0.950	0.000000	65.64	61.99	0.00	3
PEP	2011-11-29	1.117410	8.949250e+4	65.090	61.990	65.090	60.140	62.400	65.090	61.990	65.090	1.020	0.000000	65.65	61.99	0.00	4
PEP	2011-11-28	1.122540	8.908380e+4	65.090	61.990	65.090	59.990	62.400	65.090	61.990	65.090	1.060	0.000000	65.65	61.99	0.00	5
PEP	2011-11-25	1.125830	8.882340e+4	65.090	61.990	65.090	59.990	62.400	65.090	61.990	65.090	0.510	0.000000	65.65	61.99	0.00	6
PEP	2011-11-23	1.158240	8.633770e+4	65.090	61.990	65.090	59.990	62.280	65.090	61.990	65.090	0.930	0.000000	65.67	61.99	0.00	7
PEP	2011-11-22	1.170250	8.545150e+4	65.090	61.820	65.090	59.990	62.280	65.090	61.820	65.090	0.660	0.000000	65.68	61.82	0.00	8
PEP	2011-11-21	1.197110	8.353450e+4	65.090	61.820	65.090	59.990	62.280	65.090	61.820	65.090	0.840	0.000000	65.69	61.82	0.00	9
PEP	2011-11-18	1.215910	8.224320e+4	65.090	61.820	65.090	59.990	61.990	65.090	61.820	65.090	1.100	0.000000	65.70	61.82	0.00	10
PEP	2011-11-17	1.222010	8.183270e+4	65.090	61.820	65.090	59.990	61.990	65.090	61.820	65.090	1.890	0.000000	65.70	61.82	0.00	11
PEP	2011-11-16	1.186850	8.425680e+4	64.500	61.820	64.520	59.990	61.990	64.500	61.820	64.500	2.370	0.000000	65.09	61.82	0.00	12
PEP	2011-11-15	1.124580	8.892230e+4	63.660	61.820	64.520	59.990	61.990	63.660	61.820	63.660	2.120	0.000000	64.22	61.82	0.00	13
PEP	2011-11-14	1.072190	9.326740e+4	63.660	61.820	64.520	59.990	61.990	63.660	61.820	63.660	0.780	0.000000	64.20	61.82	0.00	14
PEP	2011-11-11	1.087560	9.194860e+4	63.660	61.820	64.520	59.990	61.990	63.660	61.820	63.660	0.540	0.000000	64.20	61.82	0.00	15
PEP	2011-11-10	1.116380	8.957490e+4	63.660	61.820	64.520	59.990	61.990	63.660	61.820	63.660	0.980	0.000000	64.22	61.82	0.00	16
PEP	2011-11-09	1.123560	8.900270e+4	63.660	61.820	64.520	59.990	61.990	63.660	61.820	63.660	1.590	0.000000	64.22	61.82	0.00	17
PEP	2011-11-08	1.099010	9.099080e+4	63.200	60.950	64.520	59.990	61.820	63.200	60.950	63.200	1.430	0.000000	63.75	60.95	0.00	18
PEP	2011-11-07	1.081590	9.245630e+4	63.200	60.950	64.520	59.990	61.820	63.200	60.950	63.200	0.980	0.000000	63.74	60.95	0.00	19
PEP	2011-11-04	1.086940	9.200150e+4	63.200	60.950	64.520	59.990	61.820	63.200	60.950	63.200	1.130	0.000000	63.74	60.95	0.00	20
PEP	2011-11-03	1.084670	9.219370e+4	63.200	60.570	64.620	59.990	61.820	63.200	60.570	63.200	0.720	0.000000	63.74	60.57	0.00	21
PEP	2011-11-02	1.103870	9.059070e+4	63.200	60.290	64.620	59.990	61.820	63.200	60.290	63.200	0.640	0.000000	63.75	60.29	0.00	22
PEP	2011-11-01	1.128280	8.863050e+4	63.200	60.290	64.620	59.990	61.820	63.200	60.290	63.200	1.060	0.000000	63.76	60.29	0.00	23
PEP	2011-10-31	1.131870	8.834910e+4	63.200	60.290	64.620	59.990	61.820	63.200	60.290	63.200	0.990	0.000000	63.77	60.29	0.00	24
PEP	2011-10-28	1.139340	8.777010e+4	62.880	60.290	64.620	59.990	61.820	62.880	60.290	62.880	0.710	0.000000	63.45	60.29	0.00	25
PEP	2011-10-27	1.161940	8.606310e+4	62.700	60.290	64.620	59.990	61.820	62.410	60.290	62.700	1.050	0.000000	63.28	60.29	0.00	26
PEP	2011-10-26	1.167830	8.562900e+4	62.700	60.290	64.620	59.990	61.820	62.700	60.290	62.700	0.660	0.000000	63.28	60.29	0.00	27
PEP	2011-10-25	1.194560	8.371300e+4	62.700	60.290	64.620	59.990	60.950	62.700	60.290	62.700	0.860	0.000000	63.30	60.29	0.00	28
PEP	2011-10-24	1.212170	8.249700e+4	62.700	60.290	64.670	59.990	60.950	62.700	60.290	62.700	0.750	0.000000	63.31	60.29	0.00	29
PEP	2011-10-21	1.236490	8.087410e+4	62.700	60.290	64.670	59.990	60.950	62.700	60.290	62.700	0.880	0.000000	63.32	60.29	0.00	30
PEP	2011-10-20	1.255250	7.966530e+4	62.700	60.290	64.670	59.990	60.570	62.700	60.290	62.700	0.570	0.000000	63.33	60.29	0.00	31
PEP	2011-10-19	1.291320	7.744020e+4	62.700	60.290	64.670	59.990	60.290	62.700	60.290	62.700	0.740	0.000000	63.35	60.29	0.00	32
PEP	2011-10-18	1.320340	7.573840e+4	62.700	60.290	64.670	59.990	60.290	62.700	60.290	62.700	1.140	0.000000	63.36	60.29	0.00	33
