#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
PEY-UN	2011-12-01	0.664207	1.505560e+5	24.500	21.890	24.500	19.110	22.470	24.500	21.890	24.500	0.540	0.000000	24.83	21.89	0.00	1
PEY-UN	2011-11-30	0.670744	1.490880e+5	23.950	21.890	23.950	19.110	22.470	23.950	21.890	23.950	0.800	0.000000	24.29	21.89	0.00	2
PEY-UN	2011-11-29	0.663941	1.506160e+5	23.950	21.320	23.950	19.110	22.470	23.950	21.320	23.950	0.500	0.000000	24.28	21.32	0.00	3
PEY-UN	2011-11-28	0.672569	1.486840e+5	23.510	21.320	23.510	19.110	22.470	23.510	21.320	23.510	0.980	0.000000	23.85	21.32	0.00	4
PEY-UN	2011-11-25	0.656389	1.523490e+5	23.510	21.320	23.510	19.110	22.470	23.510	21.320	23.510	1.130	0.000000	23.84	21.32	0.00	5
PEY-UN	2011-11-24	0.631462	1.583630e+5	23.510	21.320	23.510	19.110	22.700	23.510	21.320	23.510	0.860	0.000000	23.83	21.32	0.00	6
PEY-UN	2011-11-23	0.619433	1.614380e+5	23.510	21.320	23.510	19.110	21.890	23.510	21.320	23.510	1.080	0.000000	23.82	21.32	0.00	7
PEY-UN	2011-11-22	0.595193	1.680130e+5	23.510	21.320	23.510	19.110	21.890	23.510	21.320	23.510	0.440	0.000000	23.81	21.32	0.00	8
PEY-UN	2011-11-21	0.603361	1.657380e+5	23.510	21.320	23.510	19.110	21.890	23.510	21.320	23.510	0.550	0.000000	23.81	21.32	0.00	9
PEY-UN	2011-11-18	0.606170	1.649700e+5	23.510	21.320	23.510	19.110	21.890	23.510	21.320	23.510	0.750	0.000000	23.81	21.32	0.00	10
PEY-UN	2011-11-17	0.598600	1.670570e+5	23.510	21.320	23.510	19.110	21.890	23.510	21.320	23.510	0.430	0.000000	23.81	21.32	0.00	11
PEY-UN	2011-11-16	0.607473	1.646160e+5	23.300	21.100	23.300	19.110	21.890	23.300	21.100	23.300	0.420	0.000000	23.60	21.10	0.00	12
