#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
PGH	2011-12-02	0.324220	3.084330e+5	10.810	9.380	10.950	8.480	9.380	10.510	9.380	10.810	0.260	0.000000	10.97	9.38	0.00	1
PGH	2011-12-01	0.327600	3.052510e+5	10.810	9.380	10.950	8.480	9.380	10.280	9.380	10.810	0.300	0.000000	10.97	9.38	0.00	2
PGH	2011-11-30	0.329052	3.039030e+5	10.810	9.380	10.950	8.480	9.380	10.280	9.380	10.810	0.350	0.000000	10.97	9.38	0.00	3
PGH	2011-11-29	0.327950	3.049250e+5	10.810	9.380	10.950	8.480	9.380	10.310	9.380	10.810	0.310	0.000000	10.97	9.38	0.00	4
PGH	2011-11-28	0.328894	3.040490e+5	10.950	9.380	10.950	8.480	9.380	10.390	9.380	10.950	0.450	0.000000	11.11	9.38	0.00	5
PGH	2011-11-25	0.322520	3.100580e+5	10.950	9.460	10.950	8.480	9.460	10.390	9.460	10.950	0.130	0.000000	11.11	9.46	0.00	6
PGH	2011-11-23	0.332653	3.006130e+5	10.950	9.750	11.040	8.480	9.750	10.390	9.750	10.950	0.300	0.000000	11.12	9.75	0.00	7
PGH	2011-11-22	0.334372	2.990680e+5	10.950	9.850	11.040	8.480	9.850	10.450	9.850	10.950	0.220	0.000000	11.12	9.85	0.00	8
PGH	2011-11-21	0.340391	2.937800e+5	10.950	10.050	11.040	8.480	10.050	10.450	10.050	10.950	0.420	0.000000	11.12	10.05	0.00	9
PGH	2011-11-18	0.336201	2.974410e+5	10.950	10.050	11.320	8.480	10.050	10.810	10.050	10.950	0.160	0.000000	11.12	10.05	0.00	10
PGH	2011-11-17	0.345475	2.894560e+5	10.950	9.950	11.550	8.480	10.050	10.810	9.950	10.950	0.340	0.000000	11.12	9.95	0.00	11
PGH	2011-11-16	0.345763	2.892150e+5	10.950	9.920	11.550	8.480	10.050	10.810	9.920	10.950	0.200	0.000000	11.12	9.92	0.00	12
PGH	2011-11-15	0.353435	2.829370e+5	10.950	9.920	11.550	8.480	10.050	10.810	9.920	10.950	0.210	0.000000	11.13	9.92	0.00	13
PGH	2011-11-14	0.360984	2.770200e+5	10.950	9.840	11.550	8.480	10.050	10.810	9.840	10.950	0.170	0.000000	11.13	9.84	0.00	14
PGH	2011-11-11	0.371036	2.695160e+5	10.950	9.840	11.550	8.480	10.050	10.950	9.840	10.950	0.270	0.000000	11.14	9.84	0.00	15
PGH	2011-11-10	0.376354	2.657080e+5	10.950	9.690	11.550	8.480	10.050	10.950	9.690	10.950	0.280	0.000000	11.14	9.69	0.00	16
PGH	2011-11-09	0.381425	2.621750e+5	10.950	9.670	11.550	8.480	10.230	10.950	9.670	10.950	0.440	0.000000	11.14	9.67	0.00	17
PGH	2011-11-08	0.378342	2.643110e+5	10.950	9.090	11.550	8.480	10.230	10.950	9.090	10.950	0.130	0.000000	11.14	9.09	0.00	18
PGH	2011-11-07	0.391413	2.554850e+5	10.950	9.090	11.550	8.480	10.230	10.950	9.090	10.950	0.520	0.000000	11.15	9.09	0.00	19
PGH	2011-11-04	0.384645	2.599800e+5	10.950	8.850	11.550	8.480	10.160	10.950	8.850	10.950	0.500	0.000000	11.14	8.85	0.00	20
PGH	2011-11-03	0.378574	2.641490e+5	10.950	8.850	11.550	8.480	9.950	10.950	8.850	10.950	0.320	0.000000	11.14	8.85	0.00	21
PGH	2011-11-02	0.381656	2.620160e+5	10.950	8.850	11.550	8.480	9.920	10.950	8.850	10.950	0.290	0.000000	11.14	8.85	0.00	22
PGH	2011-11-01	0.386480	2.587450e+5	10.950	8.480	11.630	8.480	9.920	10.950	8.480	10.950	0.550	0.000000	11.14	8.48	0.00	23
PGH	2011-10-31	0.377874	2.646380e+5	10.950	8.480	11.630	8.480	9.840	10.950	8.480	10.950	0.510	0.000000	11.14	8.48	0.00	24
PGH	2011-10-28	0.370920	2.696000e+5	10.690	8.480	11.630	8.480	9.840	10.690	8.480	10.690	0.410	0.000000	10.88	8.48	0.00	25
PGH	2011-10-27	0.368863	2.711030e+5	10.490	8.480	11.630	8.480	9.690	10.490	8.480	10.490	0.480	0.000000	10.67	8.48	0.00	26
PGH	2011-10-26	0.363014	2.754710e+5	10.490	8.480	11.630	8.480	9.670	10.490	8.480	10.490	0.330	0.000000	10.67	8.48	0.00	27
PGH	2011-10-25	0.364752	2.741590e+5	10.490	8.480	11.630	8.480	9.090	10.490	8.480	10.490	0.310	0.000000	10.67	8.48	0.00	28
PGH	2011-10-24	0.367633	2.720100e+5	10.160	8.480	11.630	8.480	9.090	10.160	8.480	10.160	0.330	0.000000	10.34	8.48	0.00	29
PGH	2011-10-21	0.369614	2.705520e+5	10.030	8.480	11.630	8.480	8.850	10.030	8.480	10.030	0.220	0.000000	10.21	8.48	0.00	30
PGH	2011-10-20	0.377488	2.649090e+5	10.030	8.480	12.340	8.480	8.850	10.030	8.480	10.030	0.270	0.000000	10.22	8.48	0.00	31
PGH	2011-10-19	0.383146	2.609970e+5	10.030	8.480	12.540	8.480	8.850	10.030	8.480	10.030	0.310	0.000000	10.22	8.48	0.00	32
PGH	2011-10-18	0.386995	2.584010e+5	10.080	8.480	13.060	8.480	8.480	9.950	8.480	10.080	0.430	0.000000	10.27	8.48	0.00	33
PGH	2011-10-17	0.384732	2.599210e+5	10.230	8.480	13.060	8.480	8.480	9.950	8.480	10.230	0.310	0.000000	10.42	8.48	0.00	34
PGH	2011-10-14	0.388665	2.572910e+5	10.430	8.480	13.060	8.480	8.480	9.690	8.480	10.430	0.310	0.000000	10.62	8.48	0.00	35
PGH	2011-10-13	0.392806	2.545790e+5	10.430	8.480	13.060	8.480	8.480	9.670	8.480	10.430	0.290	0.000000	10.63	8.48	0.00	36
PGH	2011-10-12	0.398216	2.511200e+5	10.430	8.480	13.510	8.480	8.480	9.200	8.480	10.430	0.700	0.000000	10.63	8.48	0.00	37
PGH	2011-10-11	0.382333	2.615520e+5	10.430	8.480	13.510	8.480	8.480	9.620	8.480	10.430	0.260	0.000000	10.62	8.48	0.00	38
PGH	2011-10-10	0.388772	2.572200e+5	10.430	8.480	13.510	8.480	8.480	9.620	8.480	10.430	0.440	0.000000	10.62	8.48	0.00	39
PGH	2011-10-07	0.386075	2.590170e+5	10.430	8.480	13.510	8.480	8.480	9.620	8.480	10.430	0.350	0.000000	10.62	8.48	0.00	40
PGH	2011-10-06	0.387974	2.577490e+5	10.770	8.480	13.510	8.480	8.480	9.620	8.480	10.770	0.360	0.000000	10.96	8.48	0.00	41
PGH	2011-10-05	0.389447	2.567750e+5	11.040	8.480	13.510	8.480	8.480	9.910	8.480	11.040	0.530	0.000000	11.23	8.48	0.00	42
PGH	2011-10-04	0.382049	2.617470e+5	11.040	8.540	13.510	8.540	8.540	10.080	8.540	11.040	0.550	0.000000	11.23	8.54	0.00	43
PGH	2011-10-03	0.373209	2.679460e+5	11.040	8.990	13.510	8.990	8.990	10.230	8.990	11.040	0.490	0.000000	11.23	8.99	0.00	44
PGH	2011-09-30	0.367063	2.724330e+5	11.320	9.100	13.510	9.100	9.100	10.430	9.100	11.320	0.240	0.000000	11.50	9.10	0.00	45
PGH	2011-09-29	0.373750	2.675580e+5	11.550	9.100	13.510	9.100	9.100	10.430	9.100	11.550	0.290	0.000000	11.74	9.10	0.00	46
PGH	2011-09-28	0.378158	2.644400e+5	11.550	9.270	13.510	9.270	9.270	10.430	9.270	11.550	0.540	0.000000	11.74	9.27	0.00	47
PGH	2011-09-27	0.369640	2.705340e+5	11.550	9.270	13.510	9.270	9.270	10.430	9.270	11.550	0.510	0.000000	11.73	9.27	0.00	48
PGH	2011-09-26	0.362253	2.760500e+5	11.550	9.270	13.510	9.270	9.270	10.430	9.270	11.550	0.390	0.000000	11.73	9.27	0.00	49
PGH	2011-09-23	0.360792	2.771680e+5	11.550	9.370	13.510	9.370	9.370	10.430	9.370	11.550	0.330	0.000000	11.73	9.37	0.00	50
PGH	2011-09-22	0.362413	2.759280e+5	11.550	9.910	13.510	9.910	9.910	10.770	9.910	11.550	0.680	0.000000	11.73	9.91	0.00	51
PGH	2011-09-21	0.345698	2.892700e+5	11.550	10.080	13.510	10.000	10.080	11.040	10.080	11.550	0.280	0.000000	11.72	10.08	0.00	52
PGH	2011-09-20	0.349156	2.864050e+5	11.550	10.200	13.510	10.000	10.200	11.040	10.200	11.550	0.250	0.000000	11.72	10.20	0.00	53
PGH	2011-09-19	0.354374	2.821880e+5	11.550	10.200	13.510	10.000	10.200	11.040	10.200	11.550	0.280	0.000000	11.73	10.20	0.00	54
