#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
PMT-UN	2011-12-01	0.098609	1.014110e+6	1.640	1.140	2.560	1.140	1.140	1.330	1.140	1.640	0.100	0.000000	1.69	1.14	0.00	1
PMT-UN	2011-11-30	0.098535	1.014860e+6	1.640	1.140	2.560	1.140	1.140	1.330	1.140	1.640	0.070	0.000000	1.69	1.14	0.00	2
PMT-UN	2011-11-29	0.100037	9.996280e+5	1.640	1.140	2.560	1.140	1.140	1.390	1.140	1.640	0.040	0.000000	1.69	1.14	0.00	3
PMT-UN	2011-11-28	0.103197	9.690190e+5	1.640	1.170	2.560	1.170	1.170	1.390	1.170	1.640	0.090	0.000000	1.69	1.17	0.00	4
PMT-UN	2011-11-25	0.103892	9.625410e+5	1.640	1.170	2.600	1.170	1.170	1.430	1.170	1.640	0.030	0.000000	1.69	1.17	0.00	5
PMT-UN	2011-11-24	0.107781	9.278100e+5	1.640	1.170	2.700	1.170	1.170	1.480	1.170	1.640	0.080	0.000000	1.69	1.17	0.00	6
PMT-UN	2011-11-23	0.109243	9.153920e+5	1.640	1.240	2.700	1.240	1.240	1.490	1.240	1.640	0.080	0.000000	1.69	1.24	0.00	7
PMT-UN	2011-11-22	0.110782	9.026740e+5	1.640	1.280	2.710	1.280	1.280	1.510	1.280	1.640	0.060	0.000000	1.70	1.28	0.00	8
PMT-UN	2011-11-21	0.113455	8.814090e+5	1.640	1.310	2.720	1.310	1.310	1.530	1.310	1.640	0.050	0.000000	1.70	1.31	0.00	9
PMT-UN	2011-11-18	0.116794	8.562050e+5	1.640	1.330	2.770	1.330	1.330	1.570	1.330	1.640	0.080	0.000000	1.70	1.33	0.00	10
PMT-UN	2011-11-17	0.118731	8.422400e+5	1.640	1.330	2.770	1.330	1.330	1.640	1.330	1.640	0.060	0.000000	1.70	1.33	0.00	11
PMT-UN	2011-11-16	0.121822	8.208690e+5	2.330	1.380	2.860	1.380	1.380	1.640	1.380	2.330	0.100	0.000000	2.39	1.38	0.00	12
PMT-UN	2011-11-15	0.122971	8.132020e+5	2.330	1.380	2.860	1.380	1.380	1.640	1.380	2.330	0.100	0.000000	2.39	1.38	0.00	13
PMT-UN	2011-11-14	0.124180	8.052850e+5	2.330	1.430	2.860	1.430	1.430	1.640	1.430	2.330	0.060	0.000000	2.39	1.43	0.00	14
PMT-UN	2011-11-11	0.127557	7.839600e+5	2.330	1.480	2.860	1.480	1.480	1.640	1.480	2.330	0.120	0.000000	2.39	1.48	0.00	15
PMT-UN	2011-11-10	0.127955	7.815230e+5	2.330	1.490	2.860	1.490	1.490	1.640	1.490	2.330	0.040	0.000000	2.39	1.49	0.00	16
PMT-UN	2011-11-09	0.132584	7.542360e+5	2.330	1.510	2.860	1.510	1.510	1.640	1.510	2.330	0.120	0.000000	2.40	1.51	0.00	17
PMT-UN	2011-11-08	0.133247	7.504870e+5	2.330	1.530	2.860	1.530	1.530	1.640	1.530	2.330	0.090	0.000000	2.40	1.53	0.00	18
PMT-UN	2011-11-07	0.135523	7.378820e+5	2.330	1.540	2.860	1.540	1.540	1.640	1.540	2.330	0.050	0.000000	2.40	1.54	0.00	19
PMT-UN	2011-11-04	0.140024	7.141620e+5	2.330	1.540	2.860	1.540	1.540	1.640	1.540	2.330	0.090	0.000000	2.40	1.54	0.00	20
PMT-UN	2011-11-03	0.142657	7.009820e+5	2.330	1.540	2.890	1.540	1.540	1.640	1.540	2.330	0.070	0.000000	2.40	1.54	0.00	21
PMT-UN	2011-11-02	0.146481	6.826820e+5	2.330	1.540	3.040	1.540	1.540	2.330	1.540	2.330	0.060	0.000000	2.40	1.54	0.00	22
PMT-UN	2011-11-01	0.151033	6.621080e+5	2.330	1.540	3.040	1.540	1.540	2.330	1.540	2.330	0.070	0.000000	2.41	1.54	0.00	23
PMT-UN	2011-10-31	0.155298	6.439250e+5	2.330	1.540	3.040	1.540	1.540	2.330	1.540	2.330	0.110	0.000000	2.41	1.54	0.00	24
PMT-UN	2011-10-28	0.157682	6.341890e+5	2.330	1.540	3.040	1.540	1.540	2.330	1.540	2.330	0.070	0.000000	2.41	1.54	0.00	25
PMT-UN	2011-10-27	0.162296	6.161560e+5	2.330	1.540	3.040	1.540	1.540	2.330	1.540	2.330	0.070	0.000000	2.41	1.54	0.00	26
PMT-UN	2011-10-26	0.167154	5.982500e+5	2.330	1.540	3.040	1.540	1.540	2.330	1.540	2.330	0.070	0.000000	2.41	1.54	0.00	27
PMT-UN	2011-10-25	0.172268	5.804920e+5	2.330	1.540	3.040	1.540	1.540	2.330	1.540	2.330	0.120	0.000000	2.42	1.54	0.00	28
PMT-UN	2011-10-24	0.175018	5.713680e+5	2.330	1.550	3.120	1.550	1.550	2.330	1.550	2.330	0.080	0.000000	2.42	1.55	0.00	29
PMT-UN	2011-10-21	0.180019	5.554960e+5	2.330	1.550	3.280	1.550	1.550	2.330	1.550	2.330	0.230	0.000000	2.42	1.55	0.00	30
PMT-UN	2011-10-20	0.177389	5.637330e+5	2.360	1.910	3.280	1.910	1.930	2.330	1.910	2.360	0.820	0.000000	2.45	1.91	0.00	31
PMT-UN	2011-10-19	0.143567	6.965380e+5	2.400	1.910	3.280	1.910	1.910	2.290	1.910	2.400	0.100	0.000000	2.47	1.91	0.00	32
PMT-UN	2011-10-18	0.145860	6.855880e+5	2.420	1.910	3.280	1.910	1.910	2.270	1.910	2.420	0.100	0.000000	2.49	1.91	0.00	33
PMT-UN	2011-10-17	0.148274	6.744270e+5	2.560	1.910	3.280	1.910	1.910	2.270	1.910	2.560	0.120	0.000000	2.63	1.91	0.00	34
PMT-UN	2011-10-14	0.149762	6.677260e+5	2.560	1.910	3.280	1.910	1.910	2.130	1.910	2.560	0.210	0.000000	2.63	1.91	0.00	35
PMT-UN	2011-10-13	0.146592	6.821670e+5	2.560	1.910	3.360	1.910	1.910	2.220	1.910	2.560	0.120	0.000000	2.63	1.91	0.00	36
PMT-UN	2011-10-12	0.147991	6.757160e+5	2.560	1.910	3.360	1.910	1.910	2.230	1.910	2.560	0.190	0.000000	2.63	1.91	0.00	37
PMT-UN	2011-10-11	0.145780	6.859640e+5	2.560	1.910	3.360	1.910	1.910	2.230	1.910	2.560	0.210	0.000000	2.63	1.91	0.00	38
PMT-UN	2011-10-07	0.142400	7.022460e+5	2.560	1.910	3.360	1.910	1.910	2.230	1.910	2.560	0.110	0.000000	2.63	1.91	0.00	39
PMT-UN	2011-10-06	0.144106	6.939360e+5	2.600	1.910	3.360	1.910	1.910	2.230	1.910	2.600	0.100	0.000000	2.67	1.91	0.00	40
PMT-UN	2011-10-05	0.146427	6.829350e+5	2.700	1.910	3.360	1.910	1.910	2.360	1.910	2.700	0.180	0.000000	2.77	1.91	0.00	41
PMT-UN	2011-10-04	0.144660	6.912770e+5	2.700	1.930	3.360	1.930	1.930	2.400	1.930	2.700	0.200	0.000000	2.77	1.93	0.00	42
PMT-UN	2011-10-03	0.141747	7.054810e+5	2.710	1.980	3.360	1.980	1.980	2.420	1.980	2.710	0.100	0.000000	2.78	1.98	0.00	43
PMT-UN	2011-09-30	0.143944	6.947120e+5	2.720	2.070	3.360	2.070	2.070	2.560	2.070	2.720	0.170	0.000000	2.79	2.07	0.00	44
PMT-UN	2011-09-29	0.142573	7.013950e+5	2.770	2.110	3.360	2.110	2.110	2.560	2.110	2.770	0.190	0.000000	2.84	2.11	0.00	45
PMT-UN	2011-09-28	0.140077	7.138930e+5	2.770	2.110	3.360	2.110	2.110	2.560	2.110	2.770	0.120	0.000000	2.84	2.11	0.00	46
PMT-UN	2011-09-27	0.141134	7.085480e+5	2.860	2.110	3.360	2.110	2.110	2.560	2.110	2.860	0.330	0.000000	2.93	2.11	0.00	47
PMT-UN	2011-09-26	0.131193	7.622340e+5	2.860	2.120	3.360	2.120	2.120	2.560	2.120	2.860	0.090	0.000000	2.93	2.12	0.00	48
PMT-UN	2011-09-23	0.133361	7.498420e+5	2.860	2.230	3.360	2.230	2.230	2.560	2.230	2.860	0.190	0.000000	2.93	2.23	0.00	49
PMT-UN	2011-09-22	0.130380	7.669860e+5	2.860	2.320	3.360	2.320	2.320	2.600	2.320	2.860	0.190	0.000000	2.93	2.32	0.00	50
PMT-UN	2011-09-21	0.127243	7.859010e+5	2.860	2.320	3.360	2.320	2.320	2.700	2.320	2.860	0.050	0.000000	2.92	2.32	0.00	51
PMT-UN	2011-09-20	0.131308	7.615690e+5	2.860	2.320	3.360	2.320	2.320	2.700	2.320	2.860	0.070	0.000000	2.93	2.32	0.00	52
PMT-UN	2011-09-19	0.134535	7.433030e+5	2.860	2.320	3.360	2.320	2.320	2.710	2.320	2.860	0.190	0.000000	2.93	2.32	0.00	53
