#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
POR	2011-12-01	0.473829	2.110470e+5	25.280	23.550	25.280	22.750	23.550	25.050	23.550	25.280	0.280	0.000000	25.52	23.55	0.00	1
POR	2011-11-30	0.484030	2.065990e+5	25.280	23.550	25.280	22.750	23.550	24.520	23.550	25.280	0.710	0.000000	25.52	23.55	0.00	2
POR	2011-11-29	0.472137	2.118030e+5	25.280	23.550	25.280	22.750	23.550	24.670	23.550	25.280	0.380	0.000000	25.52	23.55	0.00	3
POR	2011-11-28	0.476986	2.096500e+5	25.280	23.550	25.280	22.750	23.550	24.990	23.550	25.280	0.590	0.000000	25.52	23.55	0.00	4
POR	2011-11-25	0.471038	2.122970e+5	25.280	23.550	25.280	22.750	23.550	24.990	23.550	25.280	0.270	0.000000	25.52	23.55	0.00	5
POR	2011-11-23	0.481619	2.076330e+5	25.280	23.770	25.280	22.750	23.770	24.990	23.770	25.280	0.290	0.000000	25.52	23.77	0.00	6
POR	2011-11-22	0.491705	2.033740e+5	25.280	24.040	25.280	22.750	24.040	25.280	24.040	25.280	0.380	0.000000	25.53	24.04	0.00	7
POR	2011-11-21	0.497584	2.009710e+5	25.280	24.100	25.280	22.750	24.100	25.280	24.100	25.280	0.440	0.000000	25.53	24.10	0.00	8
POR	2011-11-18	0.500614	1.997550e+5	25.280	24.100	25.280	22.750	24.100	25.280	24.100	25.280	0.390	0.000000	25.53	24.10	0.00	9
POR	2011-11-17	0.506436	1.974580e+5	25.280	24.120	25.280	22.750	24.250	25.280	24.120	25.280	0.440	0.000000	25.53	24.12	0.00	10
POR	2011-11-16	0.509933	1.961040e+5	25.280	24.100	25.280	22.750	24.440	25.280	24.100	25.280	0.420	0.000000	25.54	24.10	0.00	11
POR	2011-11-15	0.514666	1.943010e+5	25.280	24.100	25.280	22.750	24.200	25.280	24.100	25.280	0.640	0.000000	25.54	24.10	0.00	12
POR	2011-11-14	0.508070	1.968230e+5	25.280	24.040	25.280	22.750	24.200	25.280	24.040	25.280	0.370	0.000000	25.53	24.04	0.00	13
POR	2011-11-11	0.515337	1.940480e+5	25.280	24.040	25.280	22.750	24.200	25.280	24.040	25.280	0.640	0.000000	25.54	24.04	0.00	14
POR	2011-11-10	0.508775	1.965500e+5	25.280	24.040	25.280	22.750	24.200	25.280	24.040	25.280	0.350	0.000000	25.53	24.04	0.00	15
POR	2011-11-09	0.517132	1.933740e+5	25.280	23.990	25.280	22.750	24.200	25.280	23.990	25.280	0.860	0.000000	25.54	23.99	0.00	16
POR	2011-11-08	0.499086	2.003660e+5	25.180	23.800	25.180	22.730	24.200	25.180	23.800	25.180	0.470	0.000000	25.43	23.80	0.00	17
POR	2011-11-07	0.500617	1.997530e+5	25.180	23.800	25.180	22.550	24.200	25.180	23.800	25.180	0.410	0.000000	25.43	23.80	0.00	18
POR	2011-11-04	0.505386	1.978680e+5	25.180	23.220	25.180	22.550	24.200	25.180	23.220	25.180	0.440	0.000000	25.43	23.22	0.00	19
POR	2011-11-03	0.508828	1.965300e+5	24.840	23.220	24.840	22.550	24.120	24.840	23.220	24.840	0.690	0.000000	25.09	23.22	0.00	20
POR	2011-11-02	0.499292	2.002830e+5	24.840	22.900	24.840	22.550	24.100	24.840	22.900	24.840	0.760	0.000000	25.09	22.90	0.00	21
POR	2011-11-01	0.485571	2.059430e+5	24.840	22.900	24.840	22.550	24.100	24.840	22.900	24.840	0.530	0.000000	25.08	22.90	0.00	22
POR	2011-10-31	0.483233	2.069400e+5	24.840	22.750	24.840	22.550	24.040	24.840	22.750	24.840	0.360	0.000000	25.08	22.75	0.00	23
POR	2011-10-28	0.489718	2.041990e+5	24.840	22.750	24.840	22.550	24.040	24.840	22.750	24.840	0.420	0.000000	25.08	22.75	0.00	24
POR	2011-10-27	0.493388	2.026800e+5	24.820	22.750	24.820	21.820	24.040	24.820	22.750	24.820	0.680	0.000000	25.07	22.75	0.00	25
POR	2011-10-26	0.483566	2.067970e+5	24.820	22.750	24.820	21.820	23.990	24.820	22.750	24.820	0.310	0.000000	25.06	22.75	0.00	26
POR	2011-10-25	0.492701	2.029630e+5	24.820	22.750	24.820	21.490	23.800	24.820	22.750	24.820	0.480	0.000000	25.07	22.75	0.00	27
