#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
PWF	2011-12-02	0.543584	1.839640e+5	26.470	23.740	27.700	23.740	23.740	25.100	23.740	26.470	0.350	0.000000	26.74	23.74	0.00	1
PWF	2011-12-01	0.553772	1.805800e+5	26.630	23.740	27.700	23.740	23.740	25.250	23.740	26.630	0.380	0.000000	26.91	23.74	0.00	2
PWF	2011-11-30	0.562918	1.776460e+5	26.630	23.740	27.700	23.740	23.740	25.410	23.740	26.630	0.800	0.000000	26.91	23.74	0.00	3
PWF	2011-11-29	0.550440	1.816730e+5	26.630	23.810	27.700	23.810	23.810	25.870	23.810	26.630	0.580	0.000000	26.91	23.81	0.00	4
PWF	2011-11-28	0.548884	1.821880e+5	26.900	23.810	27.700	23.810	23.810	25.870	23.810	26.900	0.640	0.000000	27.17	23.81	0.00	5
PWF	2011-11-25	0.544089	1.837940e+5	27.700	23.810	27.700	23.810	23.810	26.110	23.810	27.700	0.340	0.000000	27.97	23.81	0.00	6
PWF	2011-11-24	0.554830	1.802350e+5	27.700	23.890	27.700	23.890	23.890	26.110	23.890	27.700	0.410	0.000000	27.98	23.89	0.00	7
PWF	2011-11-23	0.562453	1.777930e+5	27.700	24.620	27.700	24.250	24.620	26.110	24.620	27.700	0.740	0.000000	27.98	24.62	0.00	8
PWF	2011-11-22	0.553108	1.807960e+5	27.700	24.860	27.700	24.250	24.860	26.410	24.860	27.700	0.410	0.000000	27.98	24.86	0.00	9
PWF	2011-11-21	0.560640	1.783670e+5	27.700	25.100	27.700	24.250	25.100	26.470	25.100	27.700	0.660	0.000000	27.98	25.10	0.00	10
PWF	2011-11-18	0.555411	1.800470e+5	27.700	25.250	27.700	24.250	25.250	26.470	25.250	27.700	0.400	0.000000	27.98	25.25	0.00	11
PWF	2011-11-17	0.563590	1.774340e+5	27.700	25.410	27.700	24.250	25.410	26.630	25.410	27.700	0.260	0.000000	27.98	25.41	0.00	12
PWF	2011-11-16	0.579569	1.725420e+5	27.700	25.500	27.700	24.250	25.500	26.630	25.500	27.700	0.460	0.000000	27.99	25.50	0.00	13
PWF	2011-11-15	0.585862	1.706890e+5	27.700	25.500	27.700	24.250	25.500	26.630	25.500	27.700	0.480	0.000000	27.99	25.50	0.00	14
PWF	2011-11-14	0.591434	1.690810e+5	27.700	25.500	27.700	24.250	25.500	26.900	25.500	27.700	0.800	0.000000	28.00	25.50	0.00	15
PWF	2011-11-11	0.580456	1.722780e+5	27.700	25.500	27.700	24.250	25.500	27.700	25.500	27.700	0.660	0.000000	27.99	25.50	0.00	16
PWF	2011-11-10	0.576270	1.735300e+5	27.700	25.990	27.700	24.250	25.990	27.700	25.990	27.700	0.560	0.000000	27.99	25.99	0.00	17
PWF	2011-11-09	0.577126	1.732720e+5	27.700	26.270	27.700	24.250	26.330	27.700	26.270	27.700	0.590	0.000000	27.99	26.27	0.00	18
PWF	2011-11-08	0.576449	1.734760e+5	27.700	26.270	27.700	24.250	26.330	27.700	26.270	27.700	0.330	0.000000	27.99	26.27	0.00	19
PWF	2011-11-07	0.589420	1.696580e+5	27.700	26.040	27.700	24.250	26.330	27.700	26.040	27.700	0.470	0.000000	27.99	26.04	0.00	20
PWF	2011-11-04	0.595705	1.678680e+5	27.700	26.040	27.700	24.250	26.350	27.700	26.040	27.700	0.420	0.000000	28.00	26.04	0.00	21
PWF	2011-11-03	0.604952	1.653020e+5	27.700	25.550	27.700	24.250	26.270	27.700	25.550	27.700	0.500	0.000000	28.00	25.55	0.00	22
PWF	2011-11-02	0.610476	1.638070e+5	27.700	24.450	27.700	24.250	26.270	27.700	24.450	27.700	0.610	0.000000	28.01	24.45	0.00	23
