#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
RGLD	2011-12-02	2.782290	3.594170e+4	81.450	74.220	81.840	61.220	74.220	81.450	74.220	81.450	1.940	0.000000	82.84	74.22	0.00	1
RGLD	2011-12-01	2.826620	3.537800e+4	81.450	73.450	81.840	61.220	74.220	81.450	73.450	81.450	2.160	0.000000	82.86	73.45	0.00	2
RGLD	2011-11-30	2.861700	3.494420e+4	81.290	72.340	82.690	61.220	74.220	80.760	72.340	81.290	4.460	0.000000	82.72	72.34	0.00	3
RGLD	2011-11-29	2.777580	3.600260e+4	81.290	71.580	82.690	61.220	74.220	80.760	71.580	81.290	1.780	0.000000	82.68	71.58	0.00	4
RGLD	2011-11-28	2.830090	3.533460e+4	81.290	71.580	82.690	61.220	74.220	81.290	71.580	81.290	3.810	0.000000	82.70	71.58	0.00	5
RGLD	2011-11-25	2.778510	3.599050e+4	81.290	71.580	82.690	61.220	74.220	81.290	71.580	81.290	1.210	0.000000	82.68	71.58	0.00	6
RGLD	2011-11-23	2.861060	3.495200e+4	81.290	69.490	82.690	61.220	74.220	81.290	69.490	81.290	1.740	0.000000	82.72	69.49	0.00	7
RGLD	2011-11-22	2.920070	3.424580e+4	81.290	69.400	82.690	61.220	74.220	81.290	69.400	81.290	3.290	0.000000	82.75	69.40	0.00	8
RGLD	2011-11-21	2.900600	3.447570e+4	81.290	67.430	82.690	61.220	76.430	81.290	67.430	81.290	4.160	0.000000	82.74	67.43	0.00	9
RGLD	2011-11-18	2.834310	3.528190e+4	81.290	63.920	82.690	61.220	77.840	81.290	63.920	81.290	2.520	0.000000	82.71	63.92	0.00	10
RGLD	2011-11-17	2.850860	3.507720e+4	81.290	63.180	82.690	61.220	78.370	81.290	63.180	81.290	2.980	0.000000	82.72	63.18	0.00	11
RGLD	2011-11-16	2.844060	3.516100e+4	81.290	63.090	82.690	61.220	73.450	81.290	63.090	81.290	1.740	0.000000	82.71	63.09	0.00	12
RGLD	2011-11-15	2.902170	3.445700e+4	81.290	63.090	82.690	61.220	72.340	81.290	63.090	81.290	1.870	0.000000	82.74	63.09	0.00	13
RGLD	2011-11-14	2.956490	3.382390e+4	81.290	63.090	82.690	61.220	71.580	81.290	63.090	81.290	2.280	0.000000	82.77	63.09	0.00	14
RGLD	2011-11-11	2.992100	3.342140e+4	81.070	63.090	82.690	61.220	71.580	81.070	63.090	81.070	3.240	0.000000	82.57	63.09	0.00	15
RGLD	2011-11-10	2.979050	3.356780e+4	81.070	63.090	82.690	61.220	71.580	81.070	63.090	81.070	2.640	0.000000	82.56	63.09	0.00	16
RGLD	2011-11-09	2.996890	3.336790e+4	81.070	63.090	82.690	61.220	69.490	81.070	63.090	81.070	3.290	0.000000	82.57	63.09	0.00	17
RGLD	2011-11-08	2.981470	3.354050e+4	81.070	63.090	82.690	61.220	69.400	81.070	63.090	81.070	2.480	0.000000	82.56	63.09	0.00	18
RGLD	2011-11-07	3.007860	3.324620e+4	79.290	63.090	82.690	61.220	67.430	79.290	63.090	79.290	2.660	0.000000	80.79	63.09	0.00	19
RGLD	2011-11-04	3.026170	3.304510e+4	78.420	63.090	82.690	61.220	63.920	78.420	63.090	78.420	2.410	0.000000	79.93	63.09	0.00	20
RGLD	2011-11-03	3.058600	3.269470e+4	73.450	63.090	82.690	61.220	63.180	73.450	63.090	73.450	5.160	0.000000	74.98	63.09	0.00	21
RGLD	2011-11-02	2.948000	3.392130e+4	72.550	63.090	82.690	61.220	63.090	72.550	63.090	72.550	2.060	0.000000	74.02	63.09	0.00	22
RGLD	2011-11-01	2.994730	3.339190e+4	72.550	61.220	82.690	61.220	63.090	72.550	61.220	72.550	4.460	0.000000	74.05	61.22	0.00	23
RGLD	2011-10-31	2.917620	3.427460e+4	72.550	61.220	82.690	61.220	63.090	72.550	61.220	72.550	1.740	0.000000	74.01	61.22	0.00	24
RGLD	2011-10-28	2.979600	3.356160e+4	71.600	61.220	82.690	61.220	63.090	71.600	61.220	71.600	2.930	0.000000	73.09	61.22	0.00	25
RGLD	2011-10-27	2.982210	3.353220e+4	69.490	61.220	82.690	61.220	63.090	69.490	61.220	69.490	2.780	0.000000	70.98	61.22	0.00	26
RGLD	2011-10-26	2.992850	3.341300e+4	69.400	61.220	82.690	61.220	63.090	69.400	61.220	69.400	2.980	0.000000	70.90	61.22	0.00	27
RGLD	2011-10-25	2.993520	3.340540e+4	68.990	61.220	82.690	61.220	63.090	67.430	61.220	68.990	3.460	0.000000	70.49	61.22	0.00	28
RGLD	2011-10-24	2.968970	3.368170e+4	69.690	61.220	82.690	61.220	63.090	66.090	61.220	69.690	4.000	0.000000	71.17	61.22	0.00	29
RGLD	2011-10-21	2.914710	3.430880e+4	71.430	61.220	82.690	61.220	63.090	66.090	61.220	71.430	1.390	0.000000	72.89	61.22	0.00	30
RGLD	2011-10-20	2.994960	3.338950e+4	76.600	61.220	82.690	61.220	63.090	66.090	61.220	76.600	2.040	0.000000	78.10	61.22	0.00	31
RGLD	2011-10-19	3.045220	3.283840e+4	80.720	61.220	82.690	61.220	63.150	66.090	61.220	80.720	3.050	0.000000	82.24	61.22	0.00	32
RGLD	2011-10-18	3.044960	3.284110e+4	81.840	61.220	82.690	61.220	61.220	66.090	61.220	81.840	3.510	0.000000	83.36	61.22	0.00	33
RGLD	2011-10-17	3.020490	3.310720e+4	81.840	61.220	82.690	61.220	61.220	66.090	61.220	81.840	2.030	0.000000	83.35	61.22	0.00	34
RGLD	2011-10-14	3.072620	3.254550e+4	81.840	61.220	82.690	61.220	61.220	65.700	61.220	81.840	1.530	0.000000	83.38	61.22	0.00	35
RGLD	2011-10-13	3.153810	3.170770e+4	81.840	61.220	82.690	61.220	61.220	65.700	61.220	81.840	2.060	0.000000	83.42	61.22	0.00	36
RGLD	2011-10-12	3.211380	3.113930e+4	81.840	61.220	82.690	61.220	61.220	65.700	61.220	81.840	2.360	0.000000	83.45	61.22	0.00	37
RGLD	2011-10-11	3.256190	3.071070e+4	82.690	61.220	82.690	61.220	61.220	68.990	61.220	82.690	1.890	0.000000	84.32	61.22	0.00	38
RGLD	2011-10-10	3.328090	3.004720e+4	82.690	61.220	82.690	61.220	61.220	69.690	61.220	82.690	2.450	0.000000	84.35	61.22	0.00	39
RGLD	2011-10-07	3.374310	2.963570e+4	82.690	61.220	82.690	61.220	61.220	71.430	61.220	82.690	2.710	0.000000	84.38	61.22	0.00	40
RGLD	2011-10-06	3.409270	2.933180e+4	82.690	61.220	82.690	61.220	61.220	76.600	61.220	82.690	2.390	0.000000	84.39	61.22	0.00	41
RGLD	2011-10-05	3.462920	2.887740e+4	82.690	61.220	82.690	61.220	61.220	80.720	61.220	82.690	3.510	0.000000	84.42	61.22	0.00	42
RGLD	2011-10-04	3.460440	2.889800e+4	82.690	63.730	82.690	63.730	63.730	81.840	63.730	82.690	5.590	0.000000	84.42	63.73	0.00	43
RGLD	2011-10-03	3.348360	2.986540e+4	82.690	64.060	82.690	63.840	64.060	81.840	64.060	82.690	2.510	0.000000	84.36	64.06	0.00	44
RGLD	2011-09-30	3.392480	2.947690e+4	82.690	64.580	82.690	62.900	64.580	81.840	64.580	82.690	2.550	0.000000	84.39	64.58	0.00	45
RGLD	2011-09-29	3.436820	2.909660e+4	82.690	65.540	82.690	62.900	65.540	81.840	65.540	82.690	2.820	0.000000	84.41	65.54	0.00	46
RGLD	2011-09-28	3.469290	2.882430e+4	82.690	68.990	82.690	62.590	68.990	81.840	68.990	82.690	5.180	0.000000	84.42	68.99	0.00	47
RGLD	2011-09-27	3.379250	2.959240e+4	82.690	69.690	82.690	60.920	69.690	82.690	69.690	82.690	4.400	0.000000	84.38	69.69	0.00	48
RGLD	2011-09-26	3.325530	3.007040e+4	82.690	71.430	82.690	60.220	71.430	82.690	71.430	82.690	4.620	0.000000	84.35	71.43	0.00	49
RGLD	2011-09-23	3.257400	3.069940e+4	82.690	72.390	82.690	60.220	76.600	82.690	72.390	82.690	7.220	0.000000	84.32	72.39	0.00	50
