#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
RIO	2011-12-02	2.260680	4.423440e+4	57.660	46.320	58.180	42.300	46.320	53.070	46.320	57.660	0.890	0.000000	58.79	46.32	0.00	1
RIO	2011-12-01	2.332820	4.286650e+4	57.660	46.320	58.180	42.300	46.320	53.340	46.320	57.660	1.640	0.000000	58.83	46.32	0.00	2
RIO	2011-11-30	2.369290	4.220680e+4	57.660	46.320	58.180	42.300	46.320	55.350	46.320	57.660	4.780	0.000000	58.84	46.32	0.00	3
RIO	2011-11-29	2.242410	4.459490e+4	57.660	46.320	58.180	42.300	46.320	55.350	46.320	57.660	1.090	0.000000	58.78	46.32	0.00	4
RIO	2011-11-28	2.303060	4.342040e+4	58.180	46.320	58.180	42.300	46.320	55.480	46.320	58.180	3.340	0.000000	59.33	46.32	0.00	5
RIO	2011-11-25	2.248490	4.447440e+4	58.180	46.320	58.180	42.300	46.320	55.480	46.320	58.180	1.330	0.000000	59.30	46.32	0.00	6
RIO	2011-11-23	2.296830	4.353830e+4	58.180	48.260	59.760	42.300	48.260	55.480	48.260	58.180	2.070	0.000000	59.33	48.26	0.00	7
RIO	2011-11-22	2.308770	4.331320e+4	58.180	48.920	59.760	42.300	48.920	57.660	48.920	58.180	1.310	0.000000	59.33	48.92	0.00	8
RIO	2011-11-21	2.361330	4.234900e+4	58.180	51.630	59.760	42.300	51.630	57.660	51.630	58.180	3.650	0.000000	59.36	51.63	0.00	9
RIO	2011-11-18	2.293510	4.360130e+4	58.180	50.440	60.410	42.300	51.770	57.660	50.440	58.180	1.000	0.000000	59.33	50.44	0.00	10
RIO	2011-11-17	2.361590	4.234440e+4	58.180	47.920	61.160	42.300	53.340	57.660	47.920	58.180	2.040	0.000000	59.36	47.92	0.00	11
RIO	2011-11-16	2.378510	4.204310e+4	58.180	47.890	61.160	42.300	53.770	57.660	47.890	58.180	2.080	0.000000	59.37	47.89	0.00	12
RIO	2011-11-15	2.394220	4.176720e+4	58.180	47.890	61.160	42.300	51.960	57.660	47.890	58.180	1.760	0.000000	59.38	47.89	0.00	13
RIO	2011-11-14	2.427600	4.119290e+4	58.180	47.890	61.160	42.300	51.960	57.660	47.890	58.180	1.910	0.000000	59.39	47.89	0.00	14
RIO	2011-11-11	2.454850	4.073570e+4	58.180	47.890	61.160	42.300	51.960	58.180	47.890	58.180	1.320	0.000000	59.41	47.89	0.00	15
RIO	2011-11-10	2.514580	3.976810e+4	58.180	47.890	61.160	42.300	51.960	58.180	47.890	58.180	1.410	0.000000	59.44	47.89	0.00	16
RIO	2011-11-09	2.572710	3.886950e+4	58.180	47.890	61.160	42.300	51.960	58.180	47.890	58.180	3.680	0.000000	59.47	47.89	0.00	17
RIO	2011-11-08	2.514430	3.977040e+4	58.180	47.890	61.160	42.300	51.960	58.180	47.890	58.180	1.620	0.000000	59.44	47.89	0.00	18
RIO	2011-11-07	2.561510	3.903950e+4	58.180	47.890	61.160	42.300	51.960	58.180	47.890	58.180	1.320	0.000000	59.46	47.89	0.00	19
RIO	2011-11-04	2.626850	3.806840e+4	58.180	47.890	61.160	42.300	50.440	58.180	47.890	58.180	1.970	0.000000	59.49	47.89	0.00	20
RIO	2011-11-03	2.661420	3.757390e+4	58.180	47.890	61.660	42.300	47.920	58.180	47.890	58.180	2.540	0.000000	59.51	47.89	0.00	21
RIO	2011-11-02	2.667810	3.748390e+4	58.180	45.510	61.660	42.300	47.890	58.180	45.510	58.180	2.360	0.000000	59.51	45.51	0.00	22
RIO	2011-11-01	2.684010	3.725760e+4	58.180	43.870	61.660	42.300	47.890	58.180	43.870	58.180	2.890	0.000000	59.52	43.87	0.00	23
RIO	2011-10-31	2.673170	3.740870e+4	58.180	42.300	61.660	42.300	47.890	58.180	42.300	58.180	4.180	0.000000	59.52	42.30	0.00	24
RIO	2011-10-28	2.593870	3.855250e+4	58.080	42.300	61.660	42.300	47.890	58.080	42.300	58.080	1.760	0.000000	59.38	42.30	0.00	25
RIO	2011-10-27	2.637750	3.791100e+4	54.520	42.300	61.660	42.300	47.890	54.520	42.300	54.520	5.630	0.000000	55.84	42.30	0.00	26
RIO	2011-10-26	2.480270	4.031820e+4	54.520	42.300	61.660	42.300	47.890	54.520	42.300	54.520	1.950	0.000000	55.76	42.30	0.00	27
