#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
RPM	2011-12-02	0.744923	1.342420e+5	23.630	21.330	23.630	17.530	21.330	23.600	21.330	23.630	0.850	0.000000	24.00	21.33	0.00	1
RPM	2011-12-01	0.739393	1.352460e+5	23.630	21.330	23.630	17.530	21.330	23.600	21.330	23.630	0.480	0.000000	24.00	21.33	0.00	2
RPM	2011-11-30	0.753045	1.327940e+5	23.630	21.330	23.630	17.530	21.330	23.200	21.330	23.630	1.260	0.000000	24.01	21.33	0.00	3
RPM	2011-11-29	0.726363	1.376720e+5	23.630	21.330	23.630	17.530	21.330	23.210	21.330	23.630	0.400	0.000000	23.99	21.33	0.00	4
RPM	2011-11-28	0.743540	1.344920e+5	23.630	21.330	23.630	17.530	21.330	23.500	21.330	23.630	0.960	0.000000	24.00	21.33	0.00	5
RPM	2011-11-25	0.732148	1.365840e+5	23.630	21.330	23.630	17.530	21.330	23.500	21.330	23.630	0.450	0.000000	24.00	21.33	0.00	6
RPM	2011-11-23	0.746997	1.338690e+5	23.630	21.810	23.630	17.530	22.320	23.500	21.810	23.630	1.040	0.000000	24.00	21.81	0.00	7
RPM	2011-11-22	0.731576	1.366910e+5	23.630	21.590	23.630	17.530	22.370	23.630	21.590	23.630	0.650	0.000000	24.00	21.59	0.00	8
RPM	2011-11-21	0.735870	1.358940e+5	23.630	21.590	23.630	17.530	22.490	23.630	21.590	23.630	0.920	0.000000	24.00	21.59	0.00	9
RPM	2011-11-18	0.726179	1.377070e+5	23.630	21.590	23.630	17.530	22.660	23.630	21.590	23.630	0.580	0.000000	23.99	21.59	0.00	10
RPM	2011-11-17	0.733872	1.362640e+5	23.630	21.170	23.630	17.530	22.660	23.630	21.170	23.630	0.710	0.000000	24.00	21.17	0.00	11
RPM	2011-11-16	0.735129	1.360310e+5	23.630	20.880	23.630	17.530	22.520	23.630	20.880	23.630	0.790	0.000000	24.00	20.88	0.00	12
RPM	2011-11-15	0.732241	1.365670e+5	23.630	20.880	23.630	17.530	21.810	23.630	20.880	23.630	0.460	0.000000	24.00	20.88	0.00	13
RPM	2011-11-14	0.746569	1.339460e+5	23.630	20.610	23.630	17.530	21.810	23.630	20.610	23.630	0.440	0.000000	24.00	20.61	0.00	14
RPM	2011-11-11	0.762704	1.311120e+5	23.630	20.610	23.630	17.530	21.810	23.630	20.610	23.630	0.710	0.000000	24.01	20.61	0.00	15
RPM	2011-11-10	0.765478	1.306370e+5	23.630	20.610	23.630	17.530	21.810	23.630	20.610	23.630	0.640	0.000000	24.01	20.61	0.00	16
RPM	2011-11-09	0.772082	1.295200e+5	23.630	20.610	23.630	17.530	21.810	23.630	20.610	23.630	1.150	0.000000	24.02	20.61	0.00	17
RPM	2011-11-08	0.752192	1.329450e+5	23.400	20.610	23.400	17.530	21.590	23.400	20.610	23.400	0.710	0.000000	23.78	20.61	0.00	18
RPM	2011-11-07	0.754413	1.325530e+5	23.400	20.610	23.400	17.530	21.590	23.400	20.610	23.400	0.900	0.000000	23.78	20.61	0.00	19
RPM	2011-11-04	0.746750	1.339140e+5	23.240	20.220	23.240	17.530	21.590	23.240	20.220	23.240	0.690	0.000000	23.61	20.22	0.00	20
RPM	2011-11-03	0.749737	1.333800e+5	23.140	20.220	23.140	17.530	21.170	23.140	20.220	23.140	0.850	0.000000	23.51	20.22	0.00	21
RPM	2011-11-02	0.744460	1.343260e+5	23.140	20.220	23.140	17.530	20.880	23.140	20.220	23.140	0.890	0.000000	23.51	20.22	0.00	22
RPM	2011-11-01	0.736800	1.357220e+5	23.140	18.760	23.140	17.530	20.880	23.140	18.760	23.140	0.750	0.000000	23.51	18.76	0.00	23
RPM	2011-10-31	0.736105	1.358500e+5	23.140	18.040	23.140	17.530	20.610	23.140	18.040	23.140	0.690	0.000000	23.51	18.04	0.00	24
RPM	2011-10-28	0.738532	1.354040e+5	23.140	18.040	23.140	17.530	20.610	23.140	18.040	23.140	0.450	0.000000	23.51	18.04	0.00	25
RPM	2011-10-27	0.753718	1.326760e+5	22.160	18.040	22.160	17.530	20.610	22.160	18.040	22.160	1.420	0.000000	22.54	18.04	0.00	26
RPM	2011-10-26	0.718650	1.391500e+5	22.160	18.040	22.160	17.530	20.610	22.160	18.040	22.160	0.580	0.000000	22.52	18.04	0.00	27
RPM	2011-10-25	0.725948	1.377510e+5	22.160	18.040	22.160	17.400	20.610	22.160	18.040	22.160	0.620	0.000000	22.52	18.04	0.00	28
RPM	2011-10-24	0.731524	1.367010e+5	21.740	18.040	21.740	17.400	20.610	21.740	18.040	21.740	0.530	0.000000	22.11	18.04	0.00	29
RPM	2011-10-21	0.742130	1.347470e+5	21.300	17.680	21.300	17.400	20.220	21.300	17.680	21.300	0.580	0.000000	21.67	17.68	0.00	30
RPM	2011-10-20	0.750663	1.332150e+5	21.300	17.530	21.300	17.400	20.220	21.300	17.530	21.300	0.580	0.000000	21.68	17.53	0.00	31
RPM	2011-10-19	0.759646	1.316400e+5	21.300	17.530	21.300	17.400	20.220	21.300	17.530	21.300	0.560	0.000000	21.68	17.53	0.00	32
RPM	2011-10-18	0.770153	1.298440e+5	21.250	17.530	21.250	17.400	18.760	21.250	17.530	21.250	1.080	0.000000	21.64	17.53	0.00	33
RPM	2011-10-17	0.753846	1.326530e+5	21.250	17.530	21.250	17.400	18.040	21.250	17.530	21.250	0.720	0.000000	21.63	17.53	0.00	34
RPM	2011-10-14	0.755627	1.323400e+5	21.140	17.530	21.460	17.400	18.040	21.140	17.530	21.140	0.460	0.000000	21.52	17.53	0.00	35
RPM	2011-10-13	0.771186	1.296700e+5	21.140	17.530	21.580	17.400	18.040	21.140	17.530	21.140	0.610	0.000000	21.53	17.53	0.00	36
RPM	2011-10-12	0.779670	1.282590e+5	20.820	17.530	22.080	17.400	18.040	20.820	17.530	20.820	0.560	0.000000	21.21	17.53	0.00	37
RPM	2011-10-11	0.791231	1.263850e+5	20.760	17.530	22.830	17.400	18.040	20.760	17.530	20.760	0.450	0.000000	21.16	17.53	0.00	38
RPM	2011-10-10	0.809191	1.235800e+5	20.600	17.530	22.830	17.400	18.040	20.600	17.530	20.600	0.740	0.000000	21.00	17.53	0.00	39
RPM	2011-10-07	0.812833	1.230270e+5	20.600	17.530	22.830	17.400	17.680	20.600	17.530	20.600	0.800	0.000000	21.01	17.53	0.00	40
RPM	2011-10-06	0.813508	1.229240e+5	20.600	17.530	22.830	17.400	17.530	20.600	17.530	20.600	0.680	0.000000	21.01	17.53	0.00	41
RPM	2011-10-05	0.820535	1.218720e+5	19.280	17.530	22.830	17.400	17.530	18.890	17.530	19.280	2.010	0.000000	19.69	17.53	0.00	42
RPM	2011-10-04	0.757931	1.319380e+5	19.280	17.530	22.830	17.400	17.530	18.940	17.530	19.280	1.120	0.000000	19.66	17.53	0.00	43
RPM	2011-10-03	0.738875	1.353410e+5	19.280	17.530	22.830	17.400	17.530	18.990	17.530	19.280	1.100	0.000000	19.65	17.53	0.00	44
RPM	2011-09-30	0.719869	1.389140e+5	19.350	17.530	22.830	17.400	17.530	19.200	17.530	19.350	0.850	0.000000	19.71	17.53	0.00	45
RPM	2011-09-29	0.713020	1.402490e+5	20.840	17.530	22.830	17.400	17.530	19.210	17.530	20.840	0.820	0.000000	21.20	17.53	0.00	46
RPM	2011-09-28	0.707389	1.413650e+5	20.840	17.530	22.990	17.400	17.530	19.210	17.530	20.840	0.820	0.000000	21.19	17.53	0.00	47
RPM	2011-09-27	0.701462	1.425590e+5	20.840	17.530	23.180	17.400	17.530	19.210	17.530	20.840	0.960	0.000000	21.19	17.53	0.00	48
RPM	2011-09-26	0.687855	1.453800e+5	20.840	17.530	23.550	17.400	17.530	19.210	17.530	20.840	1.030	0.000000	21.18	17.53	0.00	49
RPM	2011-09-23	0.669847	1.492880e+5	20.840	17.530	23.700	17.400	17.530	19.210	17.530	20.840	0.390	0.000000	21.17	17.53	0.00	50
RPM	2011-09-22	0.684576	1.460760e+5	20.840	18.000	23.700	17.400	18.000	19.210	18.000	20.840	0.820	0.000000	21.18	18.00	0.00	51
RPM	2011-09-21	0.677448	1.476130e+5	20.840	18.000	23.700	17.400	18.000	19.280	18.000	20.840	0.820	0.000000	21.18	18.00	0.00	52
RPM	2011-09-20	0.669946	1.492660e+5	20.840	18.000	23.700	17.400	18.000	19.280	18.000	20.840	0.440	0.000000	21.18	18.00	0.00	53
RPM	2011-09-19	0.682048	1.466170e+5	20.840	18.000	23.700	17.400	18.000	19.280	18.000	20.840	0.600	0.000000	21.18	18.00	0.00	54
