#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
RPT	2011-12-02	0.339950	2.941610e+5	9.660	8.100	9.940	7.600	8.100	9.080	8.100	9.660	0.350	0.000000	9.83	8.10	0.00	1
RPT	2011-12-01	0.339421	2.946190e+5	9.660	8.100	9.940	7.600	8.100	9.100	8.100	9.660	0.380	0.000000	9.83	8.10	0.00	2
RPT	2011-11-30	0.337285	2.964850e+5	9.660	8.100	9.940	7.600	8.100	9.250	8.100	9.660	0.300	0.000000	9.83	8.10	0.00	3
RPT	2011-11-29	0.339248	2.947700e+5	9.660	8.100	9.940	7.600	8.100	9.250	8.100	9.660	0.250	0.000000	9.83	8.10	0.00	4
RPT	2011-11-28	0.343945	2.907440e+5	9.940	8.100	9.940	7.600	8.100	9.590	8.100	9.940	0.350	0.000000	10.11	8.10	0.00	5
RPT	2011-11-25	0.343626	2.910140e+5	9.940	8.170	9.940	7.600	8.170	9.590	8.170	9.940	0.210	0.000000	10.11	8.17	0.00	6
RPT	2011-11-23	0.350659	2.851770e+5	9.940	8.570	9.940	7.600	8.570	9.590	8.570	9.940	0.440	0.000000	10.12	8.57	0.00	7
RPT	2011-11-22	0.345957	2.890530e+5	9.940	8.700	9.940	7.600	8.700	9.660	8.700	9.940	0.230	0.000000	10.11	8.70	0.00	8
RPT	2011-11-21	0.352060	2.840420e+5	9.940	9.000	9.940	7.600	9.010	9.660	9.000	9.940	0.320	0.000000	10.12	9.00	0.00	9
RPT	2011-11-18	0.353747	2.826880e+5	9.940	9.000	10.030	7.600	9.080	9.660	9.000	9.940	0.190	0.000000	10.12	9.00	0.00	10
RPT	2011-11-17	0.362366	2.759640e+5	9.940	8.590	10.350	7.600	9.100	9.660	8.590	9.940	0.240	0.000000	10.12	8.59	0.00	11
RPT	2011-11-16	0.368806	2.711450e+5	9.940	8.470	10.350	7.600	9.220	9.660	8.470	9.940	0.210	0.000000	10.12	8.47	0.00	12
RPT	2011-11-15	0.377164	2.651370e+5	9.940	8.470	10.380	7.600	9.220	9.660	8.470	9.940	0.230	0.000000	10.13	8.47	0.00	13
RPT	2011-11-14	0.384910	2.598010e+5	9.940	8.150	10.380	7.600	9.220	9.660	8.150	9.940	0.390	0.000000	10.13	8.15	0.00	14
RPT	2011-11-11	0.384642	2.599820e+5	9.940	8.150	10.380	7.600	9.220	9.940	8.150	9.940	0.300	0.000000	10.13	8.15	0.00	15
RPT	2011-11-10	0.389097	2.570060e+5	9.940	8.150	10.380	7.600	9.220	9.940	8.150	9.940	0.230	0.000000	10.13	8.15	0.00	16
RPT	2011-11-09	0.397470	2.515910e+5	9.940	8.150	10.380	7.600	9.240	9.940	8.150	9.940	0.490	0.000000	10.14	8.15	0.00	17
RPT	2011-11-08	0.392600	2.547120e+5	9.940	8.150	10.380	7.600	9.000	9.940	8.150	9.940	0.490	0.000000	10.14	8.15	0.00	18
RPT	2011-11-07	0.387474	2.580820e+5	9.940	8.150	10.380	7.600	9.000	9.940	8.150	9.940	0.320	0.000000	10.13	8.15	0.00	19
RPT	2011-11-04	0.391025	2.557380e+5	9.940	7.690	10.380	7.600	9.000	9.940	7.690	9.940	0.250	0.000000	10.14	7.69	0.00	20
RPT	2011-11-03	0.398447	2.509740e+5	9.940	7.690	10.550	7.600	8.590	9.940	7.690	9.940	0.230	0.000000	10.14	7.69	0.00	21
RPT	2011-11-02	0.407313	2.455110e+5	9.940	7.690	10.550	7.600	8.470	9.940	7.690	9.940	0.320	0.000000	10.14	7.69	0.00	22
RPT	2011-11-01	0.411908	2.427720e+5	9.940	7.690	10.620	7.600	8.470	9.940	7.690	9.940	0.440	0.000000	10.15	7.69	0.00	23
RPT	2011-10-31	0.410430	2.436470e+5	9.940	7.600	10.620	7.600	8.150	9.940	7.600	9.940	0.410	0.000000	10.15	7.60	0.00	24
RPT	2011-10-28	0.410453	2.436340e+5	9.900	7.600	10.620	7.600	8.150	9.900	7.600	9.900	0.300	0.000000	10.11	7.60	0.00	25
