#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
RSO	2011-12-01	0.169318	5.906040e+5	5.480	5.000	5.740	4.550	5.000	5.330	5.000	5.480	0.150	0.000000	5.56	5.00	0.00	1
RSO	2011-11-30	0.170335	5.870790e+5	5.480	5.000	5.740	4.550	5.000	5.250	5.000	5.480	0.250	0.000000	5.57	5.00	0.00	2
RSO	2011-11-29	0.166142	6.018950e+5	5.480	5.000	5.740	4.550	5.000	5.250	5.000	5.480	0.120	0.000000	5.56	5.00	0.00	3
RSO	2011-11-28	0.168570	5.932240e+5	5.540	5.000	5.740	4.550	5.000	5.350	5.000	5.540	0.160	0.000000	5.62	5.00	0.00	4
RSO	2011-11-25	0.169022	5.916410e+5	5.540	5.010	5.740	4.550	5.010	5.350	5.010	5.540	0.120	0.000000	5.62	5.01	0.00	5
RSO	2011-11-23	0.171602	5.827450e+5	5.540	5.110	5.740	4.550	5.110	5.350	5.110	5.540	0.140	0.000000	5.63	5.11	0.00	6
RSO	2011-11-22	0.173265	5.771510e+5	5.540	5.140	5.740	4.550	5.140	5.400	5.140	5.540	0.120	0.000000	5.63	5.14	0.00	7
RSO	2011-11-21	0.176068	5.679620e+5	5.540	5.200	5.740	4.550	5.200	5.400	5.200	5.540	0.180	0.000000	5.63	5.20	0.00	8
RSO	2011-11-18	0.175861	5.686300e+5	5.540	5.200	5.740	4.550	5.200	5.400	5.200	5.540	0.090	0.000000	5.63	5.20	0.00	9
RSO	2011-11-17	0.180380	5.543840e+5	5.540	5.170	5.740	4.550	5.210	5.400	5.170	5.540	0.110	0.000000	5.63	5.17	0.00	10
RSO	2011-11-16	0.184085	5.432290e+5	5.540	5.130	5.740	4.550	5.210	5.480	5.130	5.540	0.130	0.000000	5.63	5.13	0.00	11
RSO	2011-11-15	0.186931	5.349560e+5	5.540	5.130	5.740	4.550	5.210	5.480	5.130	5.540	0.120	0.000000	5.63	5.13	0.00	12
RSO	2011-11-14	0.190454	5.250620e+5	5.540	5.080	5.740	4.550	5.220	5.480	5.080	5.540	0.160	0.000000	5.64	5.08	0.00	13
RSO	2011-11-11	0.192057	5.206800e+5	5.540	5.080	5.740	4.550	5.220	5.540	5.080	5.540	0.150	0.000000	5.64	5.08	0.00	14
RSO	2011-11-10	0.194270	5.147470e+5	5.540	5.080	5.740	4.550	5.240	5.540	5.080	5.540	0.180	0.000000	5.64	5.08	0.00	15
RSO	2011-11-09	0.195021	5.127650e+5	5.540	5.080	5.740	4.550	5.280	5.540	5.080	5.540	0.170	0.000000	5.64	5.08	0.00	16
RSO	2011-11-08	0.196338	5.093250e+5	5.540	4.980	5.740	4.550	5.280	5.540	4.980	5.540	0.120	0.000000	5.64	4.98	0.00	17
RSO	2011-11-07	0.200356	4.991120e+5	5.540	4.950	5.740	4.550	5.280	5.540	4.950	5.540	0.180	0.000000	5.64	4.95	0.00	18
RSO	2011-11-04	0.201427	4.964570e+5	5.540	4.780	5.740	4.550	5.280	5.540	4.780	5.540	0.120	0.000000	5.64	4.78	0.00	19
RSO	2011-11-03	0.205713	4.861140e+5	5.540	4.780	5.740	4.550	5.170	5.540	4.780	5.540	0.230	0.000000	5.64	4.78	0.00	20
RSO	2011-11-02	0.204435	4.891540e+5	5.540	4.780	5.740	4.550	5.130	5.540	4.780	5.540	0.210	0.000000	5.64	4.78	0.00	21
RSO	2011-11-01	0.204142	4.898560e+5	5.540	4.780	5.750	4.550	5.130	5.540	4.780	5.540	0.230	0.000000	5.64	4.78	0.00	22
RSO	2011-10-31	0.202781	4.931430e+5	5.540	4.550	5.750	4.550	5.080	5.540	4.550	5.540	0.170	0.000000	5.64	4.55	0.00	23
RSO	2011-10-28	0.204506	4.889830e+5	5.490	4.550	5.750	4.550	5.080	5.490	4.550	5.490	0.170	0.000000	5.59	4.55	0.00	24
RSO	2011-10-27	0.206322	4.846790e+5	5.400	4.550	5.750	4.550	5.080	5.400	4.550	5.400	0.200	0.000000	5.50	4.55	0.00	25
RSO	2011-10-26	0.206655	4.838980e+5	5.400	4.550	5.750	4.550	5.080	5.400	4.550	5.400	0.170	0.000000	5.50	4.55	0.00	26
RSO	2011-10-25	0.208584	4.794230e+5	5.700	4.550	5.750	4.540	4.980	5.400	4.550	5.700	0.150	0.000000	5.80	4.55	0.00	27
RSO	2011-10-24	0.211668	4.724390e+5	5.720	4.550	5.750	4.540	4.950	5.300	4.550	5.720	0.140	0.000000	5.83	4.55	0.00	28
RSO	2011-10-21	0.215439	4.641670e+5	5.720	4.550	5.750	4.540	4.780	5.240	4.550	5.720	0.130	0.000000	5.83	4.55	0.00	29
RSO	2011-10-20	0.219936	4.546770e+5	5.720	4.550	5.750	4.540	4.780	5.240	4.550	5.720	0.160	0.000000	5.83	4.55	0.00	30
RSO	2011-10-19	0.223091	4.482480e+5	5.720	4.550	5.750	4.540	4.780	5.240	4.550	5.720	0.130	0.000000	5.83	4.55	0.00	31
