#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
RUS	2011-12-02	0.593084	1.686100e+5	24.250	22.550	24.250	19.630	22.550	23.480	22.550	24.250	0.360	0.000000	24.55	22.55	0.00	1
RUS	2011-12-01	0.605351	1.651930e+5	24.250	22.550	24.250	19.630	22.550	23.480	22.550	24.250	0.490	0.000000	24.55	22.55	0.00	2
RUS	2011-11-30	0.611422	1.635530e+5	24.250	22.550	24.250	19.630	22.550	24.000	22.550	24.250	0.420	0.000000	24.56	22.55	0.00	3
RUS	2011-11-29	0.621497	1.609020e+5	24.250	22.550	24.250	19.630	22.550	24.200	22.550	24.250	0.420	0.000000	24.56	22.55	0.00	4
RUS	2011-11-28	0.632102	1.582020e+5	24.250	22.550	24.250	19.630	22.550	24.200	22.550	24.250	0.870	0.000000	24.57	22.55	0.00	5
RUS	2011-11-25	0.619581	1.613990e+5	24.250	22.600	24.250	19.630	22.600	24.200	22.600	24.250	0.570	0.000000	24.56	22.60	0.00	6
RUS	2011-11-24	0.622191	1.607220e+5	24.250	22.600	24.250	19.630	22.600	24.200	22.600	24.250	0.370	0.000000	24.56	22.60	0.00	7
RUS	2011-11-23	0.635464	1.573650e+5	24.250	22.400	24.250	19.630	23.010	24.200	22.400	24.250	0.730	0.000000	24.57	22.40	0.00	8
RUS	2011-11-22	0.630489	1.586070e+5	24.250	22.030	24.250	19.630	23.010	24.250	22.030	24.250	0.530	0.000000	24.57	22.03	0.00	9
RUS	2011-11-21	0.635777	1.572880e+5	24.250	22.030	24.250	19.630	23.010	24.250	22.030	24.250	0.710	0.000000	24.57	22.03	0.00	10
RUS	2011-11-18	0.631871	1.582600e+5	24.250	22.030	24.250	19.630	23.010	24.250	22.030	24.250	0.690	0.000000	24.57	22.03	0.00	11
RUS	2011-11-17	0.628812	1.590300e+5	24.250	21.910	24.250	19.630	23.380	24.250	21.910	24.250	1.200	0.000000	24.56	21.91	0.00	12
RUS	2011-11-16	0.598749	1.670150e+5	24.250	21.770	24.250	19.630	22.900	24.250	21.770	24.250	0.370	0.000000	24.55	21.77	0.00	13
RUS	2011-11-15	0.610789	1.637230e+5	24.250	21.770	24.250	19.630	22.600	24.250	21.770	24.250	0.460	0.000000	24.56	21.77	0.00	14
RUS	2011-11-14	0.618725	1.616230e+5	24.250	21.510	24.250	19.630	22.600	24.250	21.510	24.250	0.380	0.000000	24.56	21.51	0.00	15
RUS	2011-11-11	0.631289	1.584060e+5	24.250	21.450	24.250	19.630	22.600	24.250	21.450	24.250	0.280	0.000000	24.57	21.45	0.00	16
RUS	2011-11-10	0.649778	1.538990e+5	24.250	21.260	24.250	19.630	22.600	24.250	21.260	24.250	0.490	0.000000	24.57	21.26	0.00	17
RUS	2011-11-09	0.658187	1.519320e+5	24.250	21.260	24.250	19.630	22.400	24.250	21.260	24.250	0.400	0.000000	24.58	21.26	0.00	18
RUS	2011-11-08	0.671776	1.488590e+5	23.870	21.260	23.870	19.630	22.030	23.870	21.260	23.870	0.480	0.000000	24.21	21.26	0.00	19
RUS	2011-11-07	0.681870	1.466560e+5	23.820	20.730	23.820	19.630	22.030	23.820	20.730	23.820	0.540	0.000000	24.16	20.73	0.00	20
RUS	2011-11-04	0.689337	1.450670e+5	23.380	20.300	23.380	19.630	22.030	23.380	20.300	23.380	0.890	0.000000	23.72	20.30	0.00	21
RUS	2011-11-03	0.678775	1.473240e+5	23.120	20.300	23.120	19.630	21.910	23.120	20.300	23.120	0.530	0.000000	23.46	20.30	0.00	22
RUS	2011-11-02	0.686606	1.456440e+5	23.120	19.630	23.710	19.630	21.770	23.120	19.630	23.120	0.660	0.000000	23.46	19.63	0.00	23
RUS	2011-11-01	0.688006	1.453480e+5	23.120	19.630	23.710	19.630	21.770	23.120	19.630	23.120	0.880	0.000000	23.46	19.63	0.00	24
RUS	2011-10-31	0.677901	1.475140e+5	23.120	19.630	23.710	19.630	21.510	23.120	19.630	23.120	0.410	0.000000	23.46	19.63	0.00	25
RUS	2011-10-28	0.692001	1.445080e+5	23.120	19.630	23.710	19.630	21.450	23.120	19.630	23.120	0.400	0.000000	23.47	19.63	0.00	26
RUS	2011-10-27	0.707370	1.413690e+5	22.770	19.630	23.710	19.630	21.260	22.770	19.630	22.770	0.890	0.000000	23.12	19.63	0.00	27
RUS	2011-10-26	0.697757	1.433160e+5	22.770	19.630	23.710	19.630	21.260	22.770	19.630	22.770	0.430	0.000000	23.12	19.63	0.00	28
RUS	2011-10-25	0.711850	1.404790e+5	22.770	19.630	23.710	19.630	21.260	22.770	19.630	22.770	0.760	0.000000	23.13	19.63	0.00	29
RUS	2011-10-24	0.709316	1.409810e+5	22.350	19.630	23.710	19.630	20.730	22.350	19.630	22.350	0.480	0.000000	22.70	19.63	0.00	30
RUS	2011-10-21	0.721385	1.386220e+5	22.020	19.630	23.710	19.630	20.300	22.020	19.630	22.020	0.820	0.000000	22.38	19.63	0.00	31
RUS	2011-10-20	0.716195	1.396270e+5	22.020	19.630	23.710	19.630	20.300	22.020	19.630	22.020	0.440	0.000000	22.38	19.63	0.00	32
