#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
SAP	2011-12-02	0.992455	1.007600e+5	41.300	37.410	43.450	36.950	37.410	40.110	37.410	41.300	1.230	0.000000	41.80	37.41	0.00	1
SAP	2011-12-01	0.979953	1.020460e+5	41.300	37.410	43.450	36.170	37.410	40.110	37.410	41.300	1.300	0.000000	41.79	37.41	0.00	2
SAP	2011-11-30	0.963108	1.038300e+5	41.300	37.410	43.450	36.170	37.410	40.110	37.410	41.300	0.580	0.000000	41.78	37.41	0.00	3
SAP	2011-11-29	0.983272	1.017010e+5	41.300	37.850	43.450	36.170	37.850	40.110	37.850	41.300	0.700	0.000000	41.79	37.85	0.00	4
SAP	2011-11-28	0.998181	1.001820e+5	41.300	38.100	43.450	36.170	38.100	40.110	38.100	41.300	1.210	0.000000	41.80	38.10	0.00	5
SAP	2011-11-25	0.987033	1.013140e+5	41.860	38.250	43.450	36.170	38.250	40.320	38.250	41.860	0.750	0.000000	42.35	38.25	0.00	6
SAP	2011-11-24	0.999508	1.000490e+5	42.410	38.450	43.450	36.170	38.450	40.320	38.450	42.410	0.500	0.000000	42.91	38.45	0.00	7
SAP	2011-11-23	1.025800	9.748510e+4	42.410	38.920	43.450	36.170	38.920	40.410	38.920	42.410	1.260	0.000000	42.92	38.92	0.00	8
SAP	2011-11-22	1.013470	9.867080e+4	42.410	39.850	43.450	36.170	39.850	41.300	39.850	42.410	1.310	0.000000	42.92	39.85	0.00	9
SAP	2011-11-21	0.997865	1.002140e+5	42.410	39.850	43.450	36.170	39.850	41.300	39.850	42.410	0.540	0.000000	42.91	39.85	0.00	10
SAP	2011-11-18	1.021960	9.785090e+4	42.410	39.850	43.450	36.170	39.850	41.300	39.850	42.410	0.530	0.000000	42.92	39.85	0.00	11
SAP	2011-11-17	1.047860	9.543300e+4	42.410	40.000	43.450	36.170	40.000	41.300	40.000	42.410	0.450	0.000000	42.93	40.00	0.00	12
SAP	2011-11-16	1.079320	9.265080e+4	42.410	40.000	43.450	36.170	40.000	41.300	40.000	42.410	0.800	0.000000	42.95	40.00	0.00	13
SAP	2011-11-15	1.094020	9.140580e+4	42.410	40.000	43.450	36.170	40.000	41.300	40.000	42.410	0.860	0.000000	42.96	40.00	0.00	14
SAP	2011-11-14	1.106340	9.038810e+4	42.410	40.200	43.450	36.170	40.200	41.300	40.200	42.410	0.880	0.000000	42.96	40.20	0.00	15
SAP	2011-11-11	1.118250	8.942520e+4	42.410	40.200	43.450	36.170	40.200	41.860	40.200	42.410	0.340	0.000000	42.97	40.20	0.00	16
SAP	2011-11-10	1.159210	8.626540e+4	42.410	40.410	43.450	36.170	40.410	42.410	40.410	42.410	0.750	0.000000	42.99	40.41	0.00	17
SAP	2011-11-09	1.180750	8.469190e+4	42.460	40.500	43.450	36.170	40.750	42.410	40.500	42.460	1.030	0.000000	43.05	40.50	0.00	18
SAP	2011-11-08	1.188690	8.412660e+4	42.460	40.500	43.450	36.170	40.750	42.410	40.500	42.460	0.480	0.000000	43.05	40.50	0.00	19
SAP	2011-11-07	1.225980	8.156710e+4	42.460	40.500	43.450	36.170	40.750	42.410	40.500	42.460	0.510	0.000000	43.07	40.50	0.00	20
SAP	2011-11-04	1.263670	7.913470e+4	43.450	40.500	43.450	36.170	40.800	42.410	40.500	43.450	0.800	0.000000	44.08	40.50	0.00	21
SAP	2011-11-03	1.288070	7.763550e+4	43.450	40.500	43.450	36.170	40.800	42.410	40.500	43.450	0.620	0.000000	44.09	40.50	0.00	22
SAP	2011-11-02	1.323230	7.557250e+4	43.450	40.500	43.450	36.170	40.500	42.410	40.500	43.450	0.700	0.000000	44.11	40.50	0.00	23
SAP	2011-11-01	1.356030	7.374440e+4	43.450	40.500	43.450	36.170	40.500	42.410	40.500	43.450	1.180	0.000000	44.13	40.50	0.00	24
SAP	2011-10-31	1.365300	7.324400e+4	43.450	40.500	43.450	36.170	40.500	42.410	40.500	43.450	1.150	0.000000	44.13	40.50	0.00	25
SAP	2011-10-28	1.376630	7.264110e+4	43.450	40.500	43.450	36.170	40.500	42.410	40.500	43.450	1.410	0.000000	44.14	40.50	0.00	26
SAP	2011-10-27	1.374870	7.273390e+4	43.450	40.390	43.450	36.170	40.500	42.200	40.390	43.450	1.070	0.000000	44.14	40.39	0.00	27
SAP	2011-10-26	1.390920	7.189480e+4	43.450	40.390	43.450	36.170	40.500	42.460	40.390	43.450	1.000	0.000000	44.15	40.39	0.00	28
SAP	2011-10-25	1.411500	7.084680e+4	43.450	40.390	43.450	36.170	40.500	42.460	40.390	43.450	1.270	0.000000	44.16	40.39	0.00	29
SAP	2011-10-24	1.418940	7.047500e+4	43.450	39.620	43.450	36.170	40.500	42.460	39.620	43.450	0.980	0.000000	44.16	39.62	0.00	30
SAP	2011-10-21	1.442040	6.934600e+4	43.450	38.390	43.450	36.170	40.500	43.450	38.390	43.450	1.390	0.000000	44.17	38.39	0.00	31
SAP	2011-10-20	1.444780	6.921450e+4	43.450	38.390	43.450	36.170	40.500	43.450	38.390	43.450	0.730	0.000000	44.17	38.39	0.00	32
SAP	2011-10-19	1.482400	6.745800e+4	43.450	38.390	44.750	36.170	41.140	43.450	38.390	43.450	1.510	0.000000	44.19	38.39	0.00	33
SAP	2011-10-18	1.480950	6.752410e+4	43.450	38.390	45.750	36.170	41.140	43.450	38.390	43.450	1.130	0.000000	44.19	38.39	0.00	34
SAP	2011-10-17	1.499420	6.669230e+4	43.450	37.700	45.930	36.170	41.140	43.450	37.700	43.450	0.820	0.000000	44.20	37.70	0.00	35
SAP	2011-10-14	1.535180	6.513880e+4	43.450	36.950	46.900	36.170	41.140	43.450	36.950	43.450	1.310	0.000000	44.22	36.95	0.00	36
SAP	2011-10-13	1.547030	6.463980e+4	43.450	36.170	47.270	36.170	40.390	43.450	36.170	43.450	0.880	0.000000	44.22	36.17	0.00	37
SAP	2011-10-12	1.582140	6.320550e+4	43.450	36.170	47.270	36.170	40.390	43.450	36.170	43.450	1.190	0.000000	44.24	36.17	0.00	38
SAP	2011-10-11	1.602780	6.239160e+4	43.450	36.170	47.270	36.170	40.390	43.450	36.170	43.450	0.730	0.000000	44.25	36.17	0.00	39
SAP	2011-10-07	1.648720	6.065330e+4	43.450	36.170	47.270	36.170	39.620	43.450	36.170	43.450	2.470	0.000000	44.27	36.17	0.00	40
