#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
SBUX	2011-12-02	1.199960	8.333630e+4	44.360	40.840	44.360	36.200	40.840	43.590	40.840	44.360	0.670	0.000000	44.96	40.84	0.00	1
SBUX	2011-12-01	1.227850	8.144320e+4	44.360	40.840	44.360	36.200	40.840	43.480	40.840	44.360	0.510	0.000000	44.97	40.84	0.00	2
SBUX	2011-11-30	1.265630	7.901200e+4	44.360	40.840	44.360	36.200	40.840	44.030	40.840	44.360	1.540	0.000000	44.99	40.84	0.00	3
SBUX	2011-11-29	1.251190	7.992390e+4	44.360	40.840	44.360	36.200	40.840	44.030	40.840	44.360	0.980	0.000000	44.99	40.84	0.00	4
SBUX	2011-11-28	1.265460	7.902240e+4	44.360	40.840	44.360	36.200	40.840	44.340	40.840	44.360	1.550	0.000000	44.99	40.84	0.00	5
SBUX	2011-11-25	1.250490	7.996880e+4	44.360	41.180	44.360	36.200	41.250	44.340	41.180	44.360	0.670	0.000000	44.99	41.18	0.00	6
SBUX	2011-11-23	1.281040	7.806160e+4	44.360	41.180	44.360	36.200	41.680	44.340	41.180	44.360	1.030	0.000000	45.00	41.18	0.00	7
SBUX	2011-11-22	1.294250	7.726470e+4	44.360	41.180	44.360	36.200	41.680	44.360	41.180	44.360	1.050	0.000000	45.01	41.18	0.00	8
SBUX	2011-11-21	1.307110	7.650480e+4	44.360	41.180	44.360	36.200	42.020	44.360	41.180	44.360	1.140	0.000000	45.01	41.18	0.00	9
SBUX	2011-11-18	1.315900	7.599340e+4	44.360	41.180	44.360	36.200	42.030	44.360	41.180	44.360	0.660	0.000000	45.02	41.18	0.00	10
SBUX	2011-11-17	1.350420	7.405080e+4	44.360	40.990	44.360	36.200	41.400	44.360	40.990	44.360	1.370	0.000000	45.04	40.99	0.00	11
SBUX	2011-11-16	1.349390	7.410730e+4	44.360	40.920	44.360	36.200	41.180	44.360	40.920	44.360	1.080	0.000000	45.03	40.92	0.00	12
SBUX	2011-11-15	1.363570	7.333670e+4	44.360	40.920	44.360	36.200	41.180	44.360	40.920	44.360	0.950	0.000000	45.04	40.92	0.00	13
SBUX	2011-11-14	1.385340	7.218440e+4	44.360	40.920	44.360	36.200	41.180	44.360	40.920	44.360	0.910	0.000000	45.05	40.92	0.00	14
SBUX	2011-11-11	1.410360	7.090400e+4	44.360	40.920	44.360	36.200	41.180	44.360	40.920	44.360	1.080	0.000000	45.07	40.92	0.00	15
SBUX	2011-11-10	1.427750	7.004050e+4	44.360	40.920	44.360	36.200	41.180	44.360	40.920	44.360	1.050	0.000000	45.07	40.92	0.00	16
SBUX	2011-11-09	1.447630	6.907860e+4	44.360	40.920	44.360	36.200	41.180	44.360	40.920	44.360	1.550	0.000000	45.08	40.92	0.00	17
SBUX	2011-11-08	1.442240	6.933670e+4	44.230	40.920	44.230	34.890	41.180	44.230	40.920	44.230	1.330	0.000000	44.95	40.92	0.00	18
SBUX	2011-11-07	1.448150	6.905380e+4	44.190	40.920	44.190	34.890	41.180	44.190	40.920	44.190	0.950	0.000000	44.91	40.92	0.00	19
SBUX	2011-11-04	1.474360	6.782590e+4	43.070	39.260	43.070	34.750	41.180	43.070	39.260	43.070	3.290	0.000000	43.81	39.26	0.00	20
SBUX	2011-11-03	1.378800	7.252660e+4	43.070	38.500	43.070	34.750	40.990	43.070	38.500	43.070	1.270	0.000000	43.76	38.50	0.00	21
SBUX	2011-11-02	1.384530	7.222660e+4	43.070	38.050	43.070	34.750	40.920	43.070	38.050	43.070	0.990	0.000000	43.76	38.05	0.00	22
SBUX	2011-11-01	1.405300	7.115940e+4	43.070	37.250	43.070	34.750	40.920	43.070	37.250	43.070	1.440	0.000000	43.77	37.25	0.00	23
SBUX	2011-10-31	1.403470	7.125200e+4	43.070	36.200	43.070	34.750	40.920	43.070	36.200	43.070	0.980	0.000000	43.77	36.20	0.00	24
SBUX	2011-10-28	1.425760	7.013820e+4	43.070	36.200	43.070	34.750	40.920	43.070	36.200	43.070	1.080	0.000000	43.78	36.20	0.00	25
SBUX	2011-10-27	1.443950	6.925430e+4	42.540	36.200	42.540	34.750	40.920	42.540	36.200	42.540	2.030	0.000000	43.26	36.20	0.00	26
SBUX	2011-10-26	1.413110	7.076590e+4	42.540	36.200	42.540	34.750	40.920	42.540	36.200	42.540	1.470	0.000000	43.25	36.20	0.00	27
SBUX	2011-10-25	1.410120	7.091620e+4	42.540	36.200	42.540	34.050	40.920	42.540	36.200	42.540	1.380	0.000000	43.25	36.20	0.00	28
SBUX	2011-10-24	1.411700	7.083650e+4	42.450	36.200	42.450	34.050	40.920	42.450	36.200	42.450	0.940	0.000000	43.16	36.20	0.00	29
SBUX	2011-10-21	1.436530	6.961230e+4	42.450	36.200	42.450	34.050	39.260	42.450	36.200	42.450	1.460	0.000000	43.17	36.20	0.00	30
SBUX	2011-10-20	1.435290	6.967220e+4	42.450	36.200	42.450	34.050	38.500	42.450	36.200	42.450	0.980	0.000000	43.17	36.20	0.00	31
SBUX	2011-10-19	1.459250	6.852810e+4	42.450	36.200	42.450	34.050	38.050	42.450	36.200	42.450	1.850	0.000000	43.18	36.20	0.00	32
SBUX	2011-10-18	1.438690	6.950770e+4	42.220	36.200	42.220	34.050	37.250	42.220	36.200	42.220	2.170	0.000000	42.94	36.20	0.00	33
SBUX	2011-10-17	1.400200	7.141840e+4	42.220	36.200	42.220	34.050	36.200	42.220	36.200	42.220	1.240	0.000000	42.92	36.20	0.00	34
SBUX	2011-10-14	1.408630	7.099090e+4	41.510	36.200	41.510	34.050	36.200	41.510	36.200	41.510	1.130	0.000000	42.21	36.20	0.00	35
SBUX	2011-10-13	1.423300	7.025950e+4	41.510	36.200	41.510	34.050	36.200	41.510	36.200	41.510	0.790	0.000000	42.22	36.20	0.00	36
SBUX	2011-10-12	1.456630	6.865180e+4	41.330	36.200	41.330	34.050	36.200	41.330	36.200	41.330	0.850	0.000000	42.06	36.20	0.00	37
SBUX	2011-10-11	1.488550	6.717930e+4	41.160	36.200	41.160	34.050	36.200	40.920	36.200	41.160	1.210	0.000000	41.90	36.20	0.00	38
SBUX	2011-10-10	1.503210	6.652410e+4	41.160	36.200	41.160	34.050	36.200	39.850	36.200	41.160	2.170	0.000000	41.91	36.20	0.00	39
SBUX	2011-10-07	1.468120	6.811430e+4	41.160	36.200	41.160	34.050	36.200	39.850	36.200	41.160	1.390	0.000000	41.89	36.20	0.00	40
SBUX	2011-10-06	1.472230	6.792410e+4	41.160	36.200	41.160	34.050	36.200	39.850	36.200	41.160	1.040	0.000000	41.90	36.20	0.00	41
SBUX	2011-10-05	1.494980	6.689050e+4	41.160	36.200	41.160	34.050	36.200	39.900	36.200	41.160	1.480	0.000000	41.91	36.20	0.00	42
SBUX	2011-10-04	1.495770	6.685520e+4	41.160	36.200	41.160	34.050	36.200	41.080	36.200	41.160	2.190	0.000000	41.91	36.20	0.00	43
SBUX	2011-10-03	1.459230	6.852920e+4	41.160	37.290	41.160	34.050	37.290	41.160	37.290	41.160	1.240	0.000000	41.89	37.29	0.00	44
SBUX	2011-09-30	1.470770	6.799160e+4	41.160	37.310	41.160	34.050	38.170	41.160	37.310	41.160	1.130	0.000000	41.90	37.31	0.00	45
SBUX	2011-09-29	1.488710	6.717250e+4	41.160	37.310	41.160	34.050	38.610	41.160	37.310	41.160	3.540	0.000000	41.90	37.31	0.00	46
SBUX	2011-09-28	1.380740	7.242480e+4	41.160	37.310	41.160	34.050	38.550	41.160	37.310	41.160	1.090	0.000000	41.85	37.31	0.00	47
SBUX	2011-09-27	1.396040	7.163090e+4	41.160	37.310	41.160	34.050	38.190	41.160	37.310	41.160	1.350	0.000000	41.86	37.31	0.00	48
