#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
SLF	2011-12-01	0.635375	1.573870e+5	22.850	17.990	26.450	17.990	17.990	20.400	17.990	22.850	0.290	0.000000	23.17	17.99	0.00	1
SLF	2011-11-30	0.653553	1.530100e+5	24.000	17.990	26.450	17.990	17.990	20.710	17.990	24.000	0.490	0.000000	24.33	17.99	0.00	2
SLF	2011-11-29	0.662161	1.510210e+5	24.000	18.320	26.450	18.320	18.320	21.030	18.320	24.000	0.570	0.000000	24.33	18.32	0.00	3
SLF	2011-11-28	0.667012	1.499220e+5	25.160	18.320	26.450	18.320	18.320	21.350	18.320	25.160	0.650	0.000000	25.49	18.32	0.00	4
SLF	2011-11-25	0.667907	1.497210e+5	25.220	18.420	26.450	18.420	18.420	21.550	18.420	25.220	0.590	0.000000	25.55	18.42	0.00	5
SLF	2011-11-24	0.672007	1.488080e+5	25.820	18.600	26.450	18.600	18.600	21.550	18.600	25.820	0.490	0.000000	26.16	18.60	0.00	6
SLF	2011-11-23	0.681587	1.467160e+5	25.820	19.190	26.450	19.190	19.190	21.550	19.190	25.820	0.630	0.000000	26.16	19.19	0.00	7
SLF	2011-11-22	0.684302	1.461340e+5	25.820	19.560	26.450	19.560	19.560	22.250	19.560	25.820	0.590	0.000000	26.16	19.56	0.00	8
SLF	2011-11-21	0.689265	1.450820e+5	25.820	20.060	26.450	20.060	20.060	22.250	20.060	25.820	0.980	0.000000	26.16	20.06	0.00	9
SLF	2011-11-18	0.673963	1.483760e+5	25.820	20.400	26.540	20.400	20.400	22.250	20.400	25.820	0.490	0.000000	26.16	20.40	0.00	10
SLF	2011-11-17	0.683645	1.462750e+5	25.820	20.710	26.540	20.710	20.710	22.850	20.710	25.820	0.520	0.000000	26.16	20.71	0.00	11
SLF	2011-11-16	0.692258	1.444550e+5	25.820	21.030	26.540	21.030	21.030	24.000	21.030	25.820	0.410	0.000000	26.17	21.03	0.00	12
SLF	2011-11-15	0.707114	1.414200e+5	25.820	21.350	26.540	21.350	21.350	24.000	21.350	25.820	0.390	0.000000	26.17	21.35	0.00	13
SLF	2011-11-14	0.723804	1.381590e+5	25.820	21.500	26.540	21.500	21.500	25.160	21.500	25.820	0.460	0.000000	26.18	21.50	0.00	14
SLF	2011-11-11	0.737689	1.355590e+5	26.450	21.500	26.540	21.500	21.500	25.220	21.500	26.450	0.320	0.000000	26.82	21.50	0.00	15
SLF	2011-11-10	0.759672	1.316360e+5	26.450	21.500	26.540	21.500	21.500	25.820	21.500	26.450	0.390	0.000000	26.83	21.50	0.00	16
SLF	2011-11-09	0.779129	1.283490e+5	26.450	22.010	26.540	22.010	22.010	25.820	22.010	26.450	0.750	0.000000	26.84	22.01	0.00	17
SLF	2011-11-08	0.780662	1.280960e+5	26.450	22.010	26.540	22.010	22.010	25.820	22.010	26.450	0.440	0.000000	26.84	22.01	0.00	18
SLF	2011-11-07	0.798591	1.252210e+5	26.450	22.160	26.540	22.160	22.160	25.820	22.160	26.450	0.450	0.000000	26.85	22.16	0.00	19
SLF	2011-11-04	0.816938	1.224080e+5	26.450	22.850	26.650	22.850	22.850	25.820	22.850	26.450	0.740	0.000000	26.86	22.85	0.00	20
SLF	2011-11-03	0.820988	1.218050e+5	26.450	23.650	26.650	23.650	23.650	25.820	23.650	26.450	1.280	0.000000	26.86	23.65	0.00	21
SLF	2011-11-02	0.796829	1.254970e+5	26.450	23.650	26.700	23.650	23.650	25.820	23.650	26.450	0.510	0.000000	26.85	23.65	0.00	22
SLF	2011-11-01	0.811925	1.231640e+5	26.450	23.650	26.700	23.650	23.650	25.820	23.650	26.450	1.300	0.000000	26.86	23.65	0.00	23
SLF	2011-10-31	0.786237	1.271880e+5	26.450	23.650	26.700	23.650	23.650	25.820	23.650	26.450	0.660	0.000000	26.84	23.65	0.00	24
SLF	2011-10-28	0.792881	1.261220e+5	26.450	23.650	26.700	23.650	23.650	26.450	23.650	26.450	0.730	0.000000	26.85	23.65	0.00	25
SLF	2011-10-27	0.796191	1.255980e+5	26.450	23.650	26.700	23.650	23.650	26.450	23.650	26.450	1.550	0.000000	26.85	23.65	0.00	26
SLF	2011-10-26	0.756517	1.321850e+5	26.450	23.650	26.700	23.650	23.650	26.450	23.650	26.450	0.440	0.000000	26.83	23.65	0.00	27
SLF	2011-10-25	0.773175	1.293370e+5	26.450	23.650	26.700	23.650	23.650	26.450	23.650	26.450	0.510	0.000000	26.84	23.65	0.00	28
SLF	2011-10-24	0.787027	1.270610e+5	26.450	23.650	26.700	23.650	23.650	26.450	23.650	26.450	0.470	0.000000	26.84	23.65	0.00	29
SLF	2011-10-21	0.803712	1.244230e+5	26.450	23.650	26.700	23.650	23.650	26.450	23.650	26.450	0.550	0.000000	26.85	23.65	0.00	30
SLF	2011-10-20	0.817065	1.223890e+5	26.450	23.850	26.700	23.850	23.850	26.450	23.850	26.450	0.470	0.000000	26.86	23.85	0.00	31
SLF	2011-10-19	0.835332	1.197130e+5	26.450	23.900	26.700	23.900	23.990	26.450	23.900	26.450	0.770	0.000000	26.87	23.90	0.00	32
