#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
SLV	2011-12-01	1.175260	8.508730e+4	34.080	30.200	39.600	28.870	30.200	32.820	30.200	34.080	0.830	0.000000	34.67	30.20	0.00	1
SLV	2011-11-30	1.193430	8.379170e+4	34.080	30.200	39.870	28.870	30.200	33.660	30.200	34.080	1.030	0.000000	34.68	30.20	0.00	2
SLV	2011-11-29	1.202040	8.319210e+4	34.080	30.200	39.870	28.870	30.200	33.660	30.200	34.080	0.440	0.000000	34.68	30.20	0.00	3
SLV	2011-11-28	1.242140	8.050600e+4	34.270	30.200	40.520	28.870	30.200	33.740	30.200	34.270	1.250	0.000000	34.89	30.20	0.00	4
SLV	2011-11-25	1.241730	8.053280e+4	34.270	30.640	41.220	28.870	30.640	33.740	30.640	34.270	0.750	0.000000	34.89	30.64	0.00	5
SLV	2011-11-23	1.267610	7.888850e+4	34.270	30.640	41.220	28.870	30.640	33.740	30.640	34.270	1.360	0.000000	34.90	30.64	0.00	6
SLV	2011-11-22	1.262750	7.919230e+4	34.270	30.640	41.220	28.870	30.640	34.000	30.640	34.270	1.410	0.000000	34.90	30.64	0.00	7
SLV	2011-11-21	1.255000	7.968140e+4	34.270	30.640	42.180	28.870	30.640	34.080	30.640	34.270	1.570	0.000000	34.90	30.64	0.00	8
SLV	2011-11-18	1.238420	8.074810e+4	34.270	30.480	42.180	28.870	30.640	34.080	30.480	34.270	1.080	0.000000	34.89	30.48	0.00	9
SLV	2011-11-17	1.246760	8.020810e+4	34.270	29.730	42.180	28.870	32.820	34.080	29.730	34.270	2.610	0.000000	34.89	29.73	0.00	10
SLV	2011-11-16	1.175010	8.510580e+4	34.270	29.730	42.180	28.870	33.100	34.080	29.730	34.270	1.020	0.000000	34.86	29.73	0.00	11
SLV	2011-11-15	1.183170	8.451900e+4	34.270	29.730	42.180	28.870	32.330	34.080	29.730	34.270	0.730	0.000000	34.86	29.73	0.00	12
SLV	2011-11-14	1.207020	8.284890e+4	34.270	29.730	42.180	28.870	32.330	34.080	29.730	34.270	0.710	0.000000	34.87	29.73	0.00	13
SLV	2011-11-11	1.233180	8.109150e+4	34.270	29.730	42.180	28.870	32.330	34.270	29.730	34.270	0.760	0.000000	34.89	29.73	0.00	14
SLV	2011-11-10	1.258080	7.948620e+4	34.270	29.730	42.180	28.870	32.330	34.270	29.730	34.270	1.050	0.000000	34.90	29.73	0.00	15
SLV	2011-11-09	1.269030	7.880030e+4	34.270	29.730	42.180	28.870	32.330	34.270	29.730	34.270	1.170	0.000000	34.90	29.73	0.00	16
SLV	2011-11-08	1.274240	7.847800e+4	34.270	29.730	42.630	28.870	32.330	34.270	29.730	34.270	0.710	0.000000	34.91	29.73	0.00	17
SLV	2011-11-07	1.303940	7.669060e+4	34.270	29.730	42.630	28.870	30.870	34.270	29.730	34.270	0.880	0.000000	34.92	29.73	0.00	18
SLV	2011-11-04	1.326250	7.540040e+4	34.270	29.730	42.630	28.870	30.480	34.270	29.730	34.270	0.720	0.000000	34.93	29.73	0.00	19
SLV	2011-11-03	1.358160	7.362900e+4	34.270	29.730	42.630	28.870	29.730	34.270	29.730	34.270	0.910	0.000000	34.95	29.73	0.00	20
SLV	2011-11-02	1.381750	7.237210e+4	34.270	29.660	42.630	28.870	29.730	34.270	29.660	34.270	1.190	0.000000	34.96	29.66	0.00	21
SLV	2011-11-01	1.391840	7.184730e+4	34.270	29.090	42.630	28.870	29.730	34.270	29.090	34.270	1.940	0.000000	34.97	29.09	0.00	22
SLV	2011-10-31	1.362990	7.336810e+4	34.270	29.090	42.630	28.870	29.730	34.270	29.090	34.270	1.070	0.000000	34.95	29.09	0.00	23
SLV	2011-10-28	1.378410	7.254730e+4	34.100	28.910	42.630	28.870	29.730	34.100	28.910	34.100	0.600	0.000000	34.79	28.91	0.00	24
SLV	2011-10-27	1.419380	7.045330e+4	32.500	28.910	42.630	28.870	29.730	32.500	28.910	32.500	1.940	0.000000	33.21	28.91	0.00	25
SLV	2011-10-26	1.391980	7.184020e+4	32.430	28.870	42.630	28.870	29.730	32.430	28.870	32.430	0.670	0.000000	33.13	28.87	0.00	26
SLV	2011-10-25	1.429980	6.993120e+4	31.770	28.870	42.630	28.870	29.730	31.770	28.870	31.770	1.980	0.000000	32.48	28.87	0.00	27
SLV	2011-10-24	1.401030	7.137610e+4	31.770	28.870	42.630	28.870	29.730	31.770	28.870	31.770	0.710	0.000000	32.47	28.87	0.00	28
SLV	2011-10-21	1.437400	6.957010e+4	31.770	28.870	42.630	28.870	29.730	31.770	28.870	31.770	0.860	0.000000	32.49	28.87	0.00	29
SLV	2011-10-20	1.467790	6.812970e+4	34.920	28.870	42.630	28.870	30.230	31.770	28.870	34.920	1.400	0.000000	35.65	28.87	0.00	30
SLV	2011-10-19	1.471360	6.796450e+4	38.560	28.870	42.630	28.870	29.660	31.770	28.870	38.560	1.250	0.000000	39.30	28.87	0.00	31
SLV	2011-10-18	1.483010	6.743060e+4	38.830	28.870	42.630	28.870	29.090	31.770	28.870	38.830	1.770	0.000000	39.57	28.87	0.00	32
SLV	2011-10-17	1.467900	6.812450e+4	38.830	28.870	42.630	28.870	29.090	31.770	28.870	38.830	0.760	0.000000	39.56	28.87	0.00	33
SLV	2011-10-14	1.505160	6.643820e+4	39.390	28.870	42.630	28.870	28.910	31.770	28.870	39.390	0.740	0.000000	40.14	28.87	0.00	34
SLV	2011-10-13	1.545430	6.470690e+4	39.390	28.870	42.630	28.870	28.910	31.770	28.870	39.390	1.160	0.000000	40.16	28.87	0.00	35
