#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
SLW	2011-12-01	1.624840	6.154470e+4	37.100	30.910	40.940	27.450	30.910	34.690	30.910	37.100	1.150	0.000000	37.91	30.91	0.00	1
SLW	2011-11-30	1.649830	6.061240e+4	37.100	30.910	40.940	27.450	30.910	35.370	30.910	37.100	2.300	0.000000	37.92	30.91	0.00	2
SLW	2011-11-29	1.615610	6.189620e+4	37.100	30.910	40.940	27.450	30.910	35.510	30.910	37.100	1.650	0.000000	37.91	30.91	0.00	3
SLW	2011-11-28	1.613800	6.196570e+4	37.100	30.910	40.940	27.450	30.910	36.280	30.910	37.100	1.790	0.000000	37.91	30.91	0.00	4
SLW	2011-11-25	1.604520	6.232380e+4	37.100	31.100	40.940	27.450	31.100	36.280	31.100	37.100	0.860	0.000000	37.90	31.10	0.00	5
SLW	2011-11-23	1.643710	6.083800e+4	37.100	31.470	40.940	27.450	31.470	36.280	31.470	37.100	1.460	0.000000	37.92	31.47	0.00	6
SLW	2011-11-22	1.653380	6.048230e+4	37.100	31.470	40.940	27.450	31.470	36.390	31.470	37.100	1.110	0.000000	37.93	31.47	0.00	7
SLW	2011-11-21	1.681980	5.945390e+4	37.100	31.240	40.940	27.450	32.270	37.100	31.240	37.100	1.770	0.000000	37.94	31.24	0.00	8
SLW	2011-11-18	1.677340	5.961810e+4	37.100	29.800	40.940	27.450	32.270	37.100	29.800	37.100	1.260	0.000000	37.94	29.80	0.00	9
SLW	2011-11-17	1.699310	5.884750e+4	37.100	29.090	40.940	27.450	34.690	37.100	29.090	37.100	2.640	0.000000	37.95	29.09	0.00	10
SLW	2011-11-16	1.649800	6.061350e+4	37.100	28.910	40.940	27.450	34.910	37.100	28.910	37.100	0.900	0.000000	37.92	28.91	0.00	11
SLW	2011-11-15	1.689260	5.919750e+4	37.100	28.910	40.940	27.450	34.070	37.100	28.910	37.100	1.090	0.000000	37.94	28.91	0.00	12
SLW	2011-11-14	1.720800	5.811240e+4	37.100	28.910	40.940	27.450	34.070	37.100	28.910	37.100	1.330	0.000000	37.96	28.91	0.00	13
SLW	2011-11-11	1.741370	5.742600e+4	37.100	28.910	40.940	27.450	34.070	37.100	28.910	37.100	1.460	0.000000	37.97	28.91	0.00	14
SLW	2011-11-10	1.756180	5.694180e+4	37.100	28.910	40.940	27.450	34.070	37.100	28.910	37.100	1.930	0.000000	37.98	28.91	0.00	15
SLW	2011-11-09	1.747030	5.724000e+4	37.100	28.910	40.940	27.450	33.400	37.100	28.910	37.100	2.040	0.000000	37.97	28.91	0.00	16
SLW	2011-11-08	1.731610	5.774970e+4	37.100	28.910	40.940	27.450	32.210	37.100	28.910	37.100	1.010	0.000000	37.97	28.91	0.00	17
SLW	2011-11-07	1.769590	5.651020e+4	36.090	28.910	40.940	27.450	31.240	36.090	28.910	36.090	1.010	0.000000	36.97	28.91	0.00	18
SLW	2011-11-04	1.809570	5.526180e+4	36.050	28.910	40.940	27.450	29.800	36.050	28.910	36.050	1.330	0.000000	36.95	28.91	0.00	19
SLW	2011-11-03	1.834810	5.450160e+4	35.970	28.910	40.940	27.450	29.090	35.970	28.910	35.970	1.280	0.000000	36.89	28.91	0.00	20
SLW	2011-11-02	1.864010	5.364780e+4	35.970	28.910	40.940	27.450	28.910	35.970	28.910	35.970	1.660	0.000000	36.90	28.91	0.00	21
SLW	2011-11-01	1.874750	5.334050e+4	35.970	27.450	40.940	27.450	28.910	35.970	27.450	35.970	2.330	0.000000	36.91	27.45	0.00	22
SLW	2011-10-31	1.850790	5.403110e+4	35.970	27.450	40.940	27.450	28.910	35.970	27.450	35.970	1.630	0.000000	36.90	27.45	0.00	23
SLW	2011-10-28	1.862410	5.369390e+4	34.960	27.450	40.940	27.450	28.910	34.960	27.450	34.960	1.570	0.000000	35.89	27.45	0.00	24
SLW	2011-10-27	1.877800	5.325390e+4	33.400	27.450	40.940	27.450	28.910	33.400	27.450	33.400	2.020	0.000000	34.34	27.45	0.00	25
SLW	2011-10-26	1.870310	5.346700e+4	32.780	27.450	40.940	27.450	28.910	32.780	27.450	32.780	1.750	0.000000	33.72	27.45	0.00	26
SLW	2011-10-25	1.876650	5.328660e+4	32.930	27.450	40.940	27.450	28.910	32.780	27.450	32.930	2.340	0.000000	33.87	27.45	0.00	27
SLW	2011-10-24	1.852260	5.398820e+4	32.930	27.450	40.940	27.450	28.910	32.780	27.450	32.930	1.630	0.000000	33.86	27.45	0.00	28
SLW	2011-10-21	1.863960	5.364930e+4	32.930	27.450	40.940	27.450	28.910	32.780	27.450	32.930	0.960	0.000000	33.86	27.45	0.00	29
SLW	2011-10-20	1.911530	5.231400e+4	35.450	27.450	40.940	27.450	28.910	32.780	27.450	35.450	1.440	0.000000	36.41	27.45	0.00	30
SLW	2011-10-19	1.936350	5.164360e+4	40.660	27.450	40.940	27.450	29.340	32.780	27.450	40.660	2.410	0.000000	41.63	27.45	0.00	31
SLW	2011-10-18	1.911420	5.231710e+4	40.940	27.450	40.940	27.450	27.450	32.780	27.450	40.940	2.190	0.000000	41.90	27.45	0.00	32
SLW	2011-10-17	1.896760	5.272150e+4	40.940	27.450	40.940	27.450	27.450	32.780	27.450	40.940	1.090	0.000000	41.89	27.45	0.00	33
SLW	2011-10-14	1.939220	5.156710e+4	40.940	27.450	40.940	27.450	27.450	32.780	27.450	40.940	1.100	0.000000	41.91	27.45	0.00	34
SLW	2011-10-13	1.983390	5.041870e+4	40.940	27.450	40.940	27.450	27.450	32.780	27.450	40.940	2.220	0.000000	41.93	27.45	0.00	35
SLW	2011-10-12	1.970940	5.073730e+4	40.940	27.450	40.940	27.450	27.450	31.690	27.450	40.940	1.330	0.000000	41.93	27.45	0.00	36
SLW	2011-10-11	2.004670	4.988350e+4	40.940	27.450	40.940	27.450	27.450	32.930	27.450	40.940	1.230	0.000000	41.94	27.45	0.00	37
SLW	2011-10-10	2.045440	4.888920e+4	40.940	27.450	40.940	27.450	27.450	32.930	27.450	40.940	1.390	0.000000	41.96	27.45	0.00	38
SLW	2011-10-07	2.079940	4.807830e+4	40.940	27.450	40.940	27.450	27.450	32.930	27.450	40.940	2.360	0.000000	41.98	27.45	0.00	39
SLW	2011-10-06	2.065200	4.842150e+4	40.940	27.450	40.940	27.450	27.450	35.450	27.450	40.940	1.940	0.000000	41.97	27.45	0.00	40
SLW	2011-10-05	2.071790	4.826750e+4	40.940	27.450	40.940	27.450	27.450	40.660	27.450	40.940	2.450	0.000000	41.98	27.45	0.00	41
SLW	2011-10-04	2.051880	4.873570e+4	40.940	29.160	40.940	29.160	29.160	40.940	29.160	40.940	3.320	0.000000	41.97	29.16	0.00	42
SLW	2011-10-03	1.985140	5.037430e+4	40.940	29.450	40.940	29.450	29.450	40.940	29.450	40.940	1.300	0.000000	41.93	29.45	0.00	43
SLW	2011-09-30	2.021200	4.947560e+4	40.940	30.160	40.940	30.160	30.160	40.940	30.160	40.940	1.350	0.000000	41.95	30.16	0.00	44
