#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
SOR	2011-12-02	1.250620	7.996050e+4	47.840	42.890	48.520	39.820	42.890	46.050	42.890	47.840	1.100	0.000000	48.47	42.89	0.00	1
SOR	2011-12-01	1.258550	7.945680e+4	47.840	42.890	48.520	39.820	42.890	46.870	42.890	47.840	1.730	0.000000	48.47	42.89	0.00	2
SOR	2011-11-30	1.233730	8.105490e+4	47.840	42.890	48.520	39.820	42.890	47.600	42.890	47.840	1.870	0.000000	48.46	42.89	0.00	3
SOR	2011-11-29	1.200240	8.331640e+4	47.840	42.890	48.520	39.820	42.890	47.600	42.890	47.840	0.900	0.000000	48.44	42.89	0.00	4
SOR	2011-11-28	1.216050	8.223370e+4	48.520	42.890	48.520	39.820	42.890	47.600	42.890	48.520	1.610	0.000000	49.13	42.89	0.00	5
SOR	2011-11-25	1.195310	8.366020e+4	48.520	43.360	48.520	39.820	43.360	47.600	43.360	48.520	1.160	0.000000	49.12	43.36	0.00	6
SOR	2011-11-23	1.197170	8.353030e+4	48.520	44.400	48.520	39.820	44.400	47.600	44.400	48.520	1.090	0.000000	49.12	44.40	0.00	7
SOR	2011-11-22	1.202810	8.313860e+4	48.520	44.950	48.520	39.820	44.950	47.840	44.950	48.520	1.340	0.000000	49.12	44.95	0.00	8
SOR	2011-11-21	1.195590	8.364070e+4	48.520	45.600	48.520	39.820	45.600	47.840	45.600	48.520	1.080	0.000000	49.12	45.60	0.00	9
SOR	2011-11-18	1.201670	8.321720e+4	48.520	45.320	48.520	39.820	45.710	47.840	45.320	48.520	0.350	0.000000	49.12	45.32	0.00	10
SOR	2011-11-17	1.246500	8.022470e+4	48.520	44.230	48.520	39.820	45.860	47.840	44.230	48.520	1.490	0.000000	49.14	44.23	0.00	11
SOR	2011-11-16	1.233680	8.105810e+4	48.520	44.130	48.520	39.820	45.860	47.840	44.130	48.520	0.960	0.000000	49.14	44.13	0.00	12
SOR	2011-11-15	1.248090	8.012260e+4	48.520	44.130	48.520	39.820	45.780	47.840	44.130	48.520	0.900	0.000000	49.14	44.13	0.00	13
SOR	2011-11-14	1.266410	7.896350e+4	48.520	43.630	48.520	39.820	45.780	47.840	43.630	48.520	0.560	0.000000	49.15	43.63	0.00	14
SOR	2011-11-11	1.303590	7.671140e+4	48.520	43.630	48.520	39.820	45.780	48.520	43.630	48.520	1.370	0.000000	49.17	43.63	0.00	15
SOR	2011-11-10	1.300090	7.691760e+4	48.520	43.630	48.520	39.820	45.780	48.520	43.630	48.520	0.770	0.000000	49.17	43.63	0.00	16
SOR	2011-11-09	1.327990	7.530170e+4	48.520	43.630	48.520	39.820	45.780	48.520	43.630	48.520	1.990	0.000000	49.18	43.63	0.00	17
SOR	2011-11-08	1.293150	7.733060e+4	48.520	43.630	48.520	39.820	45.780	48.520	43.630	48.520	0.720	0.000000	49.17	43.63	0.00	18
SOR	2011-11-07	1.323320	7.556780e+4	48.520	43.630	48.520	39.820	45.780	48.520	43.630	48.520	0.960	0.000000	49.18	43.63	0.00	19
