#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
SPB	2011-12-02	0.289666	3.452250e+5	6.700	5.360	9.230	5.360	5.360	6.260	5.360	6.700	0.370	0.000000	6.84	5.36	0.00	1
SPB	2011-12-01	0.285438	3.503390e+5	6.700	5.360	9.230	5.360	5.360	6.380	5.360	6.700	0.350	0.000000	6.84	5.36	0.00	2
SPB	2011-11-30	0.282040	3.545600e+5	6.820	5.510	9.350	5.510	5.510	6.480	5.510	6.820	0.300	0.000000	6.96	5.51	0.00	3
SPB	2011-11-29	0.281095	3.557520e+5	6.820	5.760	9.360	5.760	5.760	6.550	5.760	6.820	0.420	0.000000	6.96	5.76	0.00	4
SPB	2011-11-28	0.273784	3.652520e+5	6.900	5.800	9.570	5.800	5.800	6.570	5.800	6.900	0.190	0.000000	7.04	5.80	0.00	5
SPB	2011-11-25	0.278194	3.594620e+5	7.170	5.800	9.700	5.800	5.800	6.680	5.800	7.170	0.190	0.000000	7.31	5.80	0.00	6
SPB	2011-11-24	0.282835	3.535630e+5	7.170	5.870	9.800	5.870	5.870	6.680	5.870	7.170	0.140	0.000000	7.31	5.87	0.00	7
SPB	2011-11-23	0.290353	3.444080e+5	7.170	6.010	9.800	6.010	6.010	6.680	6.010	7.170	0.190	0.000000	7.32	6.01	0.00	8
SPB	2011-11-22	0.295635	3.382550e+5	7.170	6.130	9.890	6.130	6.130	6.700	6.130	7.170	0.290	0.000000	7.32	6.13	0.00	9
SPB	2011-11-21	0.295931	3.379160e+5	7.170	6.260	10.080	6.180	6.260	6.700	6.260	7.170	0.290	0.000000	7.32	6.26	0.00	10
SPB	2011-11-18	0.296243	3.375600e+5	7.170	6.380	10.270	6.180	6.380	6.700	6.380	7.170	0.130	0.000000	7.32	6.38	0.00	11
SPB	2011-11-17	0.304993	3.278760e+5	7.170	6.480	10.270	6.180	6.480	6.700	6.480	7.170	0.150	0.000000	7.32	6.48	0.00	12
SPB	2011-11-16	0.313151	3.193350e+5	7.170	6.530	10.270	6.180	6.530	6.820	6.530	7.170	0.120	0.000000	7.33	6.53	0.00	13
SPB	2011-11-15	0.323316	3.092950e+5	7.260	6.530	10.380	6.180	6.530	6.820	6.530	7.260	0.100	0.000000	7.42	6.53	0.00	14
SPB	2011-11-14	0.335070	2.984450e+5	7.260	6.530	10.380	6.180	6.530	6.900	6.530	7.260	0.140	0.000000	7.43	6.53	0.00	15
SPB	2011-11-11	0.345337	2.895720e+5	7.260	6.530	10.380	6.180	6.530	7.170	6.530	7.260	0.190	0.000000	7.43	6.53	0.00	16
SPB	2011-11-10	0.353512	2.828760e+5	7.290	6.530	10.380	6.180	6.530	7.170	6.530	7.290	0.140	0.000000	7.47	6.53	0.00	17
SPB	2011-11-09	0.364750	2.741600e+5	7.520	6.530	10.380	6.180	6.530	7.170	6.530	7.520	0.180	0.000000	7.70	6.53	0.00	18
SPB	2011-11-08	0.374474	2.670420e+5	7.520	6.530	10.380	6.180	6.530	7.170	6.530	7.520	0.230	0.000000	7.71	6.53	0.00	19
SPB	2011-11-07	0.382077	2.617270e+5	7.520	6.530	10.380	6.180	6.530	7.170	6.530	7.520	0.150	0.000000	7.71	6.53	0.00	20
SPB	2011-11-04	0.394292	2.536190e+5	7.520	6.530	10.380	6.180	6.530	7.170	6.530	7.520	0.200	0.000000	7.72	6.53	0.00	21
SPB	2011-11-03	0.404518	2.472080e+5	7.520	6.620	10.380	6.180	6.620	7.170	6.620	7.520	0.810	0.000000	7.72	6.62	0.00	22
SPB	2011-11-02	0.383177	2.609760e+5	7.520	6.180	10.650	6.180	6.620	7.170	6.180	7.520	0.160	0.000000	7.71	6.18	0.00	23
