#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
SQP	2011-12-02	0.122243	8.180430e+5	5.650	5.010	5.650	4.050	5.010	5.500	5.010	5.650	0.050	0.000000	5.71	5.01	0.00	1
SQP	2011-12-01	0.126045	7.933660e+5	5.650	5.000	5.650	4.050	5.010	5.500	5.000	5.650	0.050	0.000000	5.71	5.00	0.00	2
SQP	2011-11-30	0.130048	7.689490e+5	5.650	5.000	5.650	4.050	5.010	5.600	5.000	5.650	0.000	0.000000	5.72	5.00	0.00	3
SQP	2011-11-29	0.136892	7.305010e+5	5.650	5.000	5.650	4.050	5.010	5.600	5.000	5.650	0.140	0.000000	5.72	5.00	0.00	4
SQP	2011-11-28	0.136729	7.313750e+5	5.650	5.000	5.650	4.050	5.150	5.600	5.000	5.650	0.140	0.000000	5.72	5.00	0.00	5
SQP	2011-11-25	0.136557	7.322980e+5	5.650	5.000	5.650	4.050	5.200	5.600	5.000	5.650	0.170	0.000000	5.72	5.00	0.00	6
SQP	2011-11-24	0.134796	7.418600e+5	5.650	5.000	5.650	4.050	5.200	5.600	5.000	5.650	0.000	0.000000	5.72	5.00	0.00	7
SQP	2011-11-23	0.141891	7.047670e+5	5.650	4.850	5.650	4.050	5.200	5.600	4.850	5.650	0.000	0.000000	5.72	4.85	0.00	8
SQP	2011-11-22	0.149359	6.695290e+5	5.650	4.850	5.650	4.050	5.200	5.650	4.850	5.650	0.000	0.000000	5.72	4.85	0.00	9
SQP	2011-11-21	0.157220	6.360520e+5	5.650	4.840	5.650	4.050	5.190	5.650	4.840	5.650	0.300	0.000000	5.73	4.84	0.00	10
SQP	2011-11-18	0.149705	6.679800e+5	5.650	4.840	5.650	4.050	5.020	5.650	4.840	5.650	0.010	0.000000	5.72	4.84	0.00	11
SQP	2011-11-17	0.157058	6.367080e+5	5.650	4.840	5.650	4.050	5.000	5.650	4.840	5.650	0.100	0.000000	5.73	4.84	0.00	12
SQP	2011-11-16	0.160061	6.247620e+5	5.650	4.800	5.650	4.050	5.000	5.650	4.800	5.650	0.190	0.000000	5.73	4.80	0.00	13
SQP	2011-11-15	0.158485	6.309730e+5	5.650	4.800	5.650	4.050	5.000	5.650	4.800	5.650	0.070	0.000000	5.73	4.80	0.00	14
SQP	2011-11-14	0.163142	6.129610e+5	5.650	4.750	5.650	4.050	5.000	5.650	4.750	5.650	0.030	0.000000	5.73	4.75	0.00	15
SQP	2011-11-11	0.170150	5.877170e+5	5.650	4.750	5.650	4.050	5.000	5.650	4.750	5.650	0.150	0.000000	5.74	4.75	0.00	16
SQP	2011-11-10	0.171210	5.840770e+5	5.650	4.700	5.650	4.050	5.000	5.650	4.700	5.650	0.010	0.000000	5.74	4.70	0.00	17
SQP	2011-11-09	0.179695	5.564980e+5	5.650	4.700	5.650	4.050	4.850	5.650	4.700	5.650	0.230	0.000000	5.74	4.70	0.00	18
