#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
STEC	2011-12-01	0.507267	1.971350e+5	11.720	8.660	11.720	8.660	8.660	10.670	8.660	11.720	0.210	0.000000	11.97	8.66	0.00	1
STEC	2011-11-30	0.522913	1.912360e+5	11.720	8.660	11.720	8.660	8.660	10.670	8.660	11.720	0.410	0.000000	11.98	8.66	0.00	2
STEC	2011-11-29	0.528856	1.890870e+5	11.720	8.660	11.720	8.660	8.660	10.670	8.660	11.720	0.450	0.000000	11.98	8.66	0.00	3
STEC	2011-11-28	0.533006	1.876150e+5	11.720	8.660	11.720	8.660	8.660	10.670	8.660	11.720	0.590	0.000000	11.99	8.66	0.00	4
STEC	2011-11-25	0.530006	1.886770e+5	11.720	8.820	11.720	8.820	8.820	10.670	8.820	11.720	0.240	0.000000	11.98	8.82	0.00	5
STEC	2011-11-23	0.545270	1.833950e+5	11.720	9.350	11.720	9.260	9.350	10.670	9.350	11.720	0.640	0.000000	11.99	9.35	0.00	6
STEC	2011-11-22	0.540284	1.850880e+5	11.720	9.580	11.720	8.960	9.580	11.700	9.580	11.720	0.340	0.000000	11.99	9.58	0.00	7
STEC	2011-11-21	0.550825	1.815460e+5	11.720	10.120	11.720	8.960	10.120	11.720	10.120	11.720	0.720	0.000000	12.00	10.12	0.00	8
STEC	2011-11-18	0.541921	1.845290e+5	11.720	10.210	11.720	8.960	10.210	11.720	10.210	11.720	0.410	0.000000	11.99	10.21	0.00	9
STEC	2011-11-17	0.548865	1.821940e+5	11.720	10.210	11.720	8.960	10.210	11.720	10.210	11.720	0.410	0.000000	11.99	10.21	0.00	10
STEC	2011-11-16	0.556173	1.798000e+5	11.720	10.210	11.720	8.960	10.210	11.720	10.210	11.720	0.550	0.000000	12.00	10.21	0.00	11
STEC	2011-11-15	0.556498	1.796950e+5	11.720	10.210	11.720	8.960	10.210	11.720	10.210	11.720	0.430	0.000000	12.00	10.21	0.00	12
STEC	2011-11-14	0.563156	1.775710e+5	11.720	10.240	11.720	8.670	10.260	11.720	10.240	11.720	0.230	0.000000	12.00	10.24	0.00	13
STEC	2011-11-11	0.580691	1.722090e+5	11.720	10.240	11.720	8.540	10.260	11.720	10.240	11.720	0.330	0.000000	12.01	10.24	0.00	14
STEC	2011-11-10	0.593885	1.683830e+5	11.720	10.240	11.720	8.540	10.260	11.720	10.240	11.720	0.500	0.000000	12.02	10.24	0.00	15
STEC	2011-11-09	0.598826	1.669930e+5	11.720	10.240	11.720	8.540	10.970	11.720	10.240	11.720	2.400	0.000000	12.02	10.24	0.00	16
STEC	2011-11-08	0.504028	1.984020e+5	11.720	10.240	11.720	8.490	10.940	11.720	10.240	11.720	0.440	0.000000	11.97	10.24	0.00	17
STEC	2011-11-07	0.507397	1.970840e+5	11.700	10.240	11.700	8.490	10.940	11.700	10.240	11.700	0.480	0.000000	11.95	10.24	0.00	18
STEC	2011-11-04	0.508839	1.965260e+5	11.610	10.240	11.610	8.490	10.710	11.610	10.240	11.610	0.300	0.000000	11.86	10.24	0.00	19
