#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
STP	2011-12-01	0.270359	3.698790e+5	2.770	2.230	3.850	1.700	2.230	2.620	2.230	2.770	0.330	0.000000	2.91	2.23	0.00	1
STP	2011-11-30	0.267220	3.742240e+5	2.770	2.230	4.100	1.700	2.230	2.640	2.230	2.770	0.250	0.000000	2.90	2.23	0.00	2
STP	2011-11-29	0.268126	3.729590e+5	2.770	2.230	4.100	1.700	2.230	2.710	2.230	2.770	0.270	0.000000	2.90	2.23	0.00	3
STP	2011-11-28	0.268027	3.730960e+5	3.080	2.230	4.110	1.700	2.230	2.740	2.230	3.080	0.260	0.000000	3.21	2.23	0.00	4
STP	2011-11-25	0.268450	3.725090e+5	3.190	2.230	4.380	1.700	2.230	2.740	2.230	3.190	0.230	0.000000	3.32	2.23	0.00	5
STP	2011-11-23	0.270474	3.697220e+5	3.190	2.230	4.670	1.700	2.230	2.740	2.230	3.190	0.230	0.000000	3.33	2.23	0.00	6
STP	2011-11-22	0.272604	3.668330e+5	3.190	2.230	4.670	1.700	2.230	2.770	2.230	3.190	0.500	0.000000	3.33	2.23	0.00	7
STP	2011-11-21	0.260636	3.836770e+5	3.190	2.240	4.670	1.700	2.340	2.770	2.240	3.190	0.210	0.000000	3.32	2.24	0.00	8
STP	2011-11-18	0.263301	3.797940e+5	3.190	2.070	5.030	1.700	2.400	2.770	2.070	3.190	0.220	0.000000	3.32	2.07	0.00	9
STP	2011-11-17	0.265580	3.765350e+5	3.190	2.070	5.250	1.700	2.530	2.770	2.070	3.190	0.250	0.000000	3.32	2.07	0.00	10
STP	2011-11-16	0.266400	3.753760e+5	3.190	2.070	5.260	1.700	2.530	2.770	2.070	3.190	0.090	0.000000	3.32	2.07	0.00	11
STP	2011-11-15	0.275684	3.627340e+5	3.190	2.070	5.440	1.700	2.510	2.770	2.070	3.190	0.130	0.000000	3.33	2.07	0.00	12
STP	2011-11-14	0.283351	3.529190e+5	3.190	2.070	5.440	1.700	2.510	2.770	2.070	3.190	0.130	0.000000	3.33	2.07	0.00	13
STP	2011-11-11	0.291422	3.431440e+5	3.190	2.070	5.440	1.700	2.510	3.080	2.070	3.190	0.180	0.000000	3.34	2.07	0.00	14
STP	2011-11-10	0.297287	3.363760e+5	3.190	2.070	5.440	1.700	2.510	3.190	2.070	3.190	0.160	0.000000	3.34	2.07	0.00	15
STP	2011-11-09	0.304512	3.283940e+5	3.190	2.070	5.440	1.700	2.460	3.190	2.070	3.190	0.170	0.000000	3.34	2.07	0.00	16
STP	2011-11-08	0.311592	3.209320e+5	3.190	2.070	5.440	1.700	2.240	3.190	2.070	3.190	0.170	0.000000	3.35	2.07	0.00	17
STP	2011-11-07	0.319044	3.134360e+5	3.190	2.070	5.440	1.700	2.240	3.190	2.070	3.190	0.160	0.000000	3.35	2.07	0.00	18
STP	2011-11-04	0.327415	3.054230e+5	3.190	2.070	5.590	1.700	2.070	3.190	2.070	3.190	0.350	0.000000	3.35	2.07	0.00	19
STP	2011-11-03	0.326226	3.065360e+5	3.190	2.070	6.110	1.700	2.070	3.190	2.070	3.190	0.300	0.000000	3.35	2.07	0.00	20
STP	2011-11-02	0.327607	3.052440e+5	3.190	2.070	6.580	1.700	2.070	3.190	2.070	3.190	0.320	0.000000	3.35	2.07	0.00	21
STP	2011-11-01	0.328007	3.048720e+5	3.190	2.050	6.700	1.700	2.070	3.190	2.050	3.190	0.230	0.000000	3.35	2.05	0.00	22
STP	2011-10-31	0.333165	3.001510e+5	3.190	1.700	6.700	1.700	2.070	3.190	1.700	3.190	0.390	0.000000	3.36	1.70	0.00	23
STP	2011-10-28	0.330174	3.028710e+5	3.190	1.700	6.700	1.700	2.070	3.190	1.700	3.190	0.490	0.000000	3.36	1.70	0.00	24
STP	2011-10-27	0.321762	3.107890e+5	2.550	1.700	6.700	1.700	2.070	2.460	1.700	2.550	0.740	0.000000	2.71	1.70	0.00	25
STP	2011-10-26	0.299750	3.336120e+5	2.550	1.700	6.700	1.700	2.070	2.440	1.700	2.550	0.220	0.000000	2.70	1.70	0.00	26
STP	2011-10-25	0.303947	3.290050e+5	2.610	1.700	6.700	1.700	2.070	2.440	1.700	2.610	0.340	0.000000	2.76	1.70	0.00	27
STP	2011-10-24	0.302049	3.310720e+5	2.810	1.700	6.700	1.700	2.070	2.500	1.700	2.810	0.400	0.000000	2.96	1.70	0.00	28
STP	2011-10-21	0.296894	3.368200e+5	2.810	1.700	6.700	1.700	2.080	2.500	1.700	2.810	0.170	0.000000	2.96	1.70	0.00	29
STP	2011-10-20	0.303573	3.294100e+5	2.810	1.700	7.090	1.700	2.080	2.550	1.700	2.810	0.200	0.000000	2.96	1.70	0.00	30
STP	2011-10-19	0.309024	3.236000e+5	2.920	1.700	7.240	1.700	2.210	2.550	1.700	2.920	0.190	0.000000	3.07	1.70	0.00	31
STP	2011-10-18	0.315288	3.171700e+5	3.050	1.700	7.370	1.700	2.050	2.550	1.700	3.050	0.210	0.000000	3.21	1.70	0.00	32
STP	2011-10-17	0.320830	3.116920e+5	3.570	1.700	7.370	1.700	1.700	2.550	1.700	3.570	0.280	0.000000	3.73	1.70	0.00	33
STP	2011-10-14	0.322979	3.096180e+5	3.680	1.700	7.370	1.700	1.700	2.550	1.700	3.680	0.140	0.000000	3.84	1.70	0.00	34
STP	2011-10-13	0.332609	3.006530e+5	3.770	1.700	7.370	1.700	1.700	2.550	1.700	3.770	0.290	0.000000	3.94	1.70	0.00	35
STP	2011-10-12	0.334852	2.986400e+5	3.850	1.700	7.400	1.700	1.700	2.550	1.700	3.850	0.220	0.000000	4.02	1.70	0.00	36
STP	2011-10-11	0.340897	2.933440e+5	4.100	1.700	7.400	1.700	1.700	2.610	1.700	4.100	0.270	0.000000	4.27	1.70	0.00	37
