#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
STX	2011-12-02	0.884175	1.131000e+5	18.350	15.160	18.350	9.490	15.160	17.400	15.160	18.350	1.510	0.000000	18.79	15.16	0.00	1
STX	2011-12-01	0.851237	1.174760e+5	18.350	15.160	18.350	9.490	15.160	17.190	15.160	18.350	0.870	0.000000	18.78	15.16	0.00	2
STX	2011-11-30	0.850249	1.176130e+5	18.350	15.160	18.350	9.490	15.160	17.520	15.160	18.350	0.650	0.000000	18.78	15.16	0.00	3
STX	2011-11-29	0.860789	1.161730e+5	18.350	15.160	18.350	9.490	15.160	17.760	15.160	18.350	1.210	0.000000	18.78	15.16	0.00	4
STX	2011-11-28	0.842409	1.187070e+5	18.350	15.160	18.350	9.490	15.160	17.940	15.160	18.350	1.240	0.000000	18.77	15.16	0.00	5
STX	2011-11-25	0.821483	1.217310e+5	18.350	15.430	18.350	9.490	15.430	17.940	15.430	18.350	0.550	0.000000	18.76	15.43	0.00	6
STX	2011-11-23	0.835772	1.196500e+5	18.350	15.990	18.350	9.490	15.990	17.940	15.990	18.350	1.100	0.000000	18.77	15.99	0.00	7
STX	2011-11-22	0.821865	1.216740e+5	18.350	15.610	18.350	9.490	16.010	17.940	15.610	18.350	0.550	0.000000	18.76	15.61	0.00	8
STX	2011-11-21	0.836174	1.195920e+5	18.350	15.610	18.350	9.490	16.010	18.350	15.610	18.350	0.660	0.000000	18.77	15.61	0.00	9
STX	2011-11-18	0.845446	1.182810e+5	18.350	15.420	18.350	9.490	16.760	18.350	15.420	18.350	0.780	0.000000	18.77	15.42	0.00	10
STX	2011-11-17	0.848891	1.178010e+5	18.350	12.060	18.350	9.490	17.130	18.350	12.060	18.350	1.190	0.000000	18.77	12.06	0.00	11
STX	2011-11-16	0.830938	1.203460e+5	18.350	12.050	18.350	9.490	16.840	18.350	12.050	18.350	0.900	0.000000	18.77	12.05	0.00	12
STX	2011-11-15	0.827303	1.208750e+5	18.350	12.050	18.350	9.490	16.250	18.350	12.050	18.350	0.800	0.000000	18.76	12.05	0.00	13
STX	2011-11-14	0.828740	1.206650e+5	18.350	11.300	18.350	9.490	16.150	18.350	11.300	18.350	0.460	0.000000	18.76	11.30	0.00	14
