#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
SU	2011-12-02	1.088280	9.188800e+4	33.290	28.140	33.290	25.280	28.140	31.490	28.140	33.290	0.520	0.000000	33.83	28.14	0.00	1
SU	2011-12-01	1.118190	8.943010e+4	33.290	28.140	33.290	25.280	28.140	31.820	28.140	33.290	0.630	0.000000	33.85	28.14	0.00	2
SU	2011-11-30	1.143890	8.742130e+4	33.290	28.140	33.290	25.280	28.140	32.750	28.140	33.290	1.810	0.000000	33.86	28.14	0.00	3
SU	2011-11-29	1.108830	9.018540e+4	33.290	28.140	33.290	25.280	28.140	32.750	28.140	33.290	0.820	0.000000	33.84	28.14	0.00	4
SU	2011-11-28	1.124030	8.896570e+4	33.290	28.140	33.290	25.280	28.140	32.750	28.140	33.290	1.260	0.000000	33.85	28.14	0.00	5
SU	2011-11-25	1.116870	8.953580e+4	33.290	28.750	33.290	25.280	28.750	32.750	28.750	33.290	0.980	0.000000	33.85	28.75	0.00	6
SU	2011-11-24	1.124080	8.896200e+4	33.290	29.010	33.290	25.280	29.010	32.750	29.010	33.290	0.550	0.000000	33.85	29.01	0.00	7
SU	2011-11-23	1.154290	8.663330e+4	33.290	30.420	33.290	25.280	30.420	32.750	30.420	33.290	1.440	0.000000	33.87	30.42	0.00	8
SU	2011-11-22	1.139250	8.777680e+4	33.290	30.920	33.290	25.280	30.940	33.290	30.920	33.290	0.960	0.000000	33.86	30.92	0.00	9
SU	2011-11-21	1.148690	8.705590e+4	33.290	30.920	33.290	25.280	31.440	33.290	30.920	33.290	1.290	0.000000	33.86	30.92	0.00	10
SU	2011-11-18	1.141250	8.762320e+4	33.290	30.270	33.290	25.280	31.440	33.290	30.270	33.290	1.010	0.000000	33.86	30.27	0.00	11
SU	2011-11-17	1.148160	8.709610e+4	33.290	29.900	33.290	25.280	31.440	33.290	29.900	33.290	1.670	0.000000	33.86	29.90	0.00	12
