#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
SWK	2011-12-02	2.208120	4.528730e+4	68.090	60.230	68.090	47.830	60.230	65.430	60.230	68.090	1.530	0.000000	69.19	60.23	0.00	1
SWK	2011-12-01	2.243810	4.456700e+4	68.090	60.230	68.090	47.830	60.230	65.430	60.230	68.090	1.430	0.000000	69.21	60.23	0.00	2
SWK	2011-11-30	2.286650	4.373220e+4	68.090	60.230	68.090	47.830	60.230	67.840	60.230	68.090	2.490	0.000000	69.23	60.23	0.00	3
SWK	2011-11-29	2.275940	4.393780e+4	68.090	60.230	68.090	47.830	60.230	67.840	60.230	68.090	1.710	0.000000	69.23	60.23	0.00	4
SWK	2011-11-28	2.305730	4.337020e+4	68.090	60.230	68.090	47.830	60.230	68.090	60.230	68.090	2.900	0.000000	69.24	60.23	0.00	5
SWK	2011-11-25	2.274450	4.396660e+4	68.090	60.250	68.090	47.830	60.250	68.090	60.250	68.090	1.090	0.000000	69.23	60.25	0.00	6
SWK	2011-11-23	2.336790	4.279370e+4	68.090	61.940	68.090	47.830	62.130	68.090	61.940	68.090	2.660	0.000000	69.26	61.94	0.00	7
SWK	2011-11-22	2.319780	4.310750e+4	68.090	60.980	68.090	47.830	62.130	68.090	60.980	68.090	1.800	0.000000	69.25	60.98	0.00	8
SWK	2011-11-21	2.347140	4.260510e+4	68.090	60.980	68.090	47.830	63.660	68.090	60.980	68.090	2.750	0.000000	69.26	60.98	0.00	9
SWK	2011-11-18	2.325940	4.299340e+4	68.090	60.980	68.090	47.830	64.450	68.090	60.980	68.090	1.920	0.000000	69.25	60.98	0.00	10
SWK	2011-11-17	2.347300	4.260210e+4	68.090	60.410	68.090	47.830	64.450	68.090	60.410	68.090	2.370	0.000000	69.26	60.41	0.00	11
SWK	2011-11-16	2.346110	4.262380e+4	68.090	59.800	68.090	47.830	64.090	68.090	59.800	68.090	2.750	0.000000	69.26	59.80	0.00	12
SWK	2011-11-15	2.324850	4.301360e+4	68.090	59.800	68.090	47.830	61.940	68.090	59.800	68.090	1.990	0.000000	69.25	59.80	0.00	13
SWK	2011-11-14	2.342470	4.268990e+4	68.090	56.190	68.090	47.830	61.940	68.090	56.190	68.090	1.130	0.000000	69.26	56.19	0.00	14
SWK	2011-11-11	2.406290	4.155780e+4	67.660	56.190	67.660	47.830	61.940	67.660	56.190	67.660	2.880	0.000000	68.86	56.19	0.00	15
SWK	2011-11-10	2.381350	4.199290e+4	67.660	56.190	67.660	47.830	61.940	67.660	56.190	67.660	1.310	0.000000	68.85	56.19	0.00	16
SWK	2011-11-09	2.437740	4.102160e+4	67.660	56.190	67.660	47.830	61.940	67.660	56.190	67.660	3.450	0.000000	68.88	56.19	0.00	17
