#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
SWY	2011-12-02	0.549600	1.819510e+5	20.070	18.370	20.070	16.060	18.370	20.070	18.370	20.070	0.280	0.000000	20.34	18.37	0.00	1
SWY	2011-12-01	0.563789	1.773710e+5	20.070	18.370	20.070	16.060	18.370	20.000	18.370	20.070	0.320	0.000000	20.35	18.37	0.00	2
SWY	2011-11-30	0.576620	1.734240e+5	20.070	18.370	20.070	16.060	18.370	19.810	18.370	20.070	1.040	0.000000	20.36	18.37	0.00	3
SWY	2011-11-29	0.552232	1.810830e+5	20.070	18.370	20.070	16.060	18.370	19.940	18.370	20.070	0.520	0.000000	20.35	18.37	0.00	4
SWY	2011-11-28	0.553928	1.805290e+5	20.070	18.370	20.070	16.060	18.370	20.070	18.370	20.070	0.730	0.000000	20.35	18.37	0.00	5
SWY	2011-11-25	0.544662	1.836000e+5	20.070	18.370	20.070	16.060	18.370	20.070	18.370	20.070	0.640	0.000000	20.34	18.37	0.00	6
SWY	2011-11-23	0.539644	1.853070e+5	20.070	18.540	20.070	16.060	18.540	20.070	18.540	20.070	0.430	0.000000	20.34	18.54	0.00	7
SWY	2011-11-22	0.545414	1.833470e+5	20.070	18.980	20.070	16.060	18.980	20.070	18.980	20.070	0.720	0.000000	20.34	18.98	0.00	8
SWY	2011-11-21	0.536226	1.864890e+5	20.070	18.980	20.070	16.060	18.980	20.070	18.980	20.070	0.440	0.000000	20.34	18.98	0.00	9
SWY	2011-11-18	0.541290	1.847440e+5	20.070	18.850	20.070	16.060	18.980	20.070	18.850	20.070	0.270	0.000000	20.34	18.85	0.00	10
SWY	2011-11-17	0.555569	1.799960e+5	20.070	18.180	20.070	16.060	19.160	20.070	18.180	20.070	0.880	0.000000	20.35	18.18	0.00	11
SWY	2011-11-16	0.538493	1.857030e+5	20.070	18.140	20.070	16.060	19.160	20.070	18.140	20.070	0.490	0.000000	20.34	18.14	0.00	12
SWY	2011-11-15	0.541046	1.848270e+5	20.070	17.960	20.070	16.060	19.000	20.070	17.960	20.070	0.380	0.000000	20.34	17.96	0.00	13
SWY	2011-11-14	0.549522	1.819760e+5	20.070	17.650	20.070	16.060	19.000	20.070	17.650	20.070	0.430	0.000000	20.34	17.65	0.00	14
SWY	2011-11-11	0.555812	1.799170e+5	19.960	17.650	19.960	16.060	19.000	19.960	17.650	19.960	0.540	0.000000	20.24	17.65	0.00	15
SWY	2011-11-10	0.556645	1.796480e+5	19.960	17.650	19.960	16.060	19.000	19.960	17.650	19.960	0.470	0.000000	20.24	17.65	0.00	16
SWY	2011-11-09	0.561205	1.781880e+5	19.960	17.650	19.960	16.060	19.000	19.960	17.650	19.960	0.730	0.000000	20.24	17.65	0.00	17
SWY	2011-11-08	0.552321	1.810540e+5	19.860	17.460	19.860	16.060	18.980	19.860	17.460	19.860	0.430	0.000000	20.14	17.46	0.00	18
SWY	2011-11-07	0.558759	1.789680e+5	19.860	17.460	19.860	16.060	18.980	19.860	17.460	19.860	0.450	0.000000	20.14	17.46	0.00	19
SWY	2011-11-04	0.564483	1.771530e+5	19.860	17.430	19.860	16.060	18.850	19.860	17.430	19.860	0.530	0.000000	20.14	17.43	0.00	20
SWY	2011-11-03	0.566298	1.765860e+5	19.860	17.430	19.860	16.060	18.180	19.860	17.430	19.860	0.530	0.000000	20.14	17.43	0.00	21
SWY	2011-11-02	0.568208	1.759920e+5	19.860	17.420	19.860	16.060	18.140	19.860	17.420	19.860	0.440	0.000000	20.14	17.42	0.00	22
SWY	2011-11-01	0.574956	1.739260e+5	19.860	17.260	19.860	16.060	17.960	19.860	17.260	19.860	0.420	0.000000	20.15	17.26	0.00	23
SWY	2011-10-31	0.583112	1.714940e+5	19.860	16.320	19.860	16.060	17.650	19.860	16.320	19.860	0.380	0.000000	20.15	16.32	0.00	24
SWY	2011-10-28	0.593802	1.684060e+5	19.860	16.320	19.860	16.060	17.650	19.860	16.320	19.860	0.380	0.000000	20.16	16.32	0.00	25
SWY	2011-10-27	0.605054	1.652740e+5	19.200	16.320	19.200	16.060	17.650	19.200	16.320	19.200	0.800	0.000000	19.50	16.32	0.00	26
SWY	2011-10-26	0.594794	1.681250e+5	19.160	16.320	19.160	16.060	17.650	19.160	16.320	19.160	0.490	0.000000	19.46	16.32	0.00	27
SWY	2011-10-25	0.600310	1.665810e+5	19.160	16.320	19.160	16.060	17.460	19.160	16.320	19.160	0.360	0.000000	19.46	16.32	0.00	28
SWY	2011-10-24	0.612957	1.631430e+5	18.850	16.320	18.920	16.060	17.460	18.850	16.320	18.850	0.430	0.000000	19.16	16.32	0.00	29
SWY	2011-10-21	0.622587	1.606200e+5	18.180	16.060	19.190	16.060	17.430	18.180	16.060	18.180	0.670	0.000000	18.49	16.06	0.00	30
