#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
T	2011-12-02	0.846345	1.181550e+5	55.560	53.210	55.560	50.640	53.210	55.560	53.210	55.560	0.630	0.000000	55.98	53.21	0.00	1
T	2011-12-01	0.857731	1.165870e+5	55.250	53.210	55.280	50.640	53.210	55.250	53.210	55.250	0.870	0.000000	55.68	53.21	0.00	2
T	2011-11-30	0.857085	1.166740e+5	54.620	53.210	55.280	50.560	53.210	54.180	53.210	54.620	1.270	0.000000	55.05	53.21	0.00	3
T	2011-11-29	0.835353	1.197100e+5	54.620	53.210	55.280	50.560	53.210	54.100	53.210	54.620	0.760	0.000000	55.04	53.21	0.00	4
T	2011-11-28	0.839319	1.191440e+5	54.620	53.210	55.280	50.560	53.210	54.100	53.210	54.620	1.190	0.000000	55.04	53.21	0.00	5
T	2011-11-25	0.820862	1.218230e+5	54.620	53.210	55.280	50.560	53.210	54.340	53.210	54.620	0.830	0.000000	55.03	53.21	0.00	6
T	2011-11-24	0.820381	1.218950e+5	54.620	53.210	55.280	50.560	53.210	54.340	53.210	54.620	0.460	0.000000	55.03	53.21	0.00	7
T	2011-11-23	0.839348	1.191400e+5	54.620	53.210	55.280	50.560	53.210	54.340	53.210	54.620	0.620	0.000000	55.04	53.21	0.00	8
T	2011-11-22	0.850893	1.175240e+5	54.710	53.210	55.280	50.560	53.210	54.620	53.210	54.710	0.860	0.000000	55.14	53.21	0.00	9
T	2011-11-21	0.850414	1.175900e+5	55.280	53.210	55.280	50.560	53.210	54.620	53.210	55.280	0.670	0.000000	55.71	53.21	0.00	10
T	2011-11-18	0.859909	1.162910e+5	55.280	53.350	55.280	50.560	53.620	54.620	53.350	55.280	0.900	0.000000	55.71	53.35	0.00	11
T	2011-11-17	0.857799	1.165770e+5	55.280	53.350	55.280	50.560	53.670	54.620	53.350	55.280	0.930	0.000000	55.71	53.35	0.00	12
T	2011-11-16	0.853999	1.170960e+5	55.280	53.350	55.280	50.560	53.900	54.620	53.350	55.280	0.700	0.000000	55.71	53.35	0.00	13
T	2011-11-15	0.862104	1.159950e+5	55.280	53.350	55.280	50.560	53.350	54.620	53.350	55.280	0.620	0.000000	55.71	53.35	0.00	14
T	2011-11-14	0.874847	1.143060e+5	55.280	53.350	55.280	50.560	53.350	54.620	53.350	55.280	0.500	0.000000	55.72	53.35	0.00	15
T	2011-11-11	0.894576	1.117850e+5	55.280	53.350	55.280	50.560	53.350	54.620	53.350	55.280	0.650	0.000000	55.73	53.35	0.00	16
T	2011-11-10	0.907448	1.101990e+5	55.280	53.350	55.280	50.560	53.350	54.620	53.350	55.280	0.670	0.000000	55.73	53.35	0.00	17
T	2011-11-09	0.919945	1.087020e+5	55.280	53.190	55.280	50.560	53.350	54.620	53.190	55.280	0.860	0.000000	55.74	53.19	0.00	18
T	2011-11-08	0.923100	1.083310e+5	55.280	52.640	55.280	50.560	53.350	54.710	52.640	55.280	0.790	0.000000	55.74	52.64	0.00	19
T	2011-11-07	0.930106	1.075150e+5	55.280	52.090	55.280	50.560	53.350	55.280	52.090	55.280	0.610	0.000000	55.75	52.09	0.00	20
T	2011-11-04	0.946953	1.056020e+5	55.280	52.050	55.280	50.560	53.350	55.280	52.050	55.280	1.030	0.000000	55.75	52.05	0.00	21
T	2011-11-03	0.942582	1.060920e+5	55.280	51.350	55.280	50.560	53.350	55.280	51.350	55.280	0.980	0.000000	55.75	51.35	0.00	22
T	2011-11-02	0.940613	1.063140e+5	55.280	50.640	55.280	50.560	53.350	55.280	50.640	55.280	0.990	0.000000	55.75	50.64	0.00	23
T	2011-11-01	0.938014	1.066080e+5	55.280	50.640	55.280	50.560	53.400	55.280	50.640	55.280	1.610	0.000000	55.75	50.64	0.00	24
T	2011-10-31	0.902646	1.107850e+5	55.280	50.640	55.280	50.560	53.400	55.280	50.640	55.280	1.350	0.000000	55.73	50.64	0.00	25
T	2011-10-28	0.879101	1.137530e+5	55.280	50.640	55.280	50.560	53.790	55.280	50.640	55.280	1.010	0.000000	55.72	50.64	0.00	26
T	2011-10-27	0.872212	1.146510e+5	55.280	50.640	55.280	50.560	53.500	55.280	50.640	55.280	0.850	0.000000	55.72	50.64	0.00	27
T	2011-10-26	0.873381	1.144980e+5	55.280	50.640	55.280	50.050	53.190	55.280	50.640	55.280	1.150	0.000000	55.72	50.64	0.00	28
T	2011-10-25	0.858822	1.164390e+5	55.280	50.640	55.280	50.050	52.640	55.280	50.640	55.280	0.810	0.000000	55.71	50.64	0.00	29
T	2011-10-24	0.861391	1.160910e+5	55.250	50.640	55.250	50.050	52.090	55.250	50.640	55.250	0.570	0.000000	55.68	50.64	0.00	30
T	2011-10-21	0.876728	1.140610e+5	55.150	50.640	55.150	50.050	52.050	55.150	50.640	55.150	0.340	0.000000	55.59	50.64	0.00	31
T	2011-10-20	0.904976	1.105000e+5	54.830	50.640	54.830	50.050	51.350	54.830	50.640	54.830	0.530	0.000000	55.28	50.64	0.00	32
T	2011-10-19	0.924712	1.081420e+5	54.830	50.640	54.830	50.050	50.640	54.830	50.640	54.830	0.400	0.000000	55.29	50.64	0.00	33
T	2011-10-18	0.952329	1.050060e+5	54.610	50.640	54.610	50.050	50.640	54.610	50.640	54.610	0.540	0.000000	55.09	50.64	0.00	34
T	2011-10-17	0.974030	1.026660e+5	54.180	50.640	54.180	50.050	50.640	54.180	50.640	54.180	0.840	0.000000	54.67	50.64	0.00	35
T	2011-10-14	0.981084	1.019280e+5	53.500	50.640	53.980	50.050	50.640	53.500	50.640	53.500	0.680	0.000000	53.99	50.64	0.00	36
T	2011-10-13	0.996931	1.003080e+5	53.190	50.640	53.980	50.050	50.640	53.190	50.640	53.190	0.840	0.000000	53.69	50.64	0.00	37
T	2011-10-12	1.005190	9.948370e+4	52.640	50.560	53.980	50.050	50.640	52.640	50.560	52.640	0.740	0.000000	53.14	50.56	0.00	38
T	2011-10-11	1.019150	9.812120e+4	52.570	50.560	53.980	50.050	50.640	52.090	50.560	52.570	0.870	0.000000	53.08	50.56	0.00	39
T	2011-10-07	1.027000	9.737120e+4	52.570	50.560	53.980	50.050	50.640	52.050	50.560	52.570	0.900	0.000000	53.08	50.56	0.00	40
T	2011-10-06	1.033680	9.674160e+4	52.570	50.560	54.120	50.050	50.640	51.810	50.560	52.570	0.850	0.000000	53.09	50.56	0.00	41
T	2011-10-05	1.043350	9.584520e+4	53.290	50.560	54.180	50.050	50.640	51.810	50.560	53.290	1.060	0.000000	53.81	50.56	0.00	42
T	2011-10-04	1.042470	9.592580e+4	53.510	50.560	54.580	50.050	51.000	51.810	50.560	53.510	1.000	0.000000	54.03	50.56	0.00	43
T	2011-10-03	1.044710	9.572050e+4	53.900	50.560	54.830	50.050	51.030	51.810	50.560	53.900	0.650	0.000000	54.42	50.56	0.00	44
T	2011-09-30	1.065480	9.385420e+4	53.900	50.560	54.830	50.050	51.030	51.810	50.560	53.900	0.820	0.000000	54.43	50.56	0.00	45
T	2011-09-29	1.078400	9.272980e+4	53.980	50.560	54.830	50.050	51.030	52.570	50.560	53.980	0.600	0.000000	54.52	50.56	0.00	46
T	2011-09-28	1.103580	9.061410e+4	53.980	50.560	54.830	50.050	51.030	52.570	50.560	53.980	0.600	0.000000	54.53	50.56	0.00	47
T	2011-09-27	1.130090	8.848890e+4	53.980	50.560	54.830	50.050	50.560	52.570	50.560	53.980	0.910	0.000000	54.55	50.56	0.00	48
T	2011-09-26	1.141670	8.759110e+4	53.980	50.560	54.830	50.050	50.560	52.570	50.560	53.980	1.330	0.000000	54.55	50.56	0.00	49
T	2011-09-23	1.131760	8.835820e+4	53.980	50.560	54.830	50.050	50.560	52.570	50.560	53.980	0.860	0.000000	54.55	50.56	0.00	50
T	2011-09-22	1.146060	8.725550e+4	53.980	50.560	54.830	50.050	50.560	52.570	50.560	53.980	1.310	0.000000	54.55	50.56	0.00	51
T	2011-09-21	1.137430	8.791740e+4	53.980	50.560	54.830	50.050	50.560	53.290	50.560	53.980	1.030	0.000000	54.55	50.56	0.00	52
T	2011-09-20	1.143090	8.748250e+4	53.980	50.560	54.830	50.050	50.560	53.510	50.560	53.980	1.270	0.000000	54.55	50.56	0.00	53
T	2011-09-19	1.136410	8.799670e+4	53.980	50.560	54.830	50.050	50.560	53.900	50.560	53.980	0.650	0.000000	54.55	50.56	0.00	54
