#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
TAXI	2011-12-02	0.405906	2.463620e+5	12.030	11.120	12.030	8.910	11.120	11.780	11.120	12.030	0.140	0.000000	12.23	11.12	0.00	1
TAXI	2011-12-01	0.419901	2.381510e+5	12.030	11.120	12.030	8.910	11.120	11.780	11.120	12.030	0.280	0.000000	12.24	11.12	0.00	2
TAXI	2011-11-30	0.427265	2.340470e+5	12.030	11.120	12.030	8.910	11.120	11.780	11.120	12.030	0.290	0.000000	12.24	11.12	0.00	3
TAXI	2011-11-29	0.434489	2.301550e+5	12.030	11.120	12.030	8.910	11.120	11.780	11.120	12.030	0.320	0.000000	12.25	11.12	0.00	4
TAXI	2011-11-28	0.440515	2.270070e+5	12.030	11.120	12.030	8.910	11.120	11.760	11.120	12.030	0.660	0.000000	12.25	11.12	0.00	5
TAXI	2011-11-25	0.428963	2.331200e+5	12.030	11.120	12.030	8.910	11.120	11.760	11.120	12.030	0.340	0.000000	12.24	11.12	0.00	6
TAXI	2011-11-23	0.433645	2.306030e+5	12.030	11.130	12.030	8.910	11.320	11.760	11.130	12.030	0.660	0.000000	12.25	11.13	0.00	7
TAXI	2011-11-22	0.421732	2.371170e+5	12.030	10.820	12.030	8.910	11.320	11.780	10.820	12.030	0.190	0.000000	12.24	10.82	0.00	8
TAXI	2011-11-21	0.433928	2.304530e+5	12.030	10.820	12.030	8.910	11.320	11.780	10.820	12.030	0.310	0.000000	12.25	10.82	0.00	9
TAXI	2011-11-18	0.440451	2.270400e+5	12.030	10.670	12.030	8.910	11.320	11.780	10.670	12.030	0.360	0.000000	12.25	10.67	0.00	10
TAXI	2011-11-17	0.444685	2.248780e+5	12.030	10.290	12.030	8.910	11.320	12.030	10.290	12.030	0.300	0.000000	12.25	10.29	0.00	11
TAXI	2011-11-16	0.452300	2.210920e+5	12.030	10.070	12.030	8.910	11.320	12.030	10.070	12.030	0.390	0.000000	12.26	10.07	0.00	12
TAXI	2011-11-15	0.455579	2.195010e+5	12.030	10.070	12.030	8.910	11.320	12.030	10.070	12.030	0.420	0.000000	12.26	10.07	0.00	13
TAXI	2011-11-14	0.457452	2.186020e+5	12.030	10.070	12.030	8.910	11.320	12.030	10.070	12.030	0.270	0.000000	12.26	10.07	0.00	14
TAXI	2011-11-11	0.467318	2.139870e+5	12.030	10.070	12.030	8.910	11.320	12.030	10.070	12.030	0.410	0.000000	12.26	10.07	0.00	15
