#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
TBL	2011-12-01	0.025203	3.967780e+6	0.690	0.600	0.700	0.580	0.600	0.690	0.600	0.690	0.060	0.000000	0.70	0.60	0.00	1
TBL	2011-11-30	0.023372	4.278700e+6	0.690	0.600	0.700	0.580	0.600	0.690	0.600	0.690	0.000	0.000000	0.70	0.60	0.00	2
TBL	2011-11-29	0.024602	4.064770e+6	0.690	0.600	0.700	0.580	0.600	0.650	0.600	0.690	0.090	0.000000	0.70	0.60	0.00	3
TBL	2011-11-28	0.021160	4.725980e+6	0.690	0.600	0.700	0.580	0.600	0.650	0.600	0.690	0.010	0.000000	0.70	0.60	0.00	4
TBL	2011-11-25	0.021747	4.598340e+6	0.690	0.600	0.700	0.580	0.600	0.650	0.600	0.690	0.020	0.000000	0.70	0.60	0.00	5
TBL	2011-11-24	0.021839	4.578980e+6	0.690	0.600	0.700	0.580	0.600	0.650	0.600	0.690	0.000	0.000000	0.70	0.60	0.00	6
TBL	2011-11-23	0.022988	4.350030e+6	0.690	0.600	0.700	0.580	0.600	0.650	0.600	0.690	0.020	0.000000	0.70	0.60	0.00	7
TBL	2011-11-22	0.023146	4.320470e+6	0.690	0.600	0.700	0.580	0.640	0.650	0.600	0.690	0.090	0.000000	0.70	0.60	0.00	8
TBL	2011-11-21	0.019627	5.095030e+6	0.690	0.600	0.700	0.580	0.640	0.690	0.600	0.690	0.010	0.000000	0.70	0.60	0.00	9
TBL	2011-11-18	0.020134	4.966810e+6	0.690	0.600	0.700	0.580	0.600	0.690	0.600	0.690	0.000	0.000000	0.70	0.60	0.00	10
TBL	2011-11-17	0.021193	4.718470e+6	0.690	0.600	0.700	0.580	0.600	0.690	0.600	0.690	0.000	0.000000	0.70	0.60	0.00	11
TBL	2011-11-16	0.022309	4.482550e+6	0.690	0.590	0.700	0.580	0.600	0.690	0.590	0.690	0.000	0.000000	0.70	0.59	0.00	12
TBL	2011-11-15	0.023483	4.258420e+6	0.690	0.580	0.700	0.580	0.600	0.690	0.580	0.690	0.010	0.000000	0.70	0.58	0.00	13
TBL	2011-11-14	0.024192	4.133510e+6	0.700	0.580	0.700	0.580	0.600	0.690	0.580	0.700	0.060	0.000000	0.71	0.58	0.00	14
TBL	2011-11-11	0.022308	4.482710e+6	0.700	0.580	0.740	0.580	0.600	0.690	0.580	0.700	0.000	0.000000	0.71	0.58	0.00	15
TBL	2011-11-10	0.023482	4.258580e+6	0.700	0.580	0.740	0.580	0.600	0.690	0.580	0.700	0.010	0.000000	0.71	0.58	0.00	16
TBL	2011-11-09	0.024192	4.133670e+6	0.700	0.580	0.740	0.580	0.600	0.690	0.580	0.700	0.010	0.000000	0.71	0.58	0.00	17
TBL	2011-11-08	0.024938	4.009860e+6	0.700	0.580	0.740	0.580	0.600	0.690	0.580	0.700	0.040	0.000000	0.71	0.58	0.00	18
TBL	2011-11-07	0.024146	4.141500e+6	0.700	0.580	0.740	0.580	0.600	0.660	0.580	0.700	0.090	0.000000	0.71	0.58	0.00	19
TBL	2011-11-04	0.020680	4.835640e+6	0.700	0.580	0.750	0.580	0.600	0.660	0.580	0.700	0.000	0.000000	0.71	0.58	0.00	20
TBL	2011-11-03	0.021768	4.593850e+6	0.700	0.580	0.750	0.580	0.600	0.660	0.580	0.700	0.000	0.000000	0.71	0.58	0.00	21
TBL	2011-11-02	0.022914	4.364160e+6	0.700	0.580	0.750	0.580	0.590	0.660	0.580	0.700	0.000	0.000000	0.71	0.58	0.00	22
TBL	2011-11-01	0.024120	4.145950e+6	0.700	0.580	0.750	0.580	0.580	0.660	0.580	0.700	0.060	0.000000	0.71	0.58	0.00	23
