#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
TD	2011-12-02	1.579310	6.331860e+4	73.800	68.180	76.100	68.180	68.180	73.500	68.180	73.800	1.730	0.000000	74.59	68.18	0.00	1
TD	2011-12-01	1.571380	6.363820e+4	73.890	68.180	76.100	68.180	68.180	73.500	68.180	73.890	2.300	0.000000	74.68	68.18	0.00	2
TD	2011-11-30	1.533040	6.523010e+4	73.890	68.180	76.100	68.180	68.180	71.730	68.180	73.890	3.870	0.000000	74.66	68.18	0.00	3
TD	2011-11-29	1.410040	7.092010e+4	73.890	68.180	76.100	68.180	68.180	72.460	68.180	73.890	1.460	0.000000	74.59	68.18	0.00	4
TD	2011-11-28	1.407410	7.105260e+4	75.230	68.180	76.100	68.180	68.180	72.460	68.180	75.230	1.940	0.000000	75.93	68.18	0.00	5
TD	2011-11-25	1.379380	7.249650e+4	75.990	68.700	76.310	68.700	68.700	72.460	68.700	75.990	0.830	0.000000	76.68	68.70	0.00	6
TD	2011-11-24	1.408290	7.100810e+4	76.100	69.230	77.650	69.230	69.230	72.460	69.230	76.100	1.040	0.000000	76.80	69.23	0.00	7
TD	2011-11-23	1.427670	7.004400e+4	76.100	70.490	77.650	70.490	70.490	72.460	70.490	76.100	2.010	0.000000	76.81	70.49	0.00	8
TD	2011-11-22	1.397030	7.158060e+4	76.100	70.490	77.650	70.490	70.490	73.800	70.490	76.100	0.900	0.000000	76.80	70.49	0.00	9
TD	2011-11-21	1.423180	7.026490e+4	76.100	70.570	78.600	70.490	70.570	73.800	70.570	76.100	1.450	0.000000	76.81	70.57	0.00	10
TD	2011-11-18	1.421770	7.033470e+4	76.100	70.570	78.600	70.490	70.570	73.800	70.570	76.100	1.080	0.000000	76.81	70.57	0.00	11
TD	2011-11-17	1.439760	6.945590e+4	76.100	71.730	78.600	70.490	71.730	73.890	71.730	76.100	1.470	0.000000	76.82	71.73	0.00	12
TD	2011-11-16	1.438170	6.953280e+4	76.100	71.870	78.600	70.490	71.870	73.890	71.870	76.100	1.030	0.000000	76.82	71.87	0.00	13
TD	2011-11-15	1.459650	6.850940e+4	76.100	71.870	78.600	70.490	71.870	73.890	71.870	76.100	1.250	0.000000	76.83	71.87	0.00	14
TD	2011-11-14	1.470690	6.799540e+4	76.100	71.870	78.600	70.490	71.870	75.230	71.870	76.100	1.450	0.000000	76.84	71.87	0.00	15
TD	2011-11-11	1.471780	6.794510e+4	76.100	71.870	78.600	70.490	71.870	75.990	71.870	76.100	1.110	0.000000	76.84	71.87	0.00	16
TD	2011-11-10	1.490820	6.707730e+4	76.100	72.200	78.600	70.490	72.200	76.100	72.200	76.100	1.570	0.000000	76.85	72.20	0.00	17
TD	2011-11-09	1.486650	6.726540e+4	76.100	72.880	78.600	70.490	72.880	76.100	72.880	76.100	1.620	0.000000	76.84	72.88	0.00	18
TD	2011-11-08	1.479630	6.758440e+4	76.100	72.880	78.600	70.490	72.880	76.100	72.880	76.100	0.800	0.000000	76.84	72.88	0.00	19
TD	2011-11-07	1.515400	6.598910e+4	76.100	72.880	78.600	70.490	72.880	76.100	72.880	76.100	0.730	0.000000	76.86	72.88	0.00	20
TD	2011-11-04	1.556740	6.423690e+4	76.100	72.880	78.600	70.490	72.880	76.100	72.880	76.100	1.300	0.000000	76.88	72.88	0.00	21
TD	2011-11-03	1.570250	6.368410e+4	76.100	72.320	78.600	70.490	72.880	76.100	72.320	76.100	0.970	0.000000	76.89	72.32	0.00	22
TD	2011-11-02	1.601840	6.242810e+4	76.100	71.140	78.600	70.490	72.880	76.100	71.140	76.100	1.110	0.000000	76.90	71.14	0.00	23
TD	2011-11-01	1.627730	6.143530e+4	76.100	71.140	78.600	70.490	73.390	76.100	71.140	76.100	2.540	0.000000	76.91	71.14	0.00	24
TD	2011-10-31	1.579710	6.330260e+4	76.100	71.140	78.600	70.490	73.390	76.100	71.140	76.100	0.990	0.000000	76.89	71.14	0.00	25
TD	2011-10-28	1.610750	6.208280e+4	76.100	71.140	78.600	70.490	73.390	76.100	71.140	76.100	0.800	0.000000	76.91	71.14	0.00	26
TD	2011-10-27	1.653420	6.048060e+4	75.200	71.140	78.600	70.490	73.390	74.960	71.140	75.200	2.750	0.000000	76.03	71.14	0.00	27
TD	2011-10-26	1.595710	6.266810e+4	75.200	71.140	78.600	70.490	73.390	75.200	71.140	75.200	0.950	0.000000	76.00	71.14	0.00	28
TD	2011-10-25	1.629690	6.136120e+4	75.200	71.140	78.600	70.490	73.390	75.200	71.140	75.200	1.280	0.000000	76.01	71.14	0.00	29
TD	2011-10-24	1.648100	6.067600e+4	75.200	70.930	78.600	70.490	73.230	75.200	70.930	75.200	0.680	0.000000	76.02	70.93	0.00	30
TD	2011-10-21	1.699050	5.885640e+4	75.200	70.490	78.600	70.490	73.230	75.200	70.490	75.200	1.010	0.000000	76.05	70.49	0.00	31
TD	2011-10-20	1.735320	5.762640e+4	75.200	70.490	78.600	70.490	72.320	75.200	70.490	75.200	1.250	0.000000	76.07	70.49	0.00	32
TD	2011-10-19	1.760860	5.679040e+4	75.200	70.490	78.600	70.490	71.140	75.200	70.490	75.200	1.370	0.000000	76.08	70.49	0.00	33
TD	2011-10-18	1.781430	5.613460e+4	75.200	70.490	78.600	70.490	71.140	75.200	70.490	75.200	0.870	0.000000	76.09	70.49	0.00	34
TD	2011-10-17	1.829400	5.466270e+4	75.200	70.490	78.600	70.490	71.140	75.200	70.490	75.200	1.210	0.000000	76.11	70.49	0.00	35
TD	2011-10-14	1.862000	5.370570e+4	75.200	70.490	78.680	70.490	71.140	75.200	70.490	75.200	0.880	0.000000	76.13	70.49	0.00	36
TD	2011-10-13	1.913690	5.225520e+4	75.200	70.490	80.160	70.490	71.140	75.200	70.490	75.200	1.240	0.000000	76.16	70.49	0.00	37
TD	2011-10-12	1.949140	5.130460e+4	75.170	70.490	80.760	70.490	71.140	75.000	70.490	75.170	1.480	0.000000	76.14	70.49	0.00	38
TD	2011-10-11	1.973830	5.066280e+4	75.170	70.490	80.760	70.490	71.140	75.000	70.490	75.170	1.270	0.000000	76.16	70.49	0.00	39
TD	2011-10-07	2.010880	4.972950e+4	75.170	70.490	80.760	70.490	70.930	75.000	70.490	75.170	1.090	0.000000	76.18	70.49	0.00	40
TD	2011-10-06	2.059350	4.855910e+4	76.310	70.490	80.760	70.490	70.490	75.000	70.490	76.310	2.280	0.000000	77.34	70.49	0.00	41
TD	2011-10-05	2.047730	4.883450e+4	77.650	70.490	80.760	70.490	70.490	75.000	70.490	77.650	2.830	0.000000	78.67	70.49	0.00	42
TD	2011-10-04	2.006560	4.983650e+4	77.650	70.490	80.760	70.490	70.490	75.000	70.490	77.650	3.120	0.000000	78.65	70.49	0.00	43
TD	2011-10-03	1.947960	5.133580e+4	77.650	70.490	80.760	70.490	70.490	75.000	70.490	77.650	3.550	0.000000	78.62	70.49	0.00	44
TD	2011-09-30	1.863640	5.365840e+4	78.600	70.490	80.760	70.490	70.490	75.000	70.490	78.600	0.850	0.000000	79.53	70.49	0.00	45
TD	2011-09-29	1.916990	5.216510e+4	78.600	70.490	80.760	70.490	70.490	75.170	70.490	78.600	1.460	0.000000	79.56	70.49	0.00	46
TD	2011-09-28	1.941040	5.151870e+4	78.600	70.490	80.760	70.490	70.490	75.170	70.490	78.600	1.320	0.000000	79.57	70.49	0.00	47
TD	2011-09-27	1.973730	5.066550e+4	78.600	70.490	80.760	70.490	70.490	75.170	70.490	78.600	1.820	0.000000	79.59	70.49	0.00	48
TD	2011-09-26	1.981820	5.045870e+4	78.600	70.490	80.760	70.490	70.490	75.170	70.490	78.600	3.800	0.000000	79.59	70.49	0.00	49
TD	2011-09-23	1.886130	5.301870e+4	78.600	70.490	80.760	70.490	70.490	75.170	70.490	78.600	1.690	0.000000	79.54	70.49	0.00	50
TD	2011-09-22	1.896450	5.273020e+4	78.600	72.200	81.010	70.790	72.200	76.310	72.200	78.600	3.190	0.000000	79.55	72.20	0.00	51
TD	2011-09-21	1.828370	5.469360e+4	78.600	72.650	81.910	70.790	72.650	77.650	72.650	78.600	1.650	0.000000	79.51	72.65	0.00	52
TD	2011-09-20	1.837750	5.441430e+4	78.600	70.790	81.910	70.790	72.650	77.650	70.790	78.600	1.100	0.000000	79.52	70.79	0.00	53
TD	2011-09-19	1.876580	5.328830e+4	78.600	70.790	81.910	70.790	72.650	77.650	70.790	78.600	1.500	0.000000	79.54	70.79	0.00	54
