#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
TGT	2011-12-02	1.199420	8.337360e+4	53.180	51.210	55.560	47.800	51.210	53.000	51.210	53.180	1.200	0.000000	53.78	51.21	0.00	1
TGT	2011-12-01	1.199390	8.337570e+4	53.180	51.210	55.560	47.800	51.210	53.000	51.210	53.180	1.200	0.000000	53.78	51.21	0.00	2
TGT	2011-11-30	1.199360	8.337800e+4	53.180	51.210	55.560	47.800	51.210	53.180	51.210	53.180	1.360	0.000000	53.78	51.21	0.00	3
TGT	2011-11-29	1.190900	8.396990e+4	54.750	51.210	55.560	47.800	51.210	53.180	51.210	54.750	1.090	0.000000	55.35	51.21	0.00	4
TGT	2011-11-28	1.196210	8.359710e+4	55.240	51.210	55.560	47.800	51.210	53.180	51.210	55.240	1.350	0.000000	55.84	51.21	0.00	5
TGT	2011-11-25	1.188120	8.416660e+4	55.560	51.530	55.560	47.800	51.530	53.180	51.530	55.560	0.660	0.000000	56.15	51.53	0.00	6
TGT	2011-11-23	1.215910	8.224260e+4	55.560	51.690	55.560	47.800	51.690	53.180	51.690	55.560	1.160	0.000000	56.17	51.69	0.00	7
TGT	2011-11-22	1.218860	8.204400e+4	55.560	51.690	55.560	47.800	51.690	53.180	51.690	55.560	0.580	0.000000	56.17	51.69	0.00	8
TGT	2011-11-21	1.252480	7.984150e+4	55.560	51.690	55.560	47.800	51.690	53.180	51.690	55.560	1.380	0.000000	56.19	51.69	0.00	9
TGT	2011-11-18	1.245770	8.027160e+4	55.560	51.690	55.560	47.800	51.690	53.180	51.690	55.560	1.020	0.000000	56.18	51.69	0.00	10
TGT	2011-11-17	1.257650	7.951320e+4	55.560	51.690	55.560	47.800	51.690	53.180	51.690	55.560	1.590	0.000000	56.19	51.69	0.00	11
TGT	2011-11-16	1.240160	8.063470e+4	55.560	51.690	55.560	47.800	51.690	53.180	51.690	55.560	2.140	0.000000	56.18	51.69	0.00	12
TGT	2011-11-15	1.192800	8.383630e+4	55.560	51.690	55.560	47.800	51.690	53.070	51.690	55.560	1.130	0.000000	56.16	51.69	0.00	13
TGT	2011-11-14	1.196110	8.360460e+4	55.560	51.690	55.560	47.800	51.690	54.750	51.690	55.560	0.780	0.000000	56.16	51.69	0.00	14
TGT	2011-11-11	1.218010	8.210130e+4	55.560	51.690	55.560	47.800	51.690	55.240	51.690	55.560	1.360	0.000000	56.17	51.69	0.00	15
TGT	2011-11-10	1.210530	8.260820e+4	55.560	51.690	55.560	47.800	51.690	55.560	51.690	55.560	0.730	0.000000	56.17	51.69	0.00	16
TGT	2011-11-09	1.235820	8.091760e+4	55.560	52.170	55.560	47.800	52.170	55.560	52.170	55.560	1.520	0.000000	56.18	52.17	0.00	17
TGT	2011-11-08	1.220870	8.190890e+4	55.560	52.170	55.560	47.800	52.170	55.560	52.170	55.560	0.810	0.000000	56.17	52.17	0.00	18
TGT	2011-11-07	1.242490	8.048340e+4	55.560	52.170	55.560	47.800	52.170	55.560	52.170	55.560	0.800	0.000000	56.18	52.17	0.00	19
TGT	2011-11-04	1.265780	7.900250e+4	55.560	51.560	55.560	47.800	52.240	55.560	51.560	55.560	0.930	0.000000	56.19	51.56	0.00	20
TGT	2011-11-03	1.283450	7.791470e+4	55.560	51.560	55.560	47.800	52.610	55.560	51.560	55.560	1.800	0.000000	56.20	51.56	0.00	21
