#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
TIH	2011-12-02	0.474578	2.107130e+5	20.480	19.280	20.480	15.800	19.280	20.450	19.280	20.480	0.170	0.000000	20.72	19.28	0.00	1
TIH	2011-12-01	0.490609	2.038280e+5	20.480	19.280	20.480	15.800	19.280	20.450	19.280	20.480	0.340	0.000000	20.73	19.28	0.00	2
TIH	2011-11-30	0.498536	2.005870e+5	20.480	19.280	20.480	15.800	19.280	20.130	19.280	20.480	0.390	0.000000	20.73	19.28	0.00	3
TIH	2011-11-29	0.504248	1.983150e+5	20.480	19.280	20.480	15.800	19.280	20.480	19.280	20.480	0.410	0.000000	20.73	19.28	0.00	4
TIH	2011-11-28	0.509208	1.963830e+5	20.480	18.700	20.480	15.800	19.280	20.480	18.700	20.480	0.790	0.000000	20.73	18.70	0.00	5
TIH	2011-11-25	0.494430	2.022530e+5	20.480	18.700	20.480	15.800	19.280	20.480	18.700	20.480	0.150	0.000000	20.73	18.70	0.00	6
TIH	2011-11-24	0.512558	1.951000e+5	20.480	18.700	20.480	15.800	19.530	20.480	18.700	20.480	0.630	0.000000	20.74	18.70	0.00	7
TIH	2011-11-23	0.506377	1.974810e+5	20.480	18.700	20.480	15.800	19.660	20.480	18.700	20.480	0.370	0.000000	20.73	18.70	0.00	8
TIH	2011-11-22	0.513554	1.947210e+5	20.480	18.700	20.480	15.800	19.660	20.480	18.700	20.480	0.180	0.000000	20.74	18.70	0.00	9
TIH	2011-11-21	0.531110	1.882850e+5	20.480	18.700	20.480	15.800	19.660	20.480	18.700	20.480	0.250	0.000000	20.75	18.70	0.00	10
TIH	2011-11-18	0.545905	1.831820e+5	20.480	18.700	20.480	15.800	19.660	20.480	18.700	20.480	0.370	0.000000	20.75	18.70	0.00	11
TIH	2011-11-17	0.555163	1.801270e+5	20.480	18.410	20.480	15.800	19.660	20.480	18.410	20.480	0.480	0.000000	20.76	18.41	0.00	12
TIH	2011-11-16	0.559119	1.788530e+5	20.480	18.410	20.480	15.800	19.660	20.480	18.410	20.480	0.480	0.000000	20.76	18.41	0.00	13
TIH	2011-11-15	0.563283	1.775310e+5	20.390	18.410	20.390	15.800	19.380	20.390	18.410	20.390	0.290	0.000000	20.67	18.41	0.00	14
TIH	2011-11-14	0.577667	1.731100e+5	20.330	17.880	20.330	15.800	18.700	20.330	17.880	20.330	0.310	0.000000	20.62	17.88	0.00	15
TIH	2011-11-11	0.591754	1.689890e+5	20.330	17.880	20.330	15.800	18.700	20.330	17.880	20.330	0.420	0.000000	20.63	17.88	0.00	16
TIH	2011-11-10	0.600794	1.664460e+5	20.250	17.880	20.250	15.800	18.700	20.250	17.880	20.250	0.830	0.000000	20.55	17.88	0.00	17
TIH	2011-11-09	0.588731	1.698570e+5	20.250	17.880	20.250	15.800	18.700	20.250	17.880	20.250	0.760	0.000000	20.54	17.88	0.00	18
TIH	2011-11-08	0.579717	1.724980e+5	20.250	17.880	20.250	15.800	18.700	20.250	17.880	20.250	0.250	0.000000	20.54	17.88	0.00	19
TIH	2011-11-07	0.597070	1.674850e+5	20.250	17.400	20.250	15.800	18.700	20.250	17.400	20.250	0.550	0.000000	20.55	17.40	0.00	20
TIH	2011-11-04	0.599547	1.667920e+5	20.000	17.400	20.000	15.800	18.700	20.000	17.400	20.000	0.520	0.000000	20.30	17.40	0.00	21
TIH	2011-11-03	0.603734	1.656360e+5	19.730	16.810	19.730	15.800	18.410	19.730	16.810	19.730	0.570	0.000000	20.03	16.81	0.00	22
TIH	2011-11-02	0.605510	1.651500e+5	19.450	16.280	19.450	15.800	18.410	19.450	16.280	19.450	0.620	0.000000	19.75	16.28	0.00	23
TIH	2011-11-01	0.604747	1.653580e+5	19.450	15.800	19.450	15.800	18.410	19.450	15.800	19.450	1.070	0.000000	19.75	15.80	0.00	24
TIH	2011-10-31	0.580260	1.723370e+5	19.450	15.800	19.450	15.800	17.880	19.450	15.800	19.450	0.890	0.000000	19.74	15.80	0.00	25
TIH	2011-10-28	0.563958	1.773180e+5	19.450	15.800	19.450	15.800	17.880	19.450	15.800	19.450	0.530	0.000000	19.73	15.80	0.00	26
TIH	2011-10-27	0.565745	1.767580e+5	19.450	15.800	19.450	15.800	17.880	19.450	15.800	19.450	0.510	0.000000	19.73	15.80	0.00	27
TIH	2011-10-26	0.568679	1.758460e+5	19.210	15.800	19.210	15.800	17.880	19.210	15.800	19.210	0.660	0.000000	19.49	15.80	0.00	28
TIH	2011-10-25	0.563873	1.773450e+5	19.210	15.800	19.210	15.800	17.880	19.210	15.800	19.210	0.400	0.000000	19.49	15.80	0.00	29
TIH	2011-10-24	0.572498	1.746730e+5	18.930	15.800	18.930	15.800	17.400	18.930	15.800	18.930	0.490	0.000000	19.22	15.80	0.00	30
TIH	2011-10-21	0.576840	1.733580e+5	18.690	15.800	18.690	15.800	17.400	18.690	15.800	18.690	0.640	0.000000	18.98	15.80	0.00	31
TIH	2011-10-20	0.573515	1.743630e+5	18.690	15.800	18.690	15.800	16.810	18.690	15.800	18.690	0.570	0.000000	18.98	15.80	0.00	32
TIH	2011-10-19	0.573700	1.743070e+5	18.690	15.800	18.690	15.800	16.280	18.690	15.800	18.690	0.400	0.000000	18.98	15.80	0.00	33
TIH	2011-10-18	0.582842	1.715730e+5	18.070	15.800	18.310	15.800	15.800	18.070	15.800	18.070	1.200	0.000000	18.36	15.80	0.00	34
TIH	2011-10-17	0.550361	1.816990e+5	18.070	15.800	18.440	15.800	15.800	18.070	15.800	18.070	0.340	0.000000	18.35	15.80	0.00	35
TIH	2011-10-14	0.561432	1.781160e+5	18.070	15.800	18.640	15.800	15.800	18.070	15.800	18.070	0.200	0.000000	18.35	15.80	0.00	36
