#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
TJX	2011-12-02	1.392630	7.180640e+4	62.560	58.750	62.560	54.000	58.750	62.560	58.750	62.560	0.910	0.000000	63.26	58.75	0.00	1
TJX	2011-12-01	1.418040	7.052010e+4	61.700	58.750	61.700	53.500	58.750	61.700	58.750	61.700	1.660	0.000000	62.41	58.75	0.00	2
TJX	2011-11-30	1.405300	7.115910e+4	61.340	58.750	61.340	52.670	58.750	60.870	58.750	61.340	1.400	0.000000	62.04	58.75	0.00	3
TJX	2011-11-29	1.405580	7.114500e+4	61.340	58.750	61.340	52.490	58.750	60.870	58.750	61.340	0.840	0.000000	62.04	58.75	0.00	4
TJX	2011-11-28	1.435350	6.966960e+4	61.340	58.750	61.340	51.790	58.750	61.340	58.750	61.340	1.500	0.000000	62.06	58.75	0.00	5
TJX	2011-11-25	1.431940	6.983510e+4	61.340	58.800	61.340	51.790	58.800	61.340	58.800	61.340	1.070	0.000000	62.06	58.80	0.00	6
TJX	2011-11-23	1.450990	6.891830e+4	61.340	58.540	61.340	51.790	58.850	61.340	58.540	61.340	0.710	0.000000	62.07	58.54	0.00	7
TJX	2011-11-22	1.489990	6.711440e+4	61.340	58.540	61.340	51.790	58.850	61.340	58.540	61.340	1.200	0.000000	62.09	58.54	0.00	8
TJX	2011-11-21	1.505260	6.643390e+4	61.340	58.540	61.340	51.790	58.850	61.340	58.540	61.340	1.450	0.000000	62.09	58.54	0.00	9
TJX	2011-11-18	1.508170	6.630570e+4	61.340	58.540	61.340	51.790	58.850	61.340	58.540	61.340	0.840	0.000000	62.09	58.54	0.00	10
TJX	2011-11-17	1.543330	6.479490e+4	61.340	58.540	61.340	51.790	58.850	61.340	58.540	61.340	1.650	0.000000	62.11	58.54	0.00	11
TJX	2011-11-16	1.537720	6.503150e+4	61.340	57.820	61.340	51.790	58.850	61.340	57.820	61.340	1.210	0.000000	62.11	57.82	0.00	12
TJX	2011-11-15	1.554970	6.431010e+4	61.340	57.490	61.340	51.790	58.850	61.340	57.490	61.340	1.960	0.000000	62.12	57.49	0.00	13
TJX	2011-11-14	1.533650	6.520400e+4	61.340	57.150	61.340	51.790	58.850	61.340	57.150	61.340	1.250	0.000000	62.11	57.15	0.00	14
TJX	2011-11-11	1.548580	6.457540e+4	61.100	57.150	61.100	51.790	58.850	61.100	57.150	61.100	1.510	0.000000	61.87	57.15	0.00	15
TJX	2011-11-10	1.550610	6.449090e+4	61.100	57.150	61.100	51.790	58.850	61.100	57.150	61.100	1.280	0.000000	61.88	57.15	0.00	16
TJX	2011-11-09	1.564850	6.390390e+4	61.100	57.150	61.100	51.790	58.540	61.100	57.150	61.100	2.260	0.000000	61.88	57.15	0.00	17
TJX	2011-11-08	1.528260	6.543380e+4	61.100	57.150	61.100	51.790	58.540	61.100	57.150	61.100	1.390	0.000000	61.86	57.15	0.00	18
TJX	2011-11-07	1.535540	6.512370e+4	61.100	57.150	61.100	51.790	58.540	61.100	57.150	61.100	1.310	0.000000	61.87	57.15	0.00	19
TJX	2011-11-04	1.547410	6.462410e+4	61.100	55.700	61.100	51.790	58.540	61.100	55.700	61.100	0.910	0.000000	61.87	55.70	0.00	20
TJX	2011-11-03	1.580960	6.325280e+4	60.810	55.600	60.810	51.790	58.540	60.810	55.600	60.810	1.320	0.000000	61.60	55.60	0.00	21
TJX	2011-11-02	1.594690	6.270800e+4	60.810	55.600	60.810	51.790	57.820	60.810	55.600	60.810	0.940	0.000000	61.61	55.60	0.00	22
TJX	2011-11-01	1.629150	6.138170e+4	60.810	55.450	60.810	51.790	57.490	60.810	55.450	60.810	2.900	0.000000	61.62	55.45	0.00	23
TJX	2011-10-31	1.562260	6.400970e+4	60.810	54.000	60.810	51.790	57.150	60.810	54.000	60.810	1.610	0.000000	61.59	54.00	0.00	24
TJX	2011-10-28	1.559750	6.411280e+4	60.810	54.000	60.810	51.790	57.150	60.810	54.000	60.810	1.400	0.000000	61.59	54.00	0.00	25
TJX	2011-10-27	1.568160	6.376900e+4	59.950	54.000	59.950	50.710	57.150	59.950	54.000	59.950	2.740	0.000000	60.73	54.00	0.00	26
TJX	2011-10-26	1.506480	6.637980e+4	59.950	54.000	59.950	50.710	57.150	59.950	54.000	59.950	1.710	0.000000	60.70	54.00	0.00	27
TJX	2011-10-25	1.495770	6.685510e+4	59.950	54.000	59.950	50.710	57.150	59.950	54.000	59.950	0.960	0.000000	60.70	54.00	0.00	28
TJX	2011-10-24	1.523970	6.561810e+4	59.840	54.000	59.840	50.710	57.150	59.840	54.000	59.840	0.580	0.000000	60.60	54.00	0.00	29
TJX	2011-10-21	1.573650	6.354640e+4	58.580	54.000	58.580	50.710	55.700	58.580	54.000	58.580	1.290	0.000000	59.37	54.00	0.00	30
TJX	2011-10-20	1.588580	6.294920e+4	58.070	54.000	58.240	50.710	55.600	58.070	54.000	58.070	1.010	0.000000	58.86	54.00	0.00	31
TJX	2011-10-19	1.619030	6.176520e+4	58.070	54.000	58.240	50.710	55.600	58.070	54.000	58.070	1.010	0.000000	58.88	54.00	0.00	32
TJX	2011-10-18	1.651090	6.056610e+4	58.240	54.000	58.240	50.710	55.450	58.070	54.000	58.240	1.610	0.000000	59.07	54.00	0.00	33
TJX	2011-10-17	1.653250	6.048690e+4	58.240	54.000	58.240	50.710	54.000	58.070	54.000	58.240	1.120	0.000000	59.07	54.00	0.00	34
TJX	2011-10-14	1.681320	5.947720e+4	58.240	54.000	58.240	50.710	54.000	58.070	54.000	58.240	0.840	0.000000	59.08	54.00	0.00	35
TJX	2011-10-13	1.725600	5.795100e+4	58.240	54.000	58.240	50.710	54.000	58.070	54.000	58.240	1.200	0.000000	59.10	54.00	0.00	36
TJX	2011-10-12	1.753260	5.703660e+4	58.240	53.500	58.240	50.710	54.000	58.070	53.500	58.240	1.110	0.000000	59.12	53.50	0.00	37
TJX	2011-10-11	1.787120	5.595610e+4	58.240	52.670	58.240	50.710	54.000	57.800	52.670	58.240	1.160	0.000000	59.13	52.67	0.00	38
TJX	2011-10-10	1.820120	5.494140e+4	58.240	52.490	58.240	50.710	54.000	57.880	52.490	58.240	2.120	0.000000	59.15	52.49	0.00	39
TJX	2011-10-07	1.804340	5.542200e+4	58.240	51.790	58.240	50.710	54.000	57.880	51.790	58.240	1.450	0.000000	59.14	51.79	0.00	40
TJX	2011-10-06	1.822990	5.485500e+4	58.240	51.790	58.240	50.710	54.000	57.880	51.790	58.240	2.610	0.000000	59.15	51.79	0.00	41
TJX	2011-10-05	1.781570	5.613040e+4	58.240	51.790	58.240	50.710	54.000	57.880	51.790	58.240	1.240	0.000000	59.13	51.79	0.00	42
TJX	2011-10-04	1.810070	5.524650e+4	58.240	51.790	58.240	50.710	54.000	58.240	51.790	58.240	2.610	0.000000	59.15	51.79	0.00	43
TJX	2011-10-03	1.767970	5.656210e+4	58.240	51.790	58.240	50.710	55.470	58.240	51.790	58.240	1.920	0.000000	59.12	51.79	0.00	44
TJX	2011-09-30	1.759970	5.681930e+4	58.240	51.790	58.240	50.710	55.550	58.240	51.790	58.240	2.540	0.000000	59.12	51.79	0.00	45
TJX	2011-09-29	1.718910	5.817630e+4	58.240	51.790	58.240	50.710	55.550	58.240	51.790	58.240	3.760	0.000000	59.10	51.79	0.00	46
TJX	2011-09-28	1.611490	6.205450e+4	58.240	51.790	58.240	50.710	53.500	58.240	51.790	58.240	1.060	0.000000	59.05	51.79	0.00	47
TJX	2011-09-27	1.640510	6.095660e+4	58.240	51.790	58.240	50.710	52.670	58.240	51.790	58.240	1.320	0.000000	59.06	51.79	0.00	48
TJX	2011-09-26	1.657380	6.033620e+4	58.240	51.790	58.240	50.710	52.490	58.240	51.790	58.240	1.380	0.000000	59.07	51.79	0.00	49
TJX	2011-09-23	1.671980	5.980930e+4	58.240	51.790	58.240	50.710	51.790	58.240	51.790	58.240	1.770	0.000000	59.08	51.79	0.00	50
TJX	2011-09-22	1.666820	5.999440e+4	58.240	51.790	58.240	50.710	51.790	58.240	51.790	58.240	2.160	0.000000	59.07	51.79	0.00	51
TJX	2011-09-21	1.640860	6.094350e+4	58.240	51.790	58.240	50.710	51.790	58.240	51.790	58.240	1.780	0.000000	59.06	51.79	0.00	52
TJX	2011-09-20	1.633540	6.121670e+4	57.370	51.790	57.370	50.710	51.790	57.370	51.790	57.370	2.810	0.000000	58.19	51.79	0.00	53
TJX	2011-09-19	1.571620	6.362850e+4	57.250	51.790	57.250	50.710	51.790	57.250	51.790	57.250	2.490	0.000000	58.04	51.79	0.00	54
