#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
TLM	2011-12-02	0.528381	1.892570e+5	14.650	12.510	15.050	11.750	12.510	13.960	12.510	14.650	0.440	0.000000	14.91	12.51	0.00	1
TLM	2011-12-01	0.533032	1.876060e+5	14.650	12.510	15.050	11.750	12.510	13.960	12.510	14.650	0.360	0.000000	14.92	12.51	0.00	2
TLM	2011-11-30	0.542139	1.844540e+5	14.650	12.510	15.050	11.750	12.510	14.110	12.510	14.650	0.900	0.000000	14.92	12.51	0.00	3
TLM	2011-11-29	0.523305	1.910930e+5	14.650	12.510	15.050	11.750	12.510	14.330	12.510	14.650	0.310	0.000000	14.91	12.51	0.00	4
TLM	2011-11-28	0.534531	1.870800e+5	14.650	12.510	15.050	11.750	12.510	14.330	12.510	14.650	0.500	0.000000	14.92	12.51	0.00	5
TLM	2011-11-25	0.536349	1.864460e+5	14.880	12.510	15.610	11.750	12.510	14.330	12.510	14.880	0.310	0.000000	15.15	12.51	0.00	6
TLM	2011-11-24	0.548262	1.823950e+5	14.880	12.800	15.930	11.750	12.800	14.330	12.800	14.880	0.420	0.000000	15.15	12.80	0.00	7
TLM	2011-11-23	0.555012	1.801760e+5	14.880	13.290	15.930	11.750	13.290	14.330	13.290	14.880	0.700	0.000000	15.16	13.29	0.00	8
TLM	2011-11-22	0.547381	1.826880e+5	14.880	13.290	15.930	11.750	13.290	14.650	13.290	14.880	0.350	0.000000	15.15	13.29	0.00	9
TLM	2011-11-21	0.557770	1.792850e+5	14.880	13.290	16.250	11.750	13.290	14.650	13.290	14.880	0.720	0.000000	15.16	13.29	0.00	10
TLM	2011-11-18	0.549231	1.820730e+5	14.880	13.290	16.370	11.750	13.290	14.650	13.290	14.880	0.400	0.000000	15.15	13.29	0.00	11
TLM	2011-11-17	0.557086	1.795060e+5	14.880	13.760	16.370	11.750	13.760	14.650	13.760	14.880	0.910	0.000000	15.16	13.76	0.00	12
TLM	2011-11-16	0.538511	1.856970e+5	14.880	13.720	16.370	11.750	13.760	14.650	13.720	14.880	0.520	0.000000	15.15	13.72	0.00	13
TLM	2011-11-15	0.539486	1.853620e+5	14.880	13.720	16.370	11.750	13.760	14.650	13.720	14.880	0.210	0.000000	15.15	13.72	0.00	14
TLM	2011-11-14	0.556827	1.795890e+5	14.880	13.290	16.370	11.750	13.760	14.650	13.290	14.880	0.220	0.000000	15.16	13.29	0.00	15
TLM	2011-11-11	0.574555	1.740480e+5	14.880	13.290	16.370	11.750	13.760	14.880	13.290	14.880	0.320	0.000000	15.17	13.29	0.00	16
TLM	2011-11-10	0.587952	1.700820e+5	14.880	13.020	16.370	11.750	13.760	14.880	13.020	14.880	0.530	0.000000	15.17	13.02	0.00	17
TLM	2011-11-09	0.591002	1.692040e+5	14.880	12.790	16.370	11.750	13.770	14.880	12.790	14.880	1.040	0.000000	15.18	12.79	0.00	18
TLM	2011-11-08	0.567371	1.762520e+5	14.880	12.730	16.370	11.750	13.770	14.880	12.730	14.880	0.450	0.000000	15.16	12.73	0.00	19
TLM	2011-11-07	0.573548	1.743530e+5	14.880	12.210	16.370	11.750	13.770	14.880	12.210	14.880	0.340	0.000000	15.17	12.21	0.00	20
TLM	2011-11-04	0.585840	1.706950e+5	14.880	12.210	16.850	11.750	13.770	14.880	12.210	14.880	0.290	0.000000	15.17	12.21	0.00	21
TLM	2011-11-03	0.601411	1.662760e+5	14.880	11.750	16.850	11.750	13.760	14.880	11.750	14.880	0.520	0.000000	15.18	11.75	0.00	22
TLM	2011-11-02	0.605696	1.650990e+5	14.880	11.750	17.230	11.750	13.720	14.880	11.750	14.880	0.650	0.000000	15.18	11.75	0.00	23
TLM	2011-11-01	0.603364	1.657370e+5	14.880	11.750	17.230	11.750	13.720	14.880	11.750	14.880	0.830	0.000000	15.18	11.75	0.00	24
TLM	2011-10-31	0.591436	1.690800e+5	14.880	11.750	17.230	11.750	13.290	14.880	11.750	14.880	0.760	0.000000	15.18	11.75	0.00	25
TLM	2011-10-28	0.582564	1.716550e+5	14.510	11.750	17.230	11.750	13.290	14.510	11.750	14.510	0.540	0.000000	14.80	11.75	0.00	26
TLM	2011-10-27	0.584804	1.709970e+5	14.140	11.750	17.230	11.750	13.020	14.140	11.750	14.140	0.710	0.000000	14.43	11.75	0.00	27
TLM	2011-10-26	0.578215	1.729460e+5	14.140	11.750	17.230	11.750	12.790	14.140	11.750	14.140	0.300	0.000000	14.43	11.75	0.00	28
TLM	2011-10-25	0.592858	1.686750e+5	14.140	11.750	17.230	11.750	12.730	14.140	11.750	14.140	0.510	0.000000	14.44	11.75	0.00	29
TLM	2011-10-24	0.597219	1.674430e+5	13.970	11.750	17.230	11.750	12.210	13.970	11.750	13.970	0.280	0.000000	14.27	11.75	0.00	30
TLM	2011-10-21	0.613914	1.628890e+5	13.850	11.750	17.230	11.750	12.210	13.850	11.750	13.850	0.370	0.000000	14.16	11.75	0.00	31
TLM	2011-10-20	0.626752	1.595530e+5	13.850	11.750	17.240	11.750	11.750	13.850	11.750	13.850	0.410	0.000000	14.16	11.75	0.00	32
TLM	2011-10-19	0.638160	1.567010e+5	14.030	11.750	17.400	11.750	11.750	13.850	11.750	14.030	0.430	0.000000	14.35	11.75	0.00	33
TLM	2011-10-18	0.649116	1.540560e+5	14.030	11.750	17.990	11.750	11.750	13.510	11.750	14.030	0.750	0.000000	14.35	11.75	0.00	34
TLM	2011-10-17	0.643806	1.553260e+5	14.300	11.750	18.750	11.750	11.750	13.510	11.750	14.300	0.320	0.000000	14.62	11.75	0.00	35
TLM	2011-10-14	0.660848	1.513210e+5	15.050	11.750	19.190	11.750	11.750	13.020	11.750	15.050	0.580	0.000000	15.38	11.75	0.00	36
TLM	2011-10-13	0.665104	1.503530e+5	15.050	11.750	19.470	11.750	11.750	12.970	11.750	15.050	0.520	0.000000	15.38	11.75	0.00	37
TLM	2011-10-12	0.672741	1.486460e+5	15.050	11.750	19.580	11.750	11.750	13.500	11.750	15.050	0.290	0.000000	15.39	11.75	0.00	38
TLM	2011-10-11	0.692885	1.443240e+5	15.050	11.750	19.580	11.750	11.750	13.690	11.750	15.050	0.590	0.000000	15.40	11.75	0.00	39
TLM	2011-10-07	0.698300	1.432050e+5	15.050	11.750	19.580	11.750	11.750	13.690	11.750	15.050	0.520	0.000000	15.40	11.75	0.00	40
TLM	2011-10-06	0.707684	1.413060e+5	15.610	11.750	19.580	11.750	11.750	13.690	11.750	15.610	1.100	0.000000	15.96	11.75	0.00	41
TLM	2011-10-05	0.687036	1.455530e+5	15.930	12.040	19.580	12.040	12.040	13.780	12.040	15.930	0.940	0.000000	16.27	12.04	0.00	42
TLM	2011-10-04	0.673722	1.484290e+5	15.930	12.040	19.580	12.040	12.040	14.030	12.040	15.930	0.780	0.000000	16.27	12.04	0.00	43
TLM	2011-10-03	0.668128	1.496720e+5	15.930	12.880	19.580	12.880	12.880	14.030	12.880	15.930	1.000	0.000000	16.26	12.88	0.00	44
TLM	2011-09-30	0.650661	1.536900e+5	16.250	12.880	19.580	12.880	12.880	14.300	12.880	16.250	0.410	0.000000	16.58	12.88	0.00	45
TLM	2011-09-29	0.663328	1.507550e+5	16.370	12.930	19.580	12.930	12.930	15.050	12.930	16.370	0.880	0.000000	16.70	12.93	0.00	46
TLM	2011-09-28	0.651924	1.533920e+5	16.370	12.930	19.580	12.930	12.930	15.050	12.930	16.370	0.710	0.000000	16.70	12.93	0.00	47
TLM	2011-09-27	0.648867	1.541150e+5	16.370	12.930	19.580	12.930	12.930	15.050	12.930	16.370	1.250	0.000000	16.69	12.93	0.00	48
TLM	2011-09-26	0.617229	1.620140e+5	16.370	12.930	19.580	12.930	12.930	15.050	12.930	16.370	0.910	0.000000	16.68	12.93	0.00	49
TLM	2011-09-23	0.601820	1.661630e+5	16.370	13.090	19.910	13.090	13.090	15.050	13.090	16.370	0.400	0.000000	16.67	13.09	0.00	50
TLM	2011-09-22	0.612442	1.632810e+5	16.370	13.780	20.200	13.780	13.780	15.610	13.780	16.370	1.000	0.000000	16.68	13.78	0.00	51
TLM	2011-09-21	0.592044	1.689060e+5	16.370	13.900	20.200	13.900	13.900	15.930	13.900	16.370	0.530	0.000000	16.67	13.90	0.00	52
TLM	2011-09-20	0.595310	1.679800e+5	16.370	13.900	20.200	13.900	13.900	15.930	13.900	16.370	0.650	0.000000	16.67	13.90	0.00	53
TLM	2011-09-19	0.592431	1.687960e+5	16.370	14.300	20.200	14.300	14.300	15.930	14.300	16.370	0.690	0.000000	16.67	14.30	0.00	54
