#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
UGI	2011-12-02	0.755684	1.323300e+5	29.960	28.150	29.960	24.890	28.150	29.960	28.150	29.960	1.760	0.000000	30.34	28.15	0.00	1
UGI	2011-12-01	0.702825	1.422830e+5	29.960	28.150	29.960	24.890	28.150	29.960	28.150	29.960	0.460	0.000000	30.31	28.15	0.00	2
UGI	2011-11-30	0.715606	1.397420e+5	29.700	28.110	29.700	24.890	28.150	29.560	28.110	29.700	0.860	0.000000	30.06	28.11	0.00	3
UGI	2011-11-29	0.708006	1.412420e+5	29.700	28.110	29.700	24.890	28.150	29.560	28.110	29.700	0.880	0.000000	30.05	28.11	0.00	4
UGI	2011-11-28	0.698954	1.430710e+5	29.700	28.110	29.700	24.890	28.150	29.560	28.110	29.700	0.800	0.000000	30.05	28.11	0.00	5
UGI	2011-11-25	0.693635	1.441680e+5	29.700	28.110	29.700	24.890	28.150	29.560	28.110	29.700	0.410	0.000000	30.05	28.11	0.00	6
UGI	2011-11-23	0.708563	1.411310e+5	29.700	28.110	29.700	24.890	28.290	29.560	28.110	29.700	0.510	0.000000	30.05	28.11	0.00	7
UGI	2011-11-22	0.719014	1.390790e+5	29.700	27.890	29.700	24.890	28.290	29.560	27.890	29.700	0.510	0.000000	30.06	27.89	0.00	8
UGI	2011-11-21	0.730015	1.369840e+5	29.700	27.890	29.700	24.890	28.290	29.560	27.890	29.700	0.710	0.000000	30.07	27.89	0.00	9
UGI	2011-11-18	0.731068	1.367860e+5	29.700	27.890	29.880	24.890	28.290	29.560	27.890	29.700	0.430	0.000000	30.07	27.89	0.00	10
UGI	2011-11-17	0.746914	1.338840e+5	29.700	27.310	29.880	24.890	28.290	29.700	27.310	29.700	0.540	0.000000	30.07	27.31	0.00	11
UGI	2011-11-16	0.757804	1.319600e+5	29.700	27.130	29.880	24.890	28.290	29.700	27.130	29.700	0.730	0.000000	30.08	27.13	0.00	12
UGI	2011-11-15	0.759268	1.317060e+5	29.700	27.130	29.880	24.890	28.110	29.700	27.130	29.700	0.590	0.000000	30.08	27.13	0.00	13
UGI	2011-11-14	0.768176	1.301780e+5	29.700	27.130	29.880	24.890	28.110	29.700	27.130	29.700	0.430	0.000000	30.08	27.13	0.00	14
UGI	2011-11-11	0.785975	1.272300e+5	29.700	27.130	29.880	24.890	28.110	29.700	27.130	29.700	0.940	0.000000	30.09	27.13	0.00	15
UGI	2011-11-10	0.777869	1.285560e+5	29.700	26.830	29.880	24.890	28.110	29.700	26.830	29.700	0.400	0.000000	30.09	26.83	0.00	16
UGI	2011-11-09	0.797756	1.253520e+5	29.700	26.830	29.880	24.890	28.110	29.700	26.830	29.700	0.770	0.000000	30.10	26.83	0.00	17
UGI	2011-11-08	0.799217	1.251220e+5	29.700	26.830	29.880	24.890	27.890	29.700	26.830	29.700	1.200	0.000000	30.10	26.83	0.00	18
UGI	2011-11-07	0.778123	1.285140e+5	29.700	26.830	29.880	24.890	27.890	29.700	26.830	29.700	0.710	0.000000	30.09	26.83	0.00	19
UGI	2011-11-04	0.781709	1.279250e+5	29.700	26.270	29.880	24.890	27.890	29.700	26.270	29.700	0.520	0.000000	30.09	26.27	0.00	20
UGI	2011-11-03	0.795483	1.257100e+5	29.190	26.270	29.880	24.890	27.310	29.190	26.270	29.190	0.700	0.000000	29.59	26.27	0.00	21
UGI	2011-11-02	0.800508	1.249210e+5	29.030	25.820	29.880	24.890	27.130	29.030	25.820	29.030	1.310	0.000000	29.43	25.82	0.00	22
UGI	2011-11-01	0.773693	1.292500e+5	29.030	25.170	29.880	24.890	27.130	29.030	25.170	29.030	0.990	0.000000	29.42	25.17	0.00	23
UGI	2011-10-31	0.762309	1.311800e+5	29.030	24.890	29.880	24.890	27.130	29.030	24.890	29.030	0.760	0.000000	29.41	24.89	0.00	24
UGI	2011-10-28	0.762430	1.311600e+5	29.030	24.890	29.880	24.890	27.130	29.030	24.890	29.030	0.460	0.000000	29.41	24.89	0.00	25
UGI	2011-10-27	0.778347	1.284770e+5	28.400	24.890	29.880	24.890	26.830	28.400	24.890	28.400	1.090	0.000000	28.79	24.89	0.00	26
UGI	2011-10-26	0.761945	1.312430e+5	28.400	24.890	29.880	24.890	26.830	28.400	24.890	28.400	0.420	0.000000	28.78	24.89	0.00	27
UGI	2011-10-25	0.779942	1.282150e+5	28.400	24.890	29.880	24.890	26.830	28.400	24.890	28.400	0.550	0.000000	28.79	24.89	0.00	28
UGI	2011-10-24	0.792044	1.262560e+5	28.030	24.890	29.880	24.890	26.830	28.030	24.890	28.030	0.550	0.000000	28.43	24.89	0.00	29
UGI	2011-10-21	0.804783	1.242570e+5	28.030	24.890	29.880	24.890	26.270	28.030	24.890	28.030	0.760	0.000000	28.43	24.89	0.00	30
UGI	2011-10-20	0.807140	1.238940e+5	28.030	24.890	29.880	24.890	26.270	28.030	24.890	28.030	0.560	0.000000	28.43	24.89	0.00	31
UGI	2011-10-19	0.820148	1.219290e+5	28.030	24.890	29.880	24.890	25.820	28.030	24.890	28.030	0.960	0.000000	28.44	24.89	0.00	32
UGI	2011-10-18	0.812787	1.230330e+5	28.740	24.890	30.260	24.890	25.170	28.030	24.890	28.740	0.490	0.000000	29.15	24.89	0.00	33
UGI	2011-10-17	0.829776	1.205140e+5	28.740	24.890	30.300	24.890	24.890	27.640	24.890	28.740	0.900	0.000000	29.15	24.89	0.00	34
UGI	2011-10-14	0.826080	1.210540e+5	28.900	24.890	30.300	24.890	24.890	26.980	24.890	28.900	0.910	0.000000	29.31	24.89	0.00	35
UGI	2011-10-13	0.821663	1.217040e+5	28.900	24.890	30.620	24.890	24.890	26.980	24.890	28.900	0.660	0.000000	29.31	24.89	0.00	36
UGI	2011-10-12	0.830171	1.204570e+5	28.900	24.890	31.250	24.890	24.890	26.870	24.890	28.900	0.610	0.000000	29.32	24.89	0.00	37
UGI	2011-10-11	0.841759	1.187990e+5	28.900	24.890	31.790	24.890	24.890	27.360	24.890	28.900	0.310	0.000000	29.32	24.89	0.00	38
UGI	2011-10-10	0.869747	1.149760e+5	28.900	24.890	31.960	24.890	24.890	27.360	24.890	28.900	0.600	0.000000	29.33	24.89	0.00	39
UGI	2011-10-07	0.883944	1.131290e+5	28.900	24.890	32.290	24.890	24.890	27.360	24.890	28.900	1.360	0.000000	29.34	24.89	0.00	40
UGI	2011-10-06	0.858888	1.164300e+5	29.480	24.890	32.290	24.890	24.890	27.360	24.890	29.480	0.900	0.000000	29.91	24.89	0.00	41
UGI	2011-10-05	0.856725	1.167240e+5	29.590	24.890	32.290	24.890	24.890	27.710	24.890	29.590	0.900	0.000000	30.02	24.89	0.00	42
UGI	2011-10-04	0.854447	1.170350e+5	29.590	24.890	32.290	24.890	24.890	28.740	24.890	29.590	1.130	0.000000	30.02	24.89	0.00	43
UGI	2011-10-03	0.839944	1.190560e+5	29.590	26.180	32.290	25.930	26.180	28.740	26.180	29.590	1.630	0.000000	30.01	26.18	0.00	44
UGI	2011-09-30	0.798362	1.252560e+5	29.880	26.180	32.290	25.930	26.180	28.900	26.180	29.880	0.660	0.000000	30.28	26.18	0.00	45
UGI	2011-09-29	0.805644	1.241240e+5	29.880	26.180	32.290	25.930	26.180	28.900	26.180	29.880	0.690	0.000000	30.28	26.18	0.00	46
UGI	2011-09-28	0.811731	1.231940e+5	29.880	26.180	32.290	25.930	26.180	28.900	26.180	29.880	1.160	0.000000	30.29	26.18	0.00	47
UGI	2011-09-27	0.793401	1.260400e+5	29.880	26.180	32.290	25.930	26.180	28.900	26.180	29.880	1.490	0.000000	30.28	26.18	0.00	48
UGI	2011-09-26	0.756738	1.321460e+5	29.880	26.510	32.360	25.930	26.510	28.900	26.510	29.880	0.970	0.000000	30.26	26.51	0.00	49
UGI	2011-09-23	0.745513	1.341360e+5	29.880	26.510	32.500	25.930	26.510	28.900	26.510	29.880	0.380	0.000000	30.25	26.51	0.00	50
UGI	2011-09-22	0.764751	1.307620e+5	29.880	27.710	32.500	25.930	27.710	29.480	27.710	29.880	1.410	0.000000	30.26	27.71	0.00	51
UGI	2011-09-21	0.730791	1.368380e+5	29.880	27.630	32.500	25.930	28.470	29.590	27.630	29.880	1.040	0.000000	30.25	27.63	0.00	52
UGI	2011-09-20	0.714516	1.399550e+5	29.880	26.960	32.500	25.930	28.470	29.590	26.960	29.880	0.770	0.000000	30.24	26.96	0.00	53
UGI	2011-09-19	0.711596	1.405290e+5	29.880	26.960	32.500	25.930	28.470	29.590	26.960	29.880	0.540	0.000000	30.24	26.96	0.00	54
