#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
UNG	2011-12-01	0.235165	4.252340e+5	8.710	7.670	10.160	7.670	7.670	8.020	7.670	8.710	0.310	0.000000	8.83	7.67	0.00	1
UNG	2011-11-30	0.231226	4.324770e+5	8.710	7.670	10.160	7.670	7.670	8.020	7.670	8.710	0.210	0.000000	8.83	7.67	0.00	2
UNG	2011-11-29	0.232343	4.303970e+5	9.010	7.670	10.160	7.670	7.670	8.020	7.670	9.010	0.190	0.000000	9.13	7.67	0.00	3
UNG	2011-11-28	0.234572	4.263080e+5	9.010	7.670	10.160	7.670	7.670	8.210	7.670	9.010	0.270	0.000000	9.13	7.67	0.00	4
UNG	2011-11-25	0.232707	4.297240e+5	9.010	7.670	10.160	7.670	7.670	8.360	7.670	9.010	0.080	0.000000	9.13	7.67	0.00	5
UNG	2011-11-23	0.240745	4.153780e+5	9.010	7.670	10.160	7.670	7.670	8.400	7.670	9.010	0.300	0.000000	9.13	7.67	0.00	6
UNG	2011-11-22	0.237626	4.208300e+5	9.010	7.670	10.160	7.670	7.670	8.620	7.670	9.010	0.140	0.000000	9.13	7.67	0.00	7
UNG	2011-11-21	0.242764	4.119230e+5	9.010	7.670	10.160	7.670	7.670	8.620	7.670	9.010	0.260	0.000000	9.13	7.67	0.00	8
UNG	2011-11-18	0.241857	4.134680e+5	9.010	7.670	10.180	7.670	7.670	8.710	7.670	9.010	0.250	0.000000	9.13	7.67	0.00	9
UNG	2011-11-17	0.241428	4.142020e+5	9.010	7.670	10.220	7.670	7.670	8.710	7.670	9.010	0.280	0.000000	9.13	7.67	0.00	10
UNG	2011-11-16	0.239398	4.177140e+5	9.010	7.840	10.220	7.840	7.840	8.710	7.840	9.010	0.240	0.000000	9.13	7.84	0.00	11
UNG	2011-11-15	0.239367	4.177690e+5	9.010	7.930	10.220	7.930	7.930	8.710	7.930	9.010	0.190	0.000000	9.13	7.93	0.00	12
UNG	2011-11-14	0.241965	4.132830e+5	9.010	8.210	10.220	8.210	8.210	9.010	8.210	9.010	0.300	0.000000	9.13	8.21	0.00	13
UNG	2011-11-11	0.238910	4.185670e+5	9.030	8.360	10.220	8.360	8.360	9.010	8.360	9.030	0.170	0.000000	9.15	8.36	0.00	14
UNG	2011-11-10	0.242537	4.123080e+5	9.030	8.400	10.220	8.400	8.400	9.010	8.400	9.030	0.200	0.000000	9.15	8.40	0.00	15
UNG	2011-11-09	0.244776	4.085370e+5	9.030	8.490	10.220	8.490	8.490	9.010	8.490	9.030	0.250	0.000000	9.15	8.49	0.00	16
UNG	2011-11-08	0.244501	4.089960e+5	9.030	8.490	10.220	8.490	8.490	9.010	8.490	9.030	0.240	0.000000	9.15	8.49	0.00	17
UNG	2011-11-07	0.244738	4.086000e+5	9.030	8.560	10.220	8.560	8.630	9.010	8.560	9.030	0.280	0.000000	9.15	8.56	0.00	18
UNG	2011-11-04	0.242882	4.117220e+5	9.030	8.560	10.220	8.560	8.630	9.010	8.560	9.030	0.170	0.000000	9.15	8.56	0.00	19
UNG	2011-11-03	0.246718	4.053210e+5	9.030	8.560	10.220	8.560	8.630	9.010	8.560	9.030	0.270	0.000000	9.15	8.56	0.00	20
UNG	2011-11-02	0.245493	4.073440e+5	9.030	8.560	10.220	8.560	8.670	9.010	8.560	9.030	0.150	0.000000	9.15	8.56	0.00	21
UNG	2011-11-01	0.250519	3.991720e+5	9.030	8.560	10.220	8.560	8.670	9.010	8.560	9.030	0.380	0.000000	9.16	8.56	0.00	22
UNG	2011-10-31	0.243704	4.103340e+5	9.030	8.560	10.260	8.560	8.670	9.010	8.560	9.030	0.170	0.000000	9.15	8.56	0.00	23
UNG	2011-10-28	0.247583	4.039050e+5	9.030	8.560	10.400	8.560	8.670	9.030	8.560	9.030	0.360	0.000000	9.15	8.56	0.00	24
UNG	2011-10-27	0.241666	4.137940e+5	9.240	8.560	10.400	8.560	8.670	9.030	8.560	9.240	0.260	0.000000	9.36	8.56	0.00	25
UNG	2011-10-26	0.240701	4.154530e+5	9.280	8.560	10.400	8.560	8.560	9.030	8.560	9.280	0.220	0.000000	9.40	8.56	0.00	26
UNG	2011-10-25	0.241791	4.135810e+5	9.510	8.560	10.400	8.560	8.560	9.030	8.560	9.510	0.180	0.000000	9.63	8.56	0.00	27
UNG	2011-10-24	0.245043	4.080920e+5	9.510	8.560	10.400	8.560	8.560	9.030	8.560	9.510	0.180	0.000000	9.63	8.56	0.00	28
UNG	2011-10-21	0.248466	4.024690e+5	9.510	8.560	10.400	8.560	8.560	9.030	8.560	9.510	0.200	0.000000	9.63	8.56	0.00	29
UNG	2011-10-20	0.251017	3.983790e+5	9.510	8.560	10.400	8.560	8.560	9.030	8.560	9.510	0.260	0.000000	9.64	8.56	0.00	30
UNG	2011-10-19	0.250544	3.991310e+5	9.510	8.560	10.490	8.560	8.560	9.030	8.560	9.510	0.140	0.000000	9.64	8.56	0.00	31
UNG	2011-10-18	0.256362	3.900730e+5	9.510	8.560	10.580	8.560	8.560	9.030	8.560	9.510	0.300	0.000000	9.64	8.56	0.00	32
UNG	2011-10-17	0.254066	3.935990e+5	9.670	8.560	10.580	8.560	8.560	9.030	8.560	9.670	0.150	0.000000	9.80	8.56	0.00	33
UNG	2011-10-14	0.259543	3.852930e+5	9.670	8.560	10.700	8.560	8.560	9.010	8.560	9.670	0.480	0.000000	9.80	8.56	0.00	34
UNG	2011-10-13	0.247940	4.033240e+5	9.810	8.560	10.930	8.560	8.560	9.240	8.560	9.810	0.280	0.000000	9.93	8.56	0.00	35
UNG	2011-10-12	0.246252	4.060870e+5	10.160	8.560	10.970	8.560	8.560	9.280	8.560	10.160	0.340	0.000000	10.28	8.56	0.00	36
UNG	2011-10-11	0.241318	4.143900e+5	10.160	8.560	10.990	8.560	8.560	9.510	8.560	10.160	0.270	0.000000	10.28	8.56	0.00	37
UNG	2011-10-10	0.239809	4.169990e+5	10.160	8.560	11.050	8.560	8.560	9.510	8.560	10.160	0.180	0.000000	10.28	8.56	0.00	38
UNG	2011-10-07	0.242957	4.115960e+5	10.160	8.750	11.050	8.750	8.750	9.510	8.750	10.160	0.290	0.000000	10.28	8.75	0.00	39
UNG	2011-10-06	0.240481	4.158340e+5	10.160	8.750	11.270	8.750	8.750	9.510	8.750	10.160	0.250	0.000000	10.28	8.75	0.00	40
