#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
UNP	2011-12-02	2.878820	3.473640e+4	103.410	95.160	103.410	79.830	95.160	103.410	95.160	103.410	2.390	0.000000	104.85	95.16	0.00	1
UNP	2011-12-01	2.904550	3.442870e+4	103.410	95.160	103.410	79.830	95.160	103.410	95.160	103.410	1.710	0.000000	104.86	95.16	0.00	2
UNP	2011-11-30	2.967420	3.369930e+4	103.380	95.160	103.380	79.830	95.160	103.380	95.160	103.380	4.330	0.000000	104.86	95.16	0.00	3
UNP	2011-11-29	2.895710	3.453390e+4	103.380	95.160	103.380	79.830	95.160	103.380	95.160	103.380	2.310	0.000000	104.83	95.16	0.00	4
UNP	2011-11-28	2.926530	3.417010e+4	103.380	95.160	103.380	79.830	95.160	103.380	95.160	103.380	3.810	0.000000	104.84	95.16	0.00	5
UNP	2011-11-25	2.880030	3.472180e+4	103.380	96.000	103.380	79.830	96.000	103.380	96.000	103.380	1.760	0.000000	104.82	96.00	0.00	6
UNP	2011-11-23	2.938980	3.402540e+4	103.380	96.830	103.380	79.830	98.250	103.380	96.830	103.380	2.720	0.000000	104.85	96.83	0.00	7
UNP	2011-11-22	2.950510	3.389250e+4	103.380	95.680	103.380	79.830	98.360	103.380	95.680	103.380	1.370	0.000000	104.86	95.68	0.00	8
UNP	2011-11-21	3.033690	3.296310e+4	103.380	95.680	103.380	79.830	98.360	103.380	95.680	103.380	4.540	0.000000	104.90	95.68	0.00	9
UNP	2011-11-18	2.954410	3.384770e+4	103.380	95.680	103.380	79.830	98.360	103.380	95.680	103.380	2.080	0.000000	104.86	95.68	0.00	10
UNP	2011-11-17	3.000440	3.332850e+4	103.380	94.590	103.380	79.830	98.360	103.380	94.590	103.380	2.500	0.000000	104.88	94.59	0.00	11
UNP	2011-11-16	3.026770	3.303850e+4	103.380	90.960	103.380	79.830	98.360	103.380	90.960	103.380	2.620	0.000000	104.89	90.96	0.00	12
UNP	2011-11-15	3.048180	3.280640e+4	102.970	90.960	102.970	79.830	96.830	102.970	90.960	102.970	2.840	0.000000	104.49	90.96	0.00	13
UNP	2011-11-14	3.059140	3.268890e+4	102.880	89.310	102.880	79.830	96.830	102.880	89.310	102.880	1.390	0.000000	104.41	89.31	0.00	14
UNP	2011-11-11	3.146990	3.177640e+4	102.630	89.310	102.630	79.830	96.830	102.330	89.310	102.630	2.790	0.000000	104.20	89.31	0.00	15
UNP	2011-11-10	3.165780	3.158780e+4	102.630	89.310	102.630	79.830	96.830	102.630	89.310	102.630	2.480	0.000000	104.21	89.31	0.00	16
UNP	2011-11-09	3.201870	3.123170e+4	102.630	89.310	102.630	79.830	96.830	102.630	89.310	102.630	4.590	0.000000	104.23	89.31	0.00	17
UNP	2011-11-08	3.128810	3.196100e+4	102.630	89.310	102.630	79.830	95.680	102.630	89.310	102.630	2.980	0.000000	104.19	89.31	0.00	18
UNP	2011-11-07	3.136650	3.188120e+4	102.630	89.310	102.630	79.830	95.680	102.630	89.310	102.630	3.480	0.000000	104.20	89.31	0.00	19
UNP	2011-11-04	3.118570	3.206590e+4	102.630	88.800	102.630	79.830	95.680	102.630	88.800	102.630	3.140	0.000000	104.19	88.80	0.00	20
