#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
UPL	2011-12-02	1.518610	6.584990e+4	36.470	31.370	36.470	25.700	31.370	35.210	31.370	36.470	0.770	0.000000	37.23	31.37	0.00	1
UPL	2011-12-01	1.558010	6.418460e+4	36.470	31.370	36.470	25.700	31.370	35.210	31.370	36.470	1.300	0.000000	37.25	31.37	0.00	2
UPL	2011-11-30	1.571590	6.363000e+4	36.470	30.770	36.470	25.700	31.370	35.860	30.770	36.470	1.490	0.000000	37.26	30.77	0.00	3
UPL	2011-11-29	1.575880	6.345660e+4	36.470	30.770	36.470	25.700	31.370	35.860	30.770	36.470	1.680	0.000000	37.26	30.77	0.00	4
UPL	2011-11-28	1.570400	6.367810e+4	36.470	30.770	36.470	25.700	31.370	35.860	30.770	36.470	1.700	0.000000	37.26	30.77	0.00	5
UPL	2011-11-25	1.563580	6.395590e+4	36.470	30.770	36.470	25.700	31.790	35.860	30.770	36.470	0.740	0.000000	37.25	30.77	0.00	6
UPL	2011-11-23	1.606920	6.223070e+4	36.470	30.770	36.470	25.700	32.970	35.860	30.770	36.470	1.320	0.000000	37.27	30.77	0.00	7
UPL	2011-11-22	1.622030	6.165130e+4	36.470	30.770	36.470	25.700	32.970	36.180	30.770	36.470	1.310	0.000000	37.28	30.77	0.00	8
UPL	2011-11-21	1.638450	6.103340e+4	36.470	30.770	36.470	25.700	33.600	36.350	30.770	36.470	2.020	0.000000	37.29	30.77	0.00	9
UPL	2011-11-18	1.618370	6.179070e+4	36.470	30.770	36.470	25.700	33.600	36.470	30.770	36.470	0.810	0.000000	37.28	30.77	0.00	10
UPL	2011-11-17	1.660910	6.020790e+4	36.470	29.900	36.470	25.700	33.270	36.470	29.900	36.470	1.470	0.000000	37.30	29.90	0.00	11
UPL	2011-11-16	1.670960	5.984580e+4	36.470	29.900	36.470	25.700	31.710	36.470	29.900	36.470	1.980	0.000000	37.31	29.90	0.00	12
UPL	2011-11-15	1.654700	6.043410e+4	36.470	29.900	36.470	25.700	30.770	36.470	29.900	36.470	1.540	0.000000	37.30	29.90	0.00	13
UPL	2011-11-14	1.660730	6.021440e+4	36.470	28.770	36.470	25.700	30.770	36.470	28.770	36.470	1.660	0.000000	37.30	28.77	0.00	14
UPL	2011-11-11	1.660770	6.021300e+4	36.470	28.770	36.470	25.700	30.770	36.470	28.770	36.470	0.960	0.000000	37.30	28.77	0.00	15
UPL	2011-11-10	1.697650	5.890490e+4	36.470	28.640	36.470	25.700	30.770	36.470	28.640	36.470	1.320	0.000000	37.32	28.64	0.00	16
