#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
UUP	2011-12-01	0.186520	5.361370e+5	22.420	21.590	22.510	21.150	22.010	22.420	21.590	22.420	0.090	0.000000	22.51	21.59	0.00	1
UUP	2011-11-30	0.191599	5.219220e+5	22.420	21.590	22.510	21.150	21.970	22.420	21.590	22.420	0.270	0.000000	22.52	21.59	0.00	2
UUP	2011-11-29	0.187473	5.334100e+5	22.420	21.570	22.510	21.150	21.840	22.420	21.570	22.420	0.140	0.000000	22.51	21.57	0.00	3
UUP	2011-11-28	0.189972	5.263940e+5	22.420	21.160	22.510	21.150	21.690	22.420	21.160	22.420	0.220	0.000000	22.52	21.16	0.00	4
UUP	2011-11-25	0.188391	5.308100e+5	22.290	21.150	22.510	21.150	21.690	22.290	21.150	22.290	0.150	0.000000	22.38	21.15	0.00	5
UUP	2011-11-23	0.190412	5.251770e+5	22.070	21.150	22.510	21.150	21.690	22.070	21.150	22.070	0.280	0.000000	22.17	21.15	0.00	6
UUP	2011-11-22	0.185697	5.385120e+5	22.070	21.150	22.510	21.150	21.590	22.070	21.150	22.070	0.080	0.000000	22.16	21.15	0.00	7
UUP	2011-11-21	0.191260	5.228490e+5	22.070	21.150	22.510	21.150	21.590	22.070	21.150	22.070	0.120	0.000000	22.17	21.15	0.00	8
UUP	2011-11-18	0.195010	5.127940e+5	22.070	21.150	22.510	21.150	21.590	22.070	21.150	22.070	0.150	0.000000	22.17	21.15	0.00	9
UUP	2011-11-17	0.197379	5.066390e+5	22.040	21.150	22.510	21.070	21.590	22.040	21.150	22.040	0.120	0.000000	22.14	21.15	0.00	10
UUP	2011-11-16	0.201452	4.963970e+5	21.970	21.150	22.510	21.010	21.590	21.970	21.150	21.970	0.110	0.000000	22.07	21.15	0.00	11
UUP	2011-11-15	0.206265	4.848130e+5	21.970	21.150	22.510	20.930	21.590	21.970	21.150	21.970	0.190	0.000000	22.07	21.15	0.00	12
UUP	2011-11-14	0.207121	4.828090e+5	21.970	21.150	22.510	20.930	21.570	21.970	21.150	21.970	0.200	0.000000	22.07	21.15	0.00	13
UUP	2011-11-11	0.207496	4.819370e+5	21.970	21.150	22.510	20.930	21.160	21.970	21.150	21.970	0.270	0.000000	22.07	21.15	0.00	14
UUP	2011-11-10	0.204206	4.897010e+5	21.970	21.150	22.510	20.930	21.150	21.970	21.150	21.970	0.120	0.000000	22.07	21.15	0.00	15
UUP	2011-11-09	0.208638	4.792990e+5	21.800	21.150	22.510	20.930	21.150	21.800	21.150	21.800	0.420	0.000000	21.90	21.15	0.00	16
UUP	2011-11-08	0.197514	5.062940e+5	21.900	21.150	22.510	20.930	21.150	21.800	21.150	21.900	0.120	0.000000	22.00	21.15	0.00	17
UUP	2011-11-07	0.201593	4.960480e+5	21.920	21.150	22.510	20.930	21.150	21.800	21.150	21.920	0.110	0.000000	22.02	21.15	0.00	18
UUP	2011-11-04	0.206414	4.844630e+5	22.270	21.150	22.510	20.930	21.150	21.800	21.150	22.270	0.150	0.000000	22.37	21.15	0.00	19
UUP	2011-11-03	0.209383	4.775930e+5	22.270	21.150	22.510	20.930	21.150	21.800	21.150	22.270	0.240	0.000000	22.37	21.15	0.00	20
UUP	2011-11-02	0.207772	4.812970e+5	22.350	21.150	22.510	20.930	21.150	21.800	21.150	22.350	0.170	0.000000	22.45	21.15	0.00	21
UUP	2011-11-01	0.209760	4.767360e+5	22.420	21.150	22.510	20.930	21.150	21.780	21.150	22.420	0.310	0.000000	22.52	21.15	0.00	22
