#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
XEG	2011-12-02	0.426274	2.345910e+5	17.730	15.700	17.770	14.310	15.700	17.140	15.700	17.730	0.250	0.000000	17.94	15.70	0.00	1
XEG	2011-12-01	0.435552	2.295940e+5	17.730	15.700	17.770	14.310	15.700	17.140	15.700	17.730	0.240	0.000000	17.95	15.70	0.00	2
XEG	2011-11-30	0.445844	2.242940e+5	17.730	15.700	17.770	14.310	15.700	17.290	15.700	17.730	0.750	0.000000	17.95	15.70	0.00	3
XEG	2011-11-29	0.429836	2.326470e+5	17.730	15.700	17.770	14.310	15.700	17.290	15.700	17.730	0.310	0.000000	17.94	15.70	0.00	4
XEG	2011-11-28	0.436143	2.292830e+5	17.730	15.700	17.770	14.310	15.700	17.290	15.700	17.730	0.610	0.000000	17.95	15.70	0.00	5
XEG	2011-11-25	0.426993	2.341960e+5	17.770	15.840	17.770	14.310	15.840	17.320	15.840	17.770	0.270	0.000000	17.98	15.84	0.00	6
XEG	2011-11-24	0.435255	2.297500e+5	17.770	15.950	17.770	14.310	15.950	17.320	15.950	17.770	0.190	0.000000	17.99	15.95	0.00	7
XEG	2011-11-23	0.448163	2.231330e+5	17.770	16.450	17.770	14.310	16.450	17.320	16.450	17.770	0.520	0.000000	17.99	16.45	0.00	8
XEG	2011-11-22	0.444383	2.250310e+5	17.770	16.570	17.770	14.310	16.570	17.730	16.570	17.770	0.230	0.000000	17.99	16.57	0.00	9
XEG	2011-11-21	0.455666	2.194590e+5	17.770	16.780	17.770	14.310	16.870	17.730	16.780	17.770	0.580	0.000000	18.00	16.78	0.00	10
XEG	2011-11-18	0.449122	2.226570e+5	17.770	16.780	17.890	14.310	16.890	17.730	16.780	17.770	0.250	0.000000	17.99	16.78	0.00	11
XEG	2011-11-17	0.459602	2.175800e+5	17.770	16.550	17.890	14.310	17.040	17.730	16.550	17.770	0.570	0.000000	18.00	16.55	0.00	12
XEG	2011-11-16	0.453792	2.203650e+5	17.770	16.550	17.890	14.310	17.040	17.730	16.550	17.770	0.410	0.000000	18.00	16.55	0.00	13
XEG	2011-11-15	0.456096	2.192520e+5	17.770	16.550	17.890	14.310	16.780	17.730	16.550	17.770	0.190	0.000000	18.00	16.55	0.00	14
XEG	2011-11-14	0.470102	2.127200e+5	17.770	16.330	17.890	14.310	16.780	17.730	16.330	17.770	0.280	0.000000	18.01	16.33	0.00	15
XEG	2011-11-11	0.480107	2.082870e+5	17.770	16.330	17.890	14.310	16.780	17.770	16.330	17.770	0.300	0.000000	18.01	16.33	0.00	16
XEG	2011-11-10	0.489586	2.042540e+5	17.770	16.120	17.890	14.310	16.780	17.770	16.120	17.770	0.480	0.000000	18.01	16.12	0.00	17
XEG	2011-11-09	0.490091	2.040440e+5	17.770	16.120	17.890	14.310	16.780	17.770	16.120	17.770	0.700	0.000000	18.02	16.12	0.00	18
XEG	2011-11-08	0.479043	2.087500e+5	17.770	15.720	17.890	14.310	16.780	17.770	15.720	17.770	0.250	0.000000	18.01	15.72	0.00	19
XEG	2011-11-07	0.491098	2.036250e+5	17.770	15.260	17.890	14.310	16.780	17.770	15.260	17.770	0.220	0.000000	18.02	15.26	0.00	20
XEG	2011-11-04	0.505366	1.978760e+5	17.770	15.260	17.890	14.310	16.780	17.770	15.260	17.770	0.260	0.000000	18.02	15.26	0.00	21
XEG	2011-11-03	0.518280	1.929460e+5	17.770	15.010	17.890	14.310	16.550	17.770	15.010	17.770	0.660	0.000000	18.03	15.01	0.00	22
XEG	2011-11-02	0.510821	1.957630e+5	17.770	14.350	18.230	14.310	16.550	17.770	14.350	17.770	0.410	0.000000	18.03	14.35	0.00	23
XEG	2011-11-01	0.516128	1.937510e+5	17.770	14.310	18.230	14.310	16.550	17.770	14.310	17.770	0.800	0.000000	18.03	14.31	0.00	24
XEG	2011-10-31	0.501187	1.995260e+5	17.770	14.310	18.230	14.310	16.330	17.770	14.310	17.770	0.610	0.000000	18.02	14.31	0.00	25
XEG	2011-10-28	0.495460	2.018330e+5	17.670	14.310	18.230	14.310	16.330	17.670	14.310	17.670	0.250	0.000000	17.92	14.31	0.00	26
XEG	2011-10-27	0.508379	1.967040e+5	17.220	14.310	18.230	14.310	16.120	17.220	14.310	17.220	0.730	0.000000	17.47	14.31	0.00	27
XEG	2011-10-26	0.496715	2.013230e+5	17.220	14.310	18.230	14.310	16.120	17.220	14.310	17.220	0.350	0.000000	17.47	14.31	0.00	28
XEG	2011-10-25	0.504436	1.982410e+5	17.220	14.310	18.230	14.310	15.720	17.220	14.310	17.220	0.440	0.000000	17.47	14.31	0.00	29
XEG	2011-10-24	0.507828	1.969170e+5	16.790	14.310	18.230	14.310	15.260	16.790	14.310	16.790	0.490	0.000000	17.04	14.31	0.00	30
XEG	2011-10-21	0.508766	1.965540e+5	16.760	14.310	18.850	14.310	15.260	16.760	14.310	16.760	0.300	0.000000	17.01	14.31	0.00	31
XEG	2011-10-20	0.519754	1.923990e+5	16.760	14.310	19.000	14.310	15.010	16.760	14.310	16.760	0.440	0.000000	17.02	14.31	0.00	32
XEG	2011-10-19	0.523951	1.908570e+5	16.760	14.310	19.430	14.310	14.350	16.760	14.310	16.760	0.340	0.000000	17.02	14.31	0.00	33
XEG	2011-10-18	0.533633	1.873950e+5	16.680	14.310	19.600	14.310	14.310	16.680	14.310	16.680	0.760	0.000000	16.95	14.31	0.00	34
XEG	2011-10-17	0.521719	1.916740e+5	16.870	14.310	19.750	14.310	14.310	16.680	14.310	16.870	0.410	0.000000	17.13	14.31	0.00	35
XEG	2011-10-14	0.527599	1.895380e+5	17.080	14.310	20.160	14.310	14.310	16.220	14.310	17.080	0.560	0.000000	17.34	14.31	0.00	36
XEG	2011-10-13	0.525894	1.901530e+5	17.080	14.310	20.380	14.310	14.310	16.220	14.310	17.080	0.300	0.000000	17.34	14.31	0.00	37
