#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
XIC	2011-12-02	0.318560	3.139130e+5	19.680	18.090	19.730	17.610	18.090	19.200	18.090	19.680	0.240	0.000000	19.84	18.09	0.00	1
XIC	2011-12-01	0.322694	3.098910e+5	19.680	18.090	19.730	17.610	18.090	19.200	18.090	19.680	0.200	0.000000	19.84	18.09	0.00	2
XIC	2011-11-30	0.329152	3.038110e+5	19.680	18.090	19.730	17.610	18.090	19.220	18.090	19.680	0.680	0.000000	19.84	18.09	0.00	3
XIC	2011-11-29	0.310686	3.218680e+5	19.680	18.090	19.730	17.610	18.090	19.270	18.090	19.680	0.200	0.000000	19.84	18.09	0.00	4
XIC	2011-11-28	0.316512	3.159440e+5	19.680	18.090	19.730	17.610	18.090	19.270	18.090	19.680	0.450	0.000000	19.84	18.09	0.00	5
XIC	2011-11-25	0.309486	3.231160e+5	19.730	18.160	20.020	17.610	18.160	19.360	18.160	19.730	0.190	0.000000	19.88	18.16	0.00	6
XIC	2011-11-24	0.315775	3.166810e+5	19.730	18.280	20.050	17.610	18.280	19.360	18.280	19.730	0.190	0.000000	19.89	18.28	0.00	7
XIC	2011-11-23	0.322395	3.101790e+5	19.730	18.610	20.050	17.610	18.610	19.360	18.610	19.730	0.380	0.000000	19.89	18.61	0.00	8
XIC	2011-11-22	0.319363	3.131240e+5	19.730	18.620	20.050	17.610	18.620	19.680	18.620	19.730	0.170	0.000000	19.89	18.62	0.00	9
XIC	2011-11-21	0.327224	3.056010e+5	19.730	18.780	20.050	17.610	18.780	19.680	18.780	19.730	0.410	0.000000	19.89	18.78	0.00	10
XIC	2011-11-18	0.322867	3.097250e+5	19.730	18.820	20.150	17.610	18.820	19.680	18.820	19.730	0.160	0.000000	19.89	18.82	0.00	11
XIC	2011-11-17	0.331439	3.017140e+5	19.730	18.650	20.150	17.610	19.120	19.680	18.650	19.730	0.460	0.000000	19.90	18.65	0.00	12
XIC	2011-11-16	0.324673	3.080020e+5	19.730	18.650	20.150	17.610	19.120	19.680	18.650	19.730	0.190	0.000000	19.89	18.65	0.00	13
XIC	2011-11-15	0.331761	3.014220e+5	19.730	18.650	20.150	17.610	19.110	19.680	18.650	19.730	0.140	0.000000	19.90	18.65	0.00	14
XIC	2011-11-14	0.341853	2.925230e+5	19.730	18.650	20.150	17.610	19.110	19.680	18.650	19.730	0.270	0.000000	19.90	18.65	0.00	15
XIC	2011-11-11	0.345635	2.893220e+5	19.730	18.650	20.150	17.610	19.110	19.730	18.650	19.730	0.320	0.000000	19.90	18.65	0.00	16
XIC	2011-11-10	0.346985	2.881970e+5	19.730	18.650	20.150	17.610	19.110	19.730	18.650	19.730	0.330	0.000000	19.90	18.65	0.00	17
XIC	2011-11-09	0.347878	2.874570e+5	19.730	18.650	20.150	17.610	19.110	19.730	18.650	19.730	0.520	0.000000	19.90	18.65	0.00	18
XIC	2011-11-08	0.338819	2.951420e+5	19.730	18.650	20.150	17.610	19.090	19.730	18.650	19.730	0.130	0.000000	19.90	18.65	0.00	19
XIC	2011-11-07	0.349810	2.858700e+5	19.730	18.320	20.150	17.610	19.090	19.730	18.320	19.730	0.120	0.000000	19.90	18.32	0.00	20
XIC	2011-11-04	0.361905	2.763160e+5	19.730	18.320	20.150	17.610	18.830	19.730	18.320	19.730	0.250	0.000000	19.91	18.32	0.00	21
XIC	2011-11-03	0.367795	2.718910e+5	19.730	18.070	20.150	17.610	18.650	19.730	18.070	19.730	0.360	0.000000	19.91	18.07	0.00	22
XIC	2011-11-02	0.368205	2.715880e+5	19.730	17.610	20.150	17.610	18.650	19.730	17.610	19.730	0.320	0.000000	19.91	17.61	0.00	23
XIC	2011-11-01	0.370742	2.697290e+5	19.730	17.610	20.150	17.610	18.650	19.730	17.610	19.730	0.580	0.000000	19.92	17.61	0.00	24
XIC	2011-10-31	0.359729	2.779870e+5	19.730	17.610	20.150	17.610	18.650	19.730	17.610	19.730	0.350	0.000000	19.91	17.61	0.00	25
XIC	2011-10-28	0.360241	2.775920e+5	19.650	17.610	20.150	17.610	18.650	19.650	17.610	19.650	0.160	0.000000	19.83	17.61	0.00	26
XIC	2011-10-27	0.370780	2.697020e+5	19.200	17.610	20.150	17.610	18.650	19.200	17.610	19.200	0.540	0.000000	19.39	17.61	0.00	27
XIC	2011-10-26	0.361873	2.763400e+5	19.130	17.610	20.150	17.610	18.650	19.130	17.610	19.130	0.240	0.000000	19.31	17.61	0.00	28
XIC	2011-10-25	0.368288	2.715270e+5	19.130	17.610	20.150	17.610	18.650	19.130	17.610	19.130	0.270	0.000000	19.31	17.61	0.00	29
XIC	2011-10-24	0.373461	2.677660e+5	19.000	17.610	20.150	17.610	18.320	19.000	17.610	19.000	0.340	0.000000	19.19	17.61	0.00	30
XIC	2011-10-21	0.375222	2.665090e+5	19.000	17.610	20.210	17.610	18.320	19.000	17.610	19.000	0.240	0.000000	19.19	17.61	0.00	31
XIC	2011-10-20	0.382339	2.615480e+5	19.000	17.610	20.210	17.610	18.070	19.000	17.610	19.000	0.290	0.000000	19.19	17.61	0.00	32
XIC	2011-10-19	0.387199	2.582650e+5	19.310	17.610	20.410	17.610	17.610	19.000	17.610	19.310	0.320	0.000000	19.50	17.61	0.00	33
XIC	2011-10-18	0.390736	2.559280e+5	19.310	17.610	20.570	17.610	17.610	19.000	17.610	19.310	0.480	0.000000	19.51	17.61	0.00	34
XIC	2011-10-17	0.386037	2.590420e+5	19.310	17.610	20.570	17.610	17.610	19.000	17.610	19.310	0.300	0.000000	19.50	17.61	0.00	35
XIC	2011-10-14	0.390566	2.560390e+5	19.620	17.610	20.970	17.610	17.610	18.940	17.610	19.620	0.300	0.000000	19.82	17.61	0.00	36
XIC	2011-10-13	0.395332	2.529520e+5	19.620	17.610	21.170	17.610	17.610	18.940	17.610	19.620	0.290	0.000000	19.82	17.61	0.00	37
XIC	2011-10-12	0.400876	2.494540e+5	19.620	17.610	21.260	17.610	17.610	18.680	17.610	19.620	0.370	0.000000	19.82	17.61	0.00	38
XIC	2011-10-11	0.402501	2.484460e+5	19.620	17.610	21.260	17.610	17.610	18.540	17.610	19.620	0.400	0.000000	19.82	17.61	0.00	39
XIC	2011-10-07	0.402633	2.483650e+5	19.620	17.610	21.260	17.610	17.610	18.540	17.610	19.620	0.370	0.000000	19.82	17.61	0.00	40
XIC	2011-10-06	0.404350	2.473100e+5	20.020	17.610	21.260	17.610	17.610	18.540	17.610	20.020	0.470	0.000000	20.22	17.61	0.00	41
XIC	2011-10-05	0.400895	2.494420e+5	20.050	17.610	21.260	17.610	17.610	18.920	17.610	20.050	0.590	0.000000	20.25	17.61	0.00	42
XIC	2011-10-04	0.390942	2.557920e+5	20.050	17.700	21.260	17.700	17.700	19.310	17.700	20.050	0.600	0.000000	20.25	17.70	0.00	43
XIC	2011-10-03	0.379939	2.632000e+5	20.050	18.040	21.260	18.040	18.040	19.310	18.040	20.050	0.500	0.000000	20.24	18.04	0.00	44
XIC	2011-09-30	0.373620	2.676510e+5	20.050	18.040	21.260	18.040	18.040	19.310	18.040	20.050	0.190	0.000000	20.24	18.04	0.00	45
XIC	2011-09-29	0.383284	2.609030e+5	20.150	18.040	21.260	18.040	18.040	19.620	18.040	20.150	0.320	0.000000	20.34	18.04	0.00	46
XIC	2011-09-28	0.386615	2.586550e+5	20.150	18.040	21.260	18.040	18.040	19.620	18.040	20.150	0.480	0.000000	20.34	18.04	0.00	47
XIC	2011-09-27	0.381700	2.619860e+5	20.150	18.040	21.260	18.040	18.040	19.620	18.040	20.150	0.630	0.000000	20.34	18.04	0.00	48
