#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
XLB	2011-12-02	0.996030	1.003990e+5	35.700	31.410	35.990	28.530	31.410	34.520	31.410	35.700	0.790	0.000000	36.20	31.41	0.00	1
XLB	2011-12-01	1.006870	9.931730e+4	35.700	31.410	35.990	28.530	31.410	34.520	31.410	35.700	0.690	0.000000	36.20	31.41	0.00	2
XLB	2011-11-30	1.023550	9.769910e+4	35.700	31.410	35.990	28.530	31.410	34.870	31.410	35.700	1.900	0.000000	36.21	31.41	0.00	3
XLB	2011-11-29	0.977422	1.023100e+5	35.700	31.410	35.990	28.530	31.410	34.870	31.410	35.700	0.470	0.000000	36.19	31.41	0.00	4
XLB	2011-11-28	1.004130	9.958880e+4	35.990	31.410	35.990	28.530	31.410	35.170	31.410	35.990	1.410	0.000000	36.49	31.41	0.00	5
XLB	2011-11-25	0.982767	1.017530e+5	35.990	31.570	35.990	28.530	31.570	35.170	31.570	35.990	0.470	0.000000	36.48	31.57	0.00	6
XLB	2011-11-23	1.009760	9.903390e+4	35.990	32.430	35.990	28.530	32.430	35.170	32.430	35.990	0.890	0.000000	36.49	32.43	0.00	7
XLB	2011-11-22	1.016060	9.841960e+4	35.990	32.680	35.990	28.530	32.680	35.700	32.680	35.990	0.620	0.000000	36.50	32.68	0.00	8
XLB	2011-11-21	1.036900	9.644100e+4	35.990	33.080	35.990	28.530	33.080	35.700	33.080	35.990	0.930	0.000000	36.51	33.08	0.00	9
XLB	2011-11-18	1.042530	9.592050e+4	35.990	33.080	35.990	28.530	33.080	35.700	33.080	35.990	0.610	0.000000	36.51	33.08	0.00	10
XLB	2011-11-17	1.065290	9.387080e+4	35.990	32.510	35.990	28.530	33.960	35.700	32.510	35.990	1.260	0.000000	36.52	32.51	0.00	11
XLB	2011-11-16	1.055050	9.478250e+4	35.990	32.210	35.990	28.530	33.960	35.700	32.210	35.990	0.850	0.000000	36.52	32.21	0.00	12
