#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
XLE	2011-12-02	2.060240	4.853800e+4	72.820	63.830	73.040	56.520	63.830	70.870	63.830	72.820	1.260	0.000000	73.85	63.83	0.00	1
XLE	2011-12-01	2.102360	4.756560e+4	72.820	63.830	73.040	56.520	63.830	70.870	63.830	72.820	1.300	0.000000	73.87	63.83	0.00	2
XLE	2011-11-30	2.144590	4.662900e+4	72.820	63.830	73.040	56.520	63.830	71.230	63.830	72.820	3.900	0.000000	73.89	63.83	0.00	3
XLE	2011-11-29	2.052200	4.872820e+4	72.820	63.830	73.040	56.520	63.830	71.310	63.830	72.820	1.670	0.000000	73.85	63.83	0.00	4
XLE	2011-11-28	2.072310	4.825520e+4	73.040	63.830	73.040	56.520	63.830	72.260	63.830	73.040	2.950	0.000000	74.08	63.83	0.00	5
XLE	2011-11-25	2.026120	4.935540e+4	73.040	64.290	73.040	56.520	64.290	72.260	64.290	73.040	1.100	0.000000	74.05	64.29	0.00	6
XLE	2011-11-23	2.074860	4.819590e+4	73.040	66.300	73.040	56.520	66.300	72.260	66.300	73.040	2.020	0.000000	74.08	66.30	0.00	7
XLE	2011-11-22	2.077750	4.812890e+4	73.040	66.930	73.040	56.520	66.930	72.820	66.930	73.040	1.420	0.000000	74.08	66.93	0.00	8
XLE	2011-11-21	2.112370	4.734020e+4	73.040	67.460	73.040	56.520	68.150	72.820	67.460	73.040	2.170	0.000000	74.10	67.46	0.00	9
XLE	2011-11-18	2.109340	4.740830e+4	73.040	67.460	73.040	56.520	68.560	72.820	67.460	73.040	1.590	0.000000	74.09	67.46	0.00	10
XLE	2011-11-17	2.136670	4.680180e+4	73.040	67.310	73.040	56.520	69.600	72.820	67.310	73.040	2.590	0.000000	74.11	67.31	0.00	11
XLE	2011-11-16	2.112810	4.733030e+4	73.040	66.790	73.040	56.520	69.490	72.820	66.790	73.040	1.910	0.000000	74.10	66.79	0.00	12
XLE	2011-11-15	2.123490	4.709240e+4	73.040	66.790	73.040	56.520	67.460	72.820	66.790	73.040	1.160	0.000000	74.10	66.79	0.00	13
XLE	2011-11-14	2.174200	4.599400e+4	73.040	65.390	73.040	56.520	67.460	72.820	65.390	73.040	1.610	0.000000	74.13	65.39	0.00	14
XLE	2011-11-11	2.203890	4.537430e+4	73.040	65.390	73.040	56.520	67.460	73.040	65.390	73.040	1.740	0.000000	74.14	65.39	0.00	15
XLE	2011-11-10	2.228310	4.487720e+4	73.040	64.040	73.040	56.520	67.460	73.040	64.040	73.040	1.880	0.000000	74.15	64.04	0.00	16
XLE	2011-11-09	2.246640	4.451100e+4	73.040	64.040	73.040	56.520	67.460	73.040	64.040	73.040	3.400	0.000000	74.16	64.04	0.00	17
XLE	2011-11-08	2.185930	4.574700e+4	73.040	63.790	73.040	56.520	67.460	73.040	63.790	73.040	1.630	0.000000	74.13	63.79	0.00	18
XLE	2011-11-07	2.215190	4.514280e+4	73.040	63.660	73.040	56.520	67.460	73.040	63.660	73.040	1.750	0.000000	74.15	63.66	0.00	19
XLE	2011-11-04	2.239680	4.464930e+4	73.040	60.900	73.040	56.520	67.460	73.040	60.900	73.040	1.460	0.000000	74.16	60.90	0.00	20
XLE	2011-11-03	2.280710	4.384590e+4	73.040	60.900	73.040	56.520	67.310	73.040	60.900	73.040	2.070	0.000000	74.18	60.90	0.00	21
XLE	2011-11-02	2.291800	4.363380e+4	73.040	60.520	73.040	56.520	66.790	73.040	60.520	73.040	2.220	0.000000	74.19	60.52	0.00	22
XLE	2011-11-01	2.295580	4.356190e+4	73.040	58.370	73.040	56.520	66.790	73.040	58.370	73.040	3.370	0.000000	74.19	58.37	0.00	23
XLE	2011-10-31	2.239030	4.466210e+4	73.040	56.520	73.040	56.520	65.390	73.040	56.520	73.040	3.440	0.000000	74.16	56.52	0.00	24
XLE	2011-10-28	2.175830	4.595960e+4	72.550	56.520	72.550	56.520	65.390	72.550	56.520	72.550	1.570	0.000000	73.64	56.52	0.00	25
XLE	2011-10-27	2.207710	4.529580e+4	69.470	56.520	69.470	56.520	64.040	69.470	56.520	69.470	3.720	0.000000	70.57	56.52	0.00	26
XLE	2011-10-26	2.128120	4.698990e+4	69.450	56.520	69.450	56.520	64.040	69.450	56.520	69.450	2.220	0.000000	70.51	56.52	0.00	27
XLE	2011-10-25	2.123280	4.709690e+4	69.450	56.520	69.450	56.520	63.790	69.450	56.520	69.450	1.950	0.000000	70.51	56.52	0.00	28
XLE	2011-10-24	2.132400	4.689550e+4	68.550	56.520	69.220	56.520	63.660	68.550	56.520	68.550	1.080	0.000000	69.62	56.52	0.00	29
XLE	2011-10-21	2.187790	4.570820e+4	67.490	56.520	69.220	56.520	60.900	67.490	56.520	67.490	1.520	0.000000	68.58	56.52	0.00	30
XLE	2011-10-20	2.222940	4.498550e+4	67.490	56.520	73.790	56.520	60.900	67.490	56.520	67.490	1.690	0.000000	68.60	56.52	0.00	31
XLE	2011-10-19	2.250990	4.442500e+4	67.490	56.520	74.210	56.520	60.520	67.490	56.520	67.490	1.760	0.000000	68.62	56.52	0.00	32
XLE	2011-10-18	2.276830	4.392080e+4	66.600	56.520	76.340	56.520	58.370	66.600	56.520	66.600	3.350	0.000000	67.74	56.52	0.00	33
XLE	2011-10-17	2.220340	4.503810e+4	66.600	56.520	76.450	56.520	56.520	66.600	56.520	66.600	1.400	0.000000	67.71	56.52	0.00	34
XLE	2011-10-14	2.263520	4.417900e+4	67.090	56.520	77.220	56.520	56.520	64.130	56.520	67.090	2.580	0.000000	68.22	56.52	0.00	35
XLE	2011-10-13	2.246860	4.450650e+4	67.500	56.520	77.540	56.520	56.520	64.130	56.520	67.500	1.580	0.000000	68.62	56.52	0.00	36
XLE	2011-10-12	2.281960	4.382190e+4	67.500	56.520	79.030	56.520	56.520	63.790	56.520	67.500	1.310	0.000000	68.64	56.52	0.00	37
XLE	2011-10-11	2.333120	4.286110e+4	67.500	56.520	79.410	56.520	56.520	63.660	56.520	67.500	1.430	0.000000	68.67	56.52	0.00	38
XLE	2011-10-10	2.380650	4.200530e+4	67.500	56.520	79.730	56.520	56.520	61.730	56.520	67.500	2.790	0.000000	68.69	56.52	0.00	39
XLE	2011-10-07	2.359110	4.238890e+4	67.500	56.520	79.730	56.520	56.520	61.730	56.520	67.500	1.890	0.000000	68.68	56.52	0.00	40
XLE	2011-10-06	2.383800	4.194990e+4	67.500	56.520	79.730	56.520	56.520	61.730	56.520	67.500	2.060	0.000000	68.69	56.52	0.00	41
XLE	2011-10-05	2.400840	4.165210e+4	67.900	56.520	79.730	56.520	56.520	62.890	56.520	67.900	2.770	0.000000	69.10	56.52	0.00	42
XLE	2011-10-04	2.381410	4.199200e+4	67.900	56.520	79.730	56.520	56.520	65.620	56.520	67.900	4.280	0.000000	69.09	56.52	0.00	43
XLE	2011-10-03	2.281480	4.383120e+4	67.900	58.510	79.730	58.510	58.510	66.030	58.510	67.900	2.040	0.000000	69.04	58.51	0.00	44
XLE	2011-09-30	2.294190	4.358830e+4	68.120	58.700	79.730	58.700	58.700	67.090	58.700	68.120	1.770	0.000000	69.27	58.70	0.00	45
XLE	2011-09-29	2.321780	4.307040e+4	68.640	58.700	79.730	58.700	58.700	67.500	58.700	68.640	2.270	0.000000	69.80	58.70	0.00	46
XLE	2011-09-28	2.324510	4.301990e+4	68.640	58.700	79.730	58.700	58.700	67.500	58.700	68.640	2.820	0.000000	69.80	58.70	0.00	47
XLE	2011-09-27	2.298430	4.350800e+4	68.640	58.700	79.730	58.700	58.700	67.500	58.700	68.640	2.490	0.000000	69.79	58.70	0.00	48
XLE	2011-09-26	2.288340	4.369970e+4	68.640	58.700	79.730	58.700	58.700	67.500	58.700	68.640	3.020	0.000000	69.78	58.70	0.00	49
XLE	2011-09-23	2.249840	4.444770e+4	68.640	59.340	79.730	59.340	59.340	67.500	59.340	68.640	1.210	0.000000	69.76	59.34	0.00	50
XLE	2011-09-22	2.304560	4.339210e+4	68.640	62.890	79.730	62.280	62.890	67.500	62.890	68.640	4.630	0.000000	69.79	62.89	0.00	51
XLE	2011-09-21	2.182170	4.582590e+4	68.640	64.560	79.730	62.280	64.890	67.900	64.560	68.640	2.850	0.000000	69.73	64.56	0.00	52
XLE	2011-09-20	2.147020	4.657610e+4	68.640	62.730	79.730	62.280	64.890	67.900	62.730	68.640	1.650	0.000000	69.71	62.73	0.00	53
XLE	2011-09-19	2.173180	4.601540e+4	68.640	62.730	79.730	62.280	64.890	67.900	62.730	68.640	2.340	0.000000	69.73	62.73	0.00	54
