#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
XOM	2011-12-02	1.786900	5.596290e+4	80.440	73.900	81.880	69.240	73.900	80.440	73.900	80.440	1.090	0.000000	81.33	73.90	0.00	1
XOM	2011-12-01	1.823580	5.483730e+4	80.440	73.900	81.880	69.240	73.900	80.440	73.900	80.440	1.070	0.000000	81.35	73.90	0.00	2
XOM	2011-11-30	1.863240	5.367000e+4	79.760	73.900	81.880	69.240	73.900	79.090	73.900	79.760	3.600	0.000000	80.69	73.90	0.00	3
XOM	2011-11-29	1.771830	5.643890e+4	79.760	73.900	81.880	69.240	73.900	79.090	73.900	79.760	1.660	0.000000	80.65	73.90	0.00	4
XOM	2011-11-28	1.777710	5.625200e+4	81.480	73.900	81.880	69.240	73.900	79.720	73.900	81.480	2.610	0.000000	82.37	73.90	0.00	5
XOM	2011-11-25	1.733910	5.767310e+4	81.880	74.580	81.880	69.240	74.580	79.720	74.580	81.880	1.300	0.000000	82.75	74.58	0.00	6
XOM	2011-11-23	1.756750	5.692340e+4	81.880	75.940	81.880	69.240	76.030	79.720	75.940	81.880	1.500	0.000000	82.76	75.94	0.00	7
XOM	2011-11-22	1.770260	5.648890e+4	81.880	75.940	81.880	69.240	76.910	79.760	75.940	81.880	1.220	0.000000	82.77	75.94	0.00	8
XOM	2011-11-21	1.799220	5.557960e+4	81.880	75.940	81.880	69.240	77.390	79.760	75.940	81.880	1.840	0.000000	82.78	75.94	0.00	9
XOM	2011-11-18	1.797080	5.564600e+4	81.880	75.940	81.880	69.240	77.390	79.760	75.940	81.880	1.570	0.000000	82.78	75.94	0.00	10
XOM	2011-11-17	1.809030	5.527830e+4	81.880	75.940	81.880	69.240	77.390	79.760	75.940	81.880	2.330	0.000000	82.78	75.94	0.00	11
XOM	2011-11-16	1.781610	5.612910e+4	81.880	75.940	81.880	69.240	77.370	79.760	75.940	81.880	1.690	0.000000	82.77	75.94	0.00	12
XOM	2011-11-15	1.786430	5.597760e+4	81.880	75.940	81.880	69.240	75.940	79.760	75.940	81.880	1.350	0.000000	82.77	75.94	0.00	13
XOM	2011-11-14	1.809400	5.526700e+4	81.880	75.940	81.880	69.240	75.940	79.760	75.940	81.880	1.360	0.000000	82.78	75.94	0.00	14
XOM	2011-11-11	1.833050	5.455380e+4	81.880	75.940	81.880	69.240	75.940	81.480	75.940	81.880	1.250	0.000000	82.80	75.94	0.00	15
XOM	2011-11-10	1.863740	5.365560e+4	81.880	75.940	81.880	69.240	75.940	81.880	75.940	81.880	1.630	0.000000	82.81	75.94	0.00	16
XOM	2011-11-09	1.876040	5.330380e+4	81.880	75.940	81.880	69.240	75.940	81.880	75.940	81.880	2.730	0.000000	82.82	75.94	0.00	17
XOM	2011-11-08	1.831090	5.461210e+4	81.880	75.940	81.880	69.240	75.940	81.880	75.940	81.880	1.250	0.000000	82.80	75.94	0.00	18
XOM	2011-11-07	1.861680	5.371500e+4	81.880	75.940	81.880	69.240	75.940	81.880	75.940	81.880	1.370	0.000000	82.81	75.94	0.00	19
XOM	2011-11-04	1.887560	5.297850e+4	81.880	73.560	81.880	69.240	75.940	81.880	73.560	81.880	1.480	0.000000	82.82	73.56	0.00	20
XOM	2011-11-03	1.909010	5.238320e+4	81.880	73.560	81.880	69.240	75.940	81.880	73.560	81.880	1.630	0.000000	82.83	73.56	0.00	21
