#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
XSP	2011-12-02	0.288984	3.460400e+5	14.620	13.210	14.700	12.610	13.210	14.290	13.210	14.620	0.180	0.000000	14.76	13.21	0.00	1
XSP	2011-12-01	0.294720	3.393060e+5	14.620	13.210	14.700	12.610	13.210	14.290	13.210	14.620	0.110	0.000000	14.77	13.21	0.00	2
XSP	2011-11-30	0.304442	3.284700e+5	14.620	13.210	14.700	12.610	13.210	14.180	13.210	14.620	0.600	0.000000	14.77	13.21	0.00	3
XSP	2011-11-29	0.288886	3.461570e+5	14.620	13.210	14.700	12.610	13.210	14.430	13.210	14.620	0.170	0.000000	14.76	13.21	0.00	4
XSP	2011-11-28	0.295143	3.388190e+5	14.620	13.210	14.700	12.610	13.210	14.430	13.210	14.620	0.400	0.000000	14.77	13.21	0.00	5
XSP	2011-11-25	0.289624	3.452750e+5	14.700	13.210	14.700	12.610	13.210	14.480	13.210	14.700	0.220	0.000000	14.84	13.21	0.00	6
XSP	2011-11-24	0.293289	3.409610e+5	14.700	13.310	14.700	12.610	13.310	14.480	13.310	14.700	0.180	0.000000	14.85	13.31	0.00	7
XSP	2011-11-23	0.299251	3.341670e+5	14.700	13.600	14.700	12.610	13.600	14.480	13.600	14.700	0.300	0.000000	14.85	13.60	0.00	8
XSP	2011-11-22	0.299212	3.342110e+5	14.700	13.670	14.700	12.610	13.670	14.620	13.670	14.700	0.180	0.000000	14.85	13.67	0.00	9
XSP	2011-11-21	0.305486	3.273470e+5	14.700	13.900	14.700	12.610	13.900	14.620	13.900	14.700	0.390	0.000000	14.85	13.90	0.00	10
XSP	2011-11-18	0.301038	3.321840e+5	14.700	13.900	14.700	12.610	13.900	14.620	13.900	14.700	0.120	0.000000	14.85	13.90	0.00	11
XSP	2011-11-17	0.310567	3.219920e+5	14.700	13.920	14.700	12.610	14.070	14.620	13.920	14.700	0.330	0.000000	14.86	13.92	0.00	12
XSP	2011-11-16	0.309544	3.230560e+5	14.700	13.870	14.700	12.610	14.070	14.620	13.870	14.700	0.270	0.000000	14.85	13.87	0.00	13
XSP	2011-11-15	0.311625	3.208990e+5	14.700	13.870	14.700	12.610	13.920	14.620	13.870	14.700	0.220	0.000000	14.86	13.87	0.00	14
XSP	2011-11-14	0.316447	3.160080e+5	14.700	13.770	14.700	12.610	13.920	14.620	13.770	14.700	0.190	0.000000	14.86	13.77	0.00	15
XSP	2011-11-11	0.323102	3.094990e+5	14.700	13.770	14.700	12.610	13.920	14.700	13.770	14.700	0.300	0.000000	14.86	13.77	0.00	16
XSP	2011-11-10	0.324318	3.083390e+5	14.700	13.770	14.700	12.610	13.920	14.700	13.770	14.700	0.210	0.000000	14.86	13.77	0.00	17
XSP	2011-11-09	0.330335	3.027230e+5	14.700	13.770	14.700	12.610	13.920	14.700	13.770	14.700	0.570	0.000000	14.87	13.77	0.00	18
XSP	2011-11-08	0.317721	3.147410e+5	14.700	13.720	14.700	12.610	13.920	14.700	13.720	14.700	0.250	0.000000	14.86	13.72	0.00	19
XSP	2011-11-07	0.321285	3.112500e+5	14.700	13.260	14.700	12.610	13.920	14.700	13.260	14.700	0.250	0.000000	14.86	13.26	0.00	20
XSP	2011-11-04	0.325037	3.076570e+5	14.700	13.260	14.700	12.610	13.920	14.700	13.260	14.700	0.240	0.000000	14.86	13.26	0.00	21
XSP	2011-11-03	0.329513	3.034780e+5	14.700	13.130	14.700	12.610	13.920	14.700	13.130	14.700	0.330	0.000000	14.86	13.13	0.00	22
XSP	2011-11-02	0.329487	3.035020e+5	14.700	12.900	14.700	12.610	13.870	14.700	12.900	14.700	0.300	0.000000	14.86	12.90	0.00	23
XSP	2011-11-01	0.331039	3.020790e+5	14.700	12.610	14.700	12.610	13.870	14.700	12.610	14.700	0.460	0.000000	14.87	12.61	0.00	24
XSP	2011-10-31	0.324252	3.084020e+5	14.700	12.610	14.700	12.610	13.770	14.700	12.610	14.700	0.350	0.000000	14.86	12.61	0.00	25
XSP	2011-10-28	0.322897	3.096970e+5	14.690	12.610	14.690	12.610	13.770	14.690	12.610	14.690	0.090	0.000000	14.85	12.61	0.00	26
XSP	2011-10-27	0.335154	2.983700e+5	14.380	12.610	14.380	12.610	13.770	14.380	12.610	14.380	0.530	0.000000	14.55	12.61	0.00	27
XSP	2011-10-26	0.324899	3.077880e+5	14.380	12.610	14.380	12.610	13.770	14.380	12.610	14.380	0.260	0.000000	14.54	12.61	0.00	28
XSP	2011-10-25	0.328315	3.045850e+5	14.380	12.610	14.380	12.610	13.720	14.380	12.610	14.380	0.300	0.000000	14.54	12.61	0.00	29
XSP	2011-10-24	0.329805	3.032090e+5	14.180	12.610	14.180	12.610	13.260	14.180	12.610	14.180	0.210	0.000000	14.34	12.61	0.00	30
XSP	2011-10-21	0.336111	2.975210e+5	14.050	12.610	14.490	12.610	13.260	14.050	12.610	14.050	0.250	0.000000	14.22	12.61	0.00	31
XSP	2011-10-20	0.340643	2.935620e+5	14.050	12.610	14.490	12.610	13.130	14.050	12.610	14.050	0.230	0.000000	14.22	12.61	0.00	32
XSP	2011-10-19	0.346466	2.886280e+5	14.050	12.610	14.850	12.610	12.900	14.050	12.610	14.050	0.250	0.000000	14.22	12.61	0.00	33
XSP	2011-10-18	0.351544	2.844600e+5	14.030	12.610	14.950	12.610	12.610	14.030	12.610	14.030	0.460	0.000000	14.21	12.61	0.00	34
XSP	2011-10-17	0.345835	2.891550e+5	14.030	12.610	15.000	12.610	12.610	14.030	12.610	14.030	0.270	0.000000	14.20	12.61	0.00	35
XSP	2011-10-14	0.349827	2.858560e+5	13.990	12.610	15.280	12.610	12.610	13.860	12.610	13.990	0.220	0.000000	14.16	12.61	0.00	36
XSP	2011-10-13	0.356660	2.803790e+5	13.990	12.610	15.340	12.610	12.610	13.860	12.610	13.990	0.190	0.000000	14.17	12.61	0.00	37
XSP	2011-10-12	0.365431	2.736490e+5	13.990	12.610	15.420	12.610	12.610	13.720	12.610	13.990	0.260	0.000000	14.17	12.61	0.00	38
XSP	2011-10-11	0.370980	2.695560e+5	13.990	12.610	15.420	12.610	12.610	13.520	12.610	13.990	0.500	0.000000	14.18	12.61	0.00	39
XSP	2011-10-07	0.364190	2.745820e+5	13.990	12.610	15.420	12.610	12.610	13.520	12.610	13.990	0.240	0.000000	14.17	12.61	0.00	40
XSP	2011-10-06	0.370726	2.697410e+5	13.990	12.610	15.420	12.610	12.610	13.520	12.610	13.990	0.350	0.000000	14.18	12.61	0.00	41
XSP	2011-10-05	0.371817	2.689500e+5	13.990	12.610	15.420	12.610	12.610	13.520	12.610	13.990	0.340	0.000000	14.18	12.61	0.00	42
XSP	2011-10-04	0.373492	2.677440e+5	13.990	12.610	15.420	12.610	12.610	13.860	12.610	13.990	0.600	0.000000	14.18	12.61	0.00	43
XSP	2011-10-03	0.361570	2.765720e+5	13.990	12.960	15.420	12.820	12.960	13.860	12.960	13.990	0.450	0.000000	14.17	12.96	0.00	44
XSP	2011-09-30	0.356916	2.801780e+5	13.990	12.980	15.420	12.820	12.980	13.990	12.980	13.990	0.360	0.000000	14.17	12.98	0.00	45
XSP	2011-09-29	0.356754	2.803060e+5	14.040	12.980	15.420	12.820	12.980	13.990	12.980	14.040	0.440	0.000000	14.22	12.98	0.00	46
XSP	2011-09-28	0.352372	2.837910e+5	14.040	12.980	15.420	12.820	12.980	13.990	12.980	14.040	0.400	0.000000	14.22	12.98	0.00	47
XSP	2011-09-27	0.349865	2.858240e+5	14.040	12.980	15.420	12.820	12.980	13.990	12.980	14.040	0.400	0.000000	14.21	12.98	0.00	48
XSP	2011-09-26	0.347227	2.879960e+5	14.040	12.980	15.520	12.820	12.980	13.990	12.980	14.040	0.400	0.000000	14.21	12.98	0.00	49
XSP	2011-09-23	0.344449	2.903190e+5	14.040	12.980	15.520	12.820	12.980	13.990	12.980	14.040	0.250	0.000000	14.21	12.98	0.00	50
XSP	2011-09-22	0.349420	2.861880e+5	14.040	13.280	15.520	12.820	13.280	13.990	13.280	14.040	0.650	0.000000	14.21	13.28	0.00	51
XSP	2011-09-21	0.333600	2.997600e+5	14.040	13.280	15.520	12.820	13.280	13.990	13.280	14.040	0.460	0.000000	14.21	13.28	0.00	52
XSP	2011-09-20	0.326948	3.058590e+5	14.040	12.850	15.520	12.820	13.280	13.990	12.850	14.040	0.210	0.000000	14.20	12.85	0.00	53
XSP	2011-09-19	0.333103	3.002080e+5	14.040	12.850	15.520	12.820	13.280	13.990	12.850	14.040	0.310	0.000000	14.21	12.85	0.00	54
