#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
XTR	2011-12-01	0.071532	1.397970e+6	12.090	11.760	12.100	11.630	11.760	11.980	11.760	12.090	0.060	0.000000	12.13	11.76	0.00	1
XTR	2011-11-30	0.072139	1.386210e+6	12.090	11.760	12.100	11.630	11.760	12.000	11.760	12.090	0.170	0.000000	12.13	11.76	0.00	2
XTR	2011-11-29	0.066989	1.492790e+6	12.090	11.760	12.100	11.630	11.760	12.020	11.760	12.090	0.030	0.000000	12.12	11.76	0.00	3
XTR	2011-11-28	0.068935	1.450630e+6	12.090	11.760	12.100	11.630	11.760	12.040	11.760	12.090	0.060	0.000000	12.12	11.76	0.00	4
XTR	2011-11-25	0.069406	1.440800e+6	12.090	11.760	12.150	11.630	11.760	12.060	11.760	12.090	0.070	0.000000	12.12	11.76	0.00	5
XTR	2011-11-24	0.069375	1.441450e+6	12.090	11.790	12.150	11.630	11.790	12.060	11.790	12.090	0.060	0.000000	12.12	11.79	0.00	6
XTR	2011-11-23	0.069868	1.431270e+6	12.090	11.880	12.150	11.630	11.880	12.060	11.880	12.090	0.160	0.000000	12.12	11.88	0.00	7
XTR	2011-11-22	0.065124	1.535530e+6	12.090	11.880	12.150	11.630	11.880	12.090	11.880	12.090	0.030	0.000000	12.12	11.88	0.00	8
XTR	2011-11-21	0.066973	1.493140e+6	12.090	11.930	12.150	11.630	11.930	12.090	11.930	12.090	0.080	0.000000	12.12	11.93	0.00	9
XTR	2011-11-18	0.066287	1.508590e+6	12.090	11.940	12.150	11.630	11.940	12.090	11.940	12.090	0.040	0.000000	12.12	11.94	0.00	10
XTR	2011-11-17	0.067671	1.477750e+6	12.090	11.890	12.150	11.630	11.990	12.090	11.890	12.090	0.070	0.000000	12.12	11.89	0.00	11
XTR	2011-11-16	0.067548	1.480430e+6	12.090	11.880	12.150	11.630	11.990	12.090	11.880	12.090	0.040	0.000000	12.12	11.88	0.00	12
XTR	2011-11-15	0.068998	1.449320e+6	12.090	11.880	12.150	11.630	11.990	12.090	11.880	12.090	0.040	0.000000	12.12	11.88	0.00	13
XTR	2011-11-14	0.070524	1.417950e+6	12.090	11.880	12.150	11.630	11.990	12.090	11.880	12.090	0.050	0.000000	12.13	11.88	0.00	14
XTR	2011-11-11	0.071604	1.396560e+6	12.090	11.880	12.150	11.630	11.990	12.090	11.880	12.090	0.070	0.000000	12.13	11.88	0.00	15
XTR	2011-11-10	0.071689	1.394920e+6	12.090	11.880	12.150	11.630	11.990	12.090	11.880	12.090	0.050	0.000000	12.13	11.88	0.00	16
XTR	2011-11-09	0.072830	1.373050e+6	12.090	11.880	12.150	11.630	11.940	12.090	11.880	12.090	0.080	0.000000	12.13	11.88	0.00	17
XTR	2011-11-08	0.072453	1.380210e+6	12.080	11.840	12.150	11.630	11.940	12.080	11.840	12.080	0.040	0.000000	12.12	11.84	0.00	18
XTR	2011-11-07	0.074161	1.348420e+6	12.070	11.750	12.150	11.630	11.940	12.070	11.750	12.070	0.040	0.000000	12.11	11.75	0.00	19
XTR	2011-11-04	0.075959	1.316500e+6	12.070	11.750	12.150	11.630	11.940	12.070	11.750	12.070	0.040	0.000000	12.11	11.75	0.00	20
XTR	2011-11-03	0.077852	1.284500e+6	12.040	11.710	12.150	11.630	11.890	12.040	11.710	12.040	0.080	0.000000	12.08	11.71	0.00	21
XTR	2011-11-02	0.077739	1.286360e+6	12.040	11.630	12.150	11.630	11.880	12.040	11.630	12.040	0.050	0.000000	12.08	11.63	0.00	22
XTR	2011-11-01	0.079198	1.262650e+6	12.040	11.630	12.150	11.630	11.880	12.040	11.630	12.040	0.110	0.000000	12.08	11.63	0.00	23
XTR	2011-10-31	0.077577	1.289040e+6	12.030	11.630	12.150	11.630	11.880	12.030	11.630	12.030	0.040	0.000000	12.07	11.63	0.00	24
XTR	2011-10-28	0.079555	1.256990e+6	12.000	11.630	12.150	11.630	11.880	12.000	11.630	12.000	0.030	0.000000	12.04	11.63	0.00	25
XTR	2011-10-27	0.082163	1.217090e+6	12.000	11.630	12.150	11.630	11.880	12.000	11.630	12.000	0.130	0.000000	12.04	11.63	0.00	26
XTR	2011-10-26	0.079645	1.255560e+6	12.000	11.630	12.150	11.590	11.880	12.000	11.630	12.000	0.080	0.000000	12.04	11.63	0.00	27
XTR	2011-10-25	0.079627	1.255860e+6	12.000	11.630	12.150	11.590	11.840	12.000	11.630	12.000	0.050	0.000000	12.04	11.63	0.00	28
XTR	2011-10-24	0.081186	1.231740e+6	11.940	11.630	12.150	11.590	11.750	11.940	11.630	11.940	0.070	0.000000	11.98	11.63	0.00	29
XTR	2011-10-21	0.081775	1.222870e+6	11.910	11.630	12.150	11.590	11.750	11.910	11.630	11.910	0.050	0.000000	11.95	11.63	0.00	30
XTR	2011-10-20	0.083447	1.198360e+6	12.000	11.630	12.190	11.590	11.710	11.910	11.630	12.000	0.050	0.000000	12.04	11.63	0.00	31
XTR	2011-10-19	0.085208	1.173600e+6	12.080	11.630	12.190	11.590	11.630	11.910	11.630	12.080	0.040	0.000000	12.12	11.63	0.00	32
