#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
YLO-UN	2011-12-02	0.047119	2.122290e+6	0.360	0.200	0.790	0.140	0.200	0.260	0.200	0.360	0.030	0.000000	0.38	0.20	0.00	1
YLO-UN	2011-12-01	0.048020	2.082470e+6	0.440	0.200	0.790	0.140	0.200	0.270	0.200	0.440	0.040	0.000000	0.46	0.20	0.00	2
YLO-UN	2011-11-30	0.048442	2.064320e+6	0.440	0.220	0.790	0.140	0.220	0.270	0.220	0.440	0.030	0.000000	0.46	0.22	0.00	3
YLO-UN	2011-11-29	0.049413	2.023770e+6	0.440	0.220	0.790	0.140	0.220	0.290	0.220	0.440	0.020	0.000000	0.46	0.22	0.00	4
YLO-UN	2011-11-28	0.050961	1.962300e+6	0.440	0.220	0.810	0.140	0.220	0.340	0.220	0.440	0.030	0.000000	0.47	0.22	0.00	5
YLO-UN	2011-11-25	0.052064	1.920720e+6	0.440	0.220	0.850	0.140	0.220	0.350	0.220	0.440	0.010	0.000000	0.47	0.22	0.00	6
YLO-UN	2011-11-24	0.054278	1.842370e+6	0.440	0.220	0.850	0.140	0.220	0.360	0.220	0.440	0.020	0.000000	0.47	0.22	0.00	7
YLO-UN	2011-11-23	0.056082	1.783110e+6	0.500	0.240	0.850	0.140	0.240	0.360	0.240	0.500	0.020	0.000000	0.53	0.24	0.00	8
YLO-UN	2011-11-22	0.057981	1.724700e+6	0.500	0.260	0.900	0.140	0.260	0.360	0.260	0.500	0.020	0.000000	0.53	0.26	0.00	9
YLO-UN	2011-11-21	0.059980	1.667220e+6	0.500	0.260	0.900	0.140	0.260	0.360	0.260	0.500	0.040	0.000000	0.53	0.26	0.00	10
YLO-UN	2011-11-18	0.061032	1.638500e+6	0.500	0.260	0.900	0.140	0.260	0.360	0.260	0.500	0.020	0.000000	0.53	0.26	0.00	11
YLO-UN	2011-11-17	0.063191	1.582500e+6	0.500	0.220	0.900	0.140	0.260	0.440	0.220	0.500	0.050	0.000000	0.53	0.22	0.00	12
YLO-UN	2011-11-16	0.063885	1.565300e+6	0.500	0.220	0.900	0.140	0.290	0.440	0.220	0.500	0.040	0.000000	0.53	0.22	0.00	13
YLO-UN	2011-11-15	0.065143	1.535100e+6	0.500	0.210	0.950	0.140	0.330	0.440	0.210	0.500	0.050	0.000000	0.53	0.21	0.00	14
YLO-UN	2011-11-14	0.065939	1.516540e+6	0.500	0.190	0.950	0.140	0.330	0.440	0.190	0.500	0.020	0.000000	0.53	0.19	0.00	15
YLO-UN	2011-11-11	0.068357	1.462900e+6	0.500	0.190	0.950	0.140	0.330	0.440	0.190	0.500	0.020	0.000000	0.53	0.19	0.00	16
YLO-UN	2011-11-10	0.070902	1.410390e+6	0.500	0.190	0.950	0.140	0.330	0.440	0.190	0.500	0.030	0.000000	0.54	0.19	0.00	17
YLO-UN	2011-11-09	0.073055	1.368830e+6	0.500	0.190	1.000	0.140	0.330	0.500	0.190	0.500	0.020	0.000000	0.54	0.19	0.00	18
YLO-UN	2011-11-08	0.075848	1.318430e+6	0.500	0.190	1.080	0.140	0.330	0.500	0.190	0.500	0.060	0.000000	0.54	0.19	0.00	19
YLO-UN	2011-11-07	0.076682	1.304090e+6	0.500	0.190	1.110	0.140	0.330	0.500	0.190	0.500	0.050	0.000000	0.54	0.19	0.00	20
YLO-UN	2011-11-04	0.078086	1.280640e+6	0.500	0.190	1.150	0.140	0.260	0.500	0.190	0.500	0.120	0.000000	0.54	0.19	0.00	21
YLO-UN	2011-11-03	0.075880	1.317870e+6	0.500	0.170	1.150	0.140	0.220	0.500	0.170	0.500	0.090	0.000000	0.54	0.17	0.00	22
YLO-UN	2011-11-02	0.075137	1.330910e+6	0.500	0.150	1.210	0.140	0.220	0.500	0.150	0.500	0.040	0.000000	0.54	0.15	0.00	23
YLO-UN	2011-11-01	0.076986	1.298940e+6	0.500	0.150	1.210	0.140	0.210	0.500	0.150	0.500	0.050	0.000000	0.54	0.15	0.00	24
YLO-UN	2011-10-31	0.078406	1.275410e+6	0.500	0.150	1.210	0.140	0.190	0.500	0.150	0.500	0.060	0.000000	0.54	0.15	0.00	25
YLO-UN	2011-10-28	0.079375	1.259840e+6	0.500	0.140	1.210	0.140	0.190	0.500	0.140	0.500	0.110	0.000000	0.54	0.14	0.00	26
