#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
^VIX	2011-12-02	3.276640	3.051900e+4	36.160	27.410	45.450	24.530	27.410	34.510	27.410	36.160	2.330	0.000000	37.80	27.41	0.00	1
^VIX	2011-12-01	3.326470	3.006190e+4	36.160	27.480	45.450	24.530	27.800	34.510	27.480	36.160	1.250	0.000000	37.82	27.48	0.00	2
^VIX	2011-11-30	3.435760	2.910570e+4	36.160	27.480	45.450	24.530	30.640	34.510	27.480	36.160	3.610	0.000000	37.88	27.48	0.00	3
^VIX	2011-11-29	3.426580	2.918360e+4	36.160	27.480	45.450	24.530	31.130	34.510	27.480	36.160	1.570	0.000000	37.87	27.48	0.00	4
^VIX	2011-11-28	3.524300	2.837440e+4	36.160	24.530	45.450	24.530	30.040	34.510	24.530	36.160	5.000	0.000000	37.92	24.53	0.00	5
^VIX	2011-11-25	3.446630	2.901380e+4	36.160	24.530	45.450	24.530	30.040	34.510	24.530	36.160	1.650	0.000000	37.88	24.53	0.00	6
^VIX	2011-11-23	3.541190	2.823910e+4	36.160	24.530	45.450	24.530	30.040	36.160	24.530	36.160	2.600	0.000000	37.93	24.53	0.00	7
^VIX	2011-11-22	3.590730	2.784950e+4	36.160	24.530	45.450	24.530	27.480	36.160	24.530	36.160	2.110	0.000000	37.96	24.53	0.00	8
^VIX	2011-11-21	3.668660	2.725790e+4	36.160	24.530	45.450	24.530	27.480	36.160	24.530	36.160	3.290	0.000000	37.99	24.53	0.00	9
^VIX	2011-11-18	3.688590	2.711060e+4	36.160	24.530	45.450	24.530	27.480	36.160	24.530	36.160	2.590	0.000000	38.00	24.53	0.00	10
^VIX	2011-11-17	3.746410	2.669220e+4	36.160	24.530	45.450	24.530	27.480	36.160	24.530	36.160	3.570	0.000000	38.03	24.53	0.00	11
^VIX	2011-11-16	3.755700	2.662620e+4	36.160	24.530	45.450	24.530	27.480	36.160	24.530	36.160	2.970	0.000000	38.04	24.53	0.00	12
^VIX	2011-11-15	3.797050	2.633630e+4	36.160	24.530	45.450	24.530	27.480	36.160	24.530	36.160	2.150	0.000000	38.06	24.53	0.00	13
^VIX	2011-11-14	3.883730	2.574840e+4	36.160	24.530	45.450	24.530	27.480	36.160	24.530	36.160	2.810	0.000000	38.10	24.53	0.00	14
^VIX	2011-11-11	3.940250	2.537910e+4	36.160	24.530	45.450	24.530	24.530	36.160	24.530	36.160	3.360	0.000000	38.13	24.53	0.00	15
^VIX	2011-11-10	3.970790	2.518390e+4	36.160	24.530	45.450	24.530	24.530	36.160	24.530	36.160	4.040	0.000000	38.15	24.53	0.00	16
^VIX	2011-11-09	3.967140	2.520710e+4	34.780	24.530	45.450	24.530	24.530	34.770	24.530	34.780	8.950	0.000000	36.76	24.53	0.00	17
^VIX	2011-11-08	3.704890	2.699140e+4	34.780	24.530	45.450	24.530	24.530	34.770	24.530	34.780	3.020	0.000000	36.63	24.53	0.00	18
