#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
var	2011-12-02	1.899550	5.264420e+4	63.060	56.390	63.060	49.630	56.530	63.060	56.390	63.060	2.270	0.000000	64.01	56.39	0.00	1
var	2011-12-01	1.880050	5.319010e+4	62.230	56.210	62.230	49.630	56.530	62.230	56.210	62.230	1.810	0.000000	63.17	56.21	0.00	2
var	2011-11-30	1.883730	5.308600e+4	60.600	55.980	60.600	49.630	56.530	60.600	55.980	60.600	3.370	0.000000	61.54	55.98	0.00	3
var	2011-11-29	1.805510	5.538600e+4	60.600	55.980	60.600	49.630	56.530	60.600	55.980	60.600	1.210	0.000000	61.50	55.98	0.00	4
var	2011-11-28	1.836850	5.444090e+4	60.600	55.980	60.600	49.630	56.530	60.600	55.980	60.600	2.410	0.000000	61.52	55.98	0.00	5
var	2011-11-25	1.806690	5.534990e+4	60.600	55.980	60.600	49.630	56.530	60.600	55.980	60.600	1.210	0.000000	61.50	55.98	0.00	6
var	2011-11-23	1.838090	5.440420e+4	60.600	55.980	60.600	49.630	56.390	60.600	55.980	60.600	1.270	0.000000	61.52	55.98	0.00	7
var	2011-11-22	1.867990	5.353340e+4	60.600	55.980	60.600	49.630	56.390	60.600	55.980	60.600	1.410	0.000000	61.53	55.98	0.00	8
var	2011-11-21	1.892100	5.285140e+4	60.600	55.980	60.600	49.630	56.390	60.600	55.980	60.600	1.340	0.000000	61.55	55.98	0.00	9
var	2011-11-18	1.921150	5.205210e+4	60.600	55.980	60.600	49.630	56.390	60.600	55.980	60.600	0.920	0.000000	61.56	55.98	0.00	10
var	2011-11-17	1.973850	5.066250e+4	60.600	55.880	60.600	49.630	56.390	60.600	55.880	60.600	1.560	0.000000	61.59	55.88	0.00	11
var	2011-11-16	1.995630	5.010960e+4	60.600	55.880	60.600	49.630	56.210	60.600	55.880	60.600	1.870	0.000000	61.60	55.88	0.00	12
var	2011-11-15	2.002240	4.994410e+4	60.570	55.880	60.570	49.630	55.980	59.040	55.880	60.570	4.580	0.000000	61.57	55.88	0.00	13
var	2011-11-14	1.866570	5.357430e+4	60.570	54.960	60.570	49.630	55.980	59.040	54.960	60.570	1.150	0.000000	61.50	54.96	0.00	14
var	2011-11-11	1.904280	5.251320e+4	60.570	54.960	60.570	49.630	55.980	60.570	54.960	60.570	1.470	0.000000	61.52	54.96	0.00	15
var	2011-11-10	1.927140	5.189040e+4	60.570	54.960	60.570	49.630	55.980	60.570	54.960	60.570	1.140	0.000000	61.53	54.96	0.00	16
var	2011-11-09	1.968570	5.079840e+4	60.570	54.960	60.570	49.630	55.980	60.570	54.960	60.570	2.890	0.000000	61.55	54.96	0.00	17
var	2011-11-08	1.920070	5.208140e+4	60.570	54.960	60.570	49.630	55.980	60.570	54.960	60.570	1.210	0.000000	61.53	54.96	0.00	18
var	2011-11-07	1.957440	5.108710e+4	60.570	54.960	60.570	49.630	55.980	60.570	54.960	60.570	1.370	0.000000	61.55	54.96	0.00	19
var	2011-11-04	1.988360	5.029270e+4	60.570	54.950	60.570	49.630	55.980	60.570	54.950	60.570	2.150	0.000000	61.56	54.95	0.00	20
var	2011-11-03	1.979850	5.050880e+4	60.570	54.580	60.570	49.630	55.880	60.570	54.580	60.570	1.060	0.000000	61.56	54.58	0.00	21
var	2011-11-02	2.028270	4.930320e+4	60.570	53.380	60.570	49.630	55.880	60.570	53.380	60.570	1.010	0.000000	61.58	53.38	0.00	22
var	2011-11-01	2.081860	4.803400e+4	60.570	51.960	60.570	49.630	55.880	60.570	51.960	60.570	2.910	0.000000	61.61	51.96	0.00	23
var	2011-10-31	2.038270	4.906110e+4	60.570	50.100	60.570	49.630	54.960	60.570	50.100	60.570	1.880	0.000000	61.59	50.10	0.00	24
var	2011-10-28	2.046600	4.886140e+4	59.520	50.100	59.520	49.630	54.960	59.520	50.100	59.520	4.570	0.000000	60.54	50.10	0.00	25
var	2011-10-27	1.913790	5.225220e+4	59.510	50.100	59.510	49.630	54.960	59.510	50.100	59.510	3.070	0.000000	60.47	50.10	0.00	26
var	2011-10-26	1.852940	5.396830e+4	59.510	50.100	59.510	49.630	54.960	59.510	50.100	59.510	1.850	0.000000	60.44	50.10	0.00	27
var	2011-10-25	1.853100	5.396380e+4	59.510	50.100	59.510	49.630	54.960	59.510	50.100	59.510	2.080	0.000000	60.44	50.10	0.00	28
var	2011-10-24	1.841150	5.431380e+4	57.680	50.100	57.910	49.630	54.960	57.680	50.100	57.680	2.150	0.000000	58.60	50.10	0.00	29
var	2011-10-21	1.824900	5.479760e+4	56.960	49.850	57.910	49.630	54.950	56.960	49.850	56.960	2.060	0.000000	57.87	49.85	0.00	30
var	2011-10-20	1.812520	5.517170e+4	56.960	49.630	60.110	49.630	54.580	56.960	49.630	56.960	1.110	0.000000	57.87	49.63	0.00	31
var	2011-10-19	1.849500	5.406870e+4	56.960	49.630	60.430	49.630	53.380	56.960	49.630	56.960	1.050	0.000000	57.88	49.63	0.00	32
var	2011-10-18	1.891580	5.286590e+4	56.960	49.630	60.430	49.630	51.960	56.960	49.630	56.960	2.330	0.000000	57.91	49.63	0.00	33
var	2011-10-17	1.868500	5.351880e+4	56.960	49.630	62.760	49.630	50.100	56.960	49.630	56.960	1.960	0.000000	57.89	49.63	0.00	34
var	2011-10-14	1.863690	5.365710e+4	56.960	49.630	62.760	49.630	50.100	56.960	49.630	56.960	1.030	0.000000	57.89	49.63	0.00	35
var	2011-10-13	1.907570	5.242280e+4	56.960	49.630	67.120	49.630	50.100	56.960	49.630	56.960	0.950	0.000000	57.91	49.63	0.00	36
var	2011-10-12	1.957960	5.107350e+4	56.960	49.630	68.570	49.630	50.100	56.960	49.630	56.960	0.870	0.000000	57.94	49.63	0.00	37
var	2011-10-11	2.015230	4.962220e+4	56.960	49.630	70.190	49.630	50.100	56.960	49.630	56.960	1.310	0.000000	57.97	49.63	0.00	38
var	2011-10-10	2.052340	4.872480e+4	54.950	49.630	70.920	49.630	50.100	54.950	49.630	54.950	2.200	0.000000	55.98	49.63	0.00	39
var	2011-10-07	2.044570	4.891000e+4	54.580	49.630	71.280	49.630	49.850	54.580	49.630	54.580	1.810	0.000000	55.60	49.63	0.00	40
var	2011-10-06	2.056920	4.861640e+4	54.270	49.630	71.280	49.630	49.630	54.270	49.630	54.270	2.440	0.000000	55.30	49.63	0.00	41
var	2011-10-05	2.036750	4.909770e+4	54.860	49.630	71.280	49.630	49.630	54.270	49.630	54.860	3.150	0.000000	55.88	49.63	0.00	42
var	2011-10-04	1.978160	5.055200e+4	54.860	49.630	71.280	49.630	49.630	54.270	49.630	54.860	3.260	0.000000	55.85	49.63	0.00	43
var	2011-10-03	1.910700	5.233690e+4	54.860	49.630	71.280	49.630	49.630	54.270	49.630	54.860	2.230	0.000000	55.82	49.63	0.00	44
var	2011-09-30	1.893890	5.280130e+4	55.250	49.630	71.280	49.630	49.630	54.270	49.630	55.250	1.830	0.000000	56.20	49.63	0.00	45
var	2011-09-29	1.897260	5.270770e+4	56.960	49.630	71.280	49.630	49.630	54.270	49.630	56.960	2.200	0.000000	57.91	49.63	0.00	46
var	2011-09-28	1.881320	5.315410e+4	56.960	49.630	71.280	49.630	49.630	54.270	49.630	56.960	2.230	0.000000	57.90	49.63	0.00	47
var	2011-09-27	1.862970	5.367770e+4	57.140	49.630	71.280	49.630	49.630	53.880	49.630	57.140	4.000	0.000000	58.07	49.63	0.00	48
var	2011-09-26	1.750490	5.712670e+4	57.140	49.630	71.280	49.630	49.630	53.880	49.630	57.140	1.500	0.000000	58.02	49.63	0.00	49
